
[00:00:00.000 --> 00:00:02.340]   (drum roll)
[00:00:02.340 --> 00:00:06.820]   - Howdy!
[00:00:06.820 --> 00:00:07.660]   - Howdy!
[00:00:07.660 --> 00:00:09.160]   - Okay, all right.
[00:00:09.160 --> 00:00:12.560]   (audience cheering)
[00:00:12.560 --> 00:00:14.320]   Good to see you guys.
[00:00:14.320 --> 00:00:19.760]   If you have a Bible, we are in Mark chapter four,
[00:00:19.760 --> 00:00:21.380]   and I want to read a couple verses there from you.
[00:00:21.380 --> 00:00:23.080]   If you don't have a Bible, don't stress.
[00:00:23.080 --> 00:00:25.600]   I think they're going to put it on one of these screens.
[00:00:25.600 --> 00:00:28.200]   Mark chapter four, but while some people are turning there,
[00:00:28.200 --> 00:00:30.200]   I'm going to say this, we're going to read
[00:00:30.200 --> 00:00:32.080]   kind of a big chunk of scripture.
[00:00:32.080 --> 00:00:32.920]   Don't let that scare you.
[00:00:32.920 --> 00:00:35.160]   We're going to read it all out front
[00:00:35.160 --> 00:00:37.200]   to kind of load it into your brain,
[00:00:37.200 --> 00:00:39.240]   and then we'll pray, and then that'll let us
[00:00:39.240 --> 00:00:40.520]   just sort of talk through it together
[00:00:40.520 --> 00:00:42.800]   with all of us sort of familiarized to it.
[00:00:42.800 --> 00:00:45.640]   So Mark chapter four, I'm going to start in verse 35.
[00:00:45.640 --> 00:00:49.080]   We'll read through it, pray, and then jump in.
[00:00:49.080 --> 00:00:51.240]   And while you're turning there, let me say, too,
[00:00:51.240 --> 00:00:53.680]   I was here last week and taught some on the gospel of Mark,
[00:00:53.680 --> 00:00:56.280]   and then this week we'll do a little bit, too,
[00:00:56.280 --> 00:00:58.920]   we're going to stop because I'll be gone,
[00:00:58.920 --> 00:01:00.560]   so there's a lot of the life of Jesus
[00:01:00.560 --> 00:01:02.400]   that won't happen today.
[00:01:02.400 --> 00:01:03.640]   So if you're like, oh my gosh,
[00:01:03.640 --> 00:01:04.920]   what happens in the rest of Mark?
[00:01:04.920 --> 00:01:08.160]   Well, don't be afraid, you have a Bible you can read.
[00:01:08.160 --> 00:01:09.640]   There's a guy by the name of Tim Keller
[00:01:09.640 --> 00:01:12.080]   wrote a great book about the gospel of Mark.
[00:01:12.080 --> 00:01:13.760]   I think it's called King's Cross or something like that,
[00:01:13.760 --> 00:01:17.520]   but his thoughts were really helpful to my own.
[00:01:17.520 --> 00:01:19.680]   And there's a guy named Darrell Bach
[00:01:19.680 --> 00:01:22.080]   who wrote a book called Jesus According to Scriptures.
[00:01:22.080 --> 00:01:24.480]   If you're like, I just want to know Jesus better,
[00:01:24.480 --> 00:01:26.480]   that's a really accessible book.
[00:01:26.480 --> 00:01:28.720]   Darrell Bach will help you do that.
[00:01:28.720 --> 00:01:29.960]   And so just throw those out there
[00:01:29.960 --> 00:01:32.360]   for those of you that are like, I want more Jesus.
[00:01:32.360 --> 00:01:36.080]   Good, and here's two books that could help you with that.
[00:01:36.080 --> 00:01:38.240]   Or just keep coming to the porch
[00:01:38.240 --> 00:01:39.360]   'cause this place is awesome.
[00:01:39.360 --> 00:01:44.360]   So anyway, Mark, chapter four, beginning in verse 35.
[00:01:44.360 --> 00:01:48.680]   And it says this.
[00:01:52.400 --> 00:01:54.640]   On that day when evening had come,
[00:01:54.640 --> 00:01:57.720]   he said to them, let us go across to the other side.
[00:01:57.720 --> 00:02:00.960]   And leaving the crowd, they took him with them in the boat
[00:02:00.960 --> 00:02:03.260]   just as he was, and other boats were with him.
[00:02:03.260 --> 00:02:06.000]   And a great windstorm arose,
[00:02:06.000 --> 00:02:07.800]   and the waves were breaking into the boat
[00:02:07.800 --> 00:02:09.860]   so that the boat was already filling,
[00:02:09.860 --> 00:02:12.920]   but he was in the stern asleep on a cushion.
[00:02:12.920 --> 00:02:15.160]   And they woke him and said to him,
[00:02:15.160 --> 00:02:17.640]   teacher, do you not care that we're perishing?
[00:02:17.640 --> 00:02:20.360]   And he awoke and rebuked the wind
[00:02:20.360 --> 00:02:23.240]   and said to the sea, peace, be still.
[00:02:23.240 --> 00:02:26.880]   And the wind ceased, and there was a great calm.
[00:02:26.880 --> 00:02:29.880]   And he said to them, why are you so afraid?
[00:02:29.880 --> 00:02:31.240]   Have you still no faith?
[00:02:31.240 --> 00:02:34.000]   And they were filled with great fear
[00:02:34.000 --> 00:02:36.400]   and said to one another, who then is this
[00:02:36.400 --> 00:02:38.920]   that even the wind and the sea obey him?
[00:02:38.920 --> 00:02:41.280]   And they came to the other side of the sea,
[00:02:41.280 --> 00:02:42.960]   to the country of the Gerasenes,
[00:02:42.960 --> 00:02:44.440]   and when Jesus had stepped out of the boat,
[00:02:44.440 --> 00:02:46.400]   immediately there met him out of the tombs,
[00:02:46.400 --> 00:02:48.320]   a man with an unclean spirit.
[00:02:48.320 --> 00:02:49.920]   He lived among the tombs,
[00:02:49.920 --> 00:02:52.160]   and no one could bind him anymore,
[00:02:52.160 --> 00:02:54.680]   not even with a chain, for he had often been bound
[00:02:54.680 --> 00:02:57.320]   with shackles and chains, but he wrenched the chains apart
[00:02:57.320 --> 00:02:58.960]   and broke the shackles in pieces,
[00:02:58.960 --> 00:03:01.160]   and no one had the strength to subdue him.
