
[00:00:00.000 --> 00:00:22.860]   How are we doing?
[00:00:22.860 --> 00:00:23.860]   Slow start.
[00:00:23.860 --> 00:00:27.560]   How about my friend, Micah Tyler, man?
[00:00:27.560 --> 00:00:28.560]   Micah.
[00:00:28.560 --> 00:00:32.280]   Thank you for, for leading us.
[00:00:32.280 --> 00:00:35.840]   Thank you for using your gifts to lead us to God.
[00:00:35.840 --> 00:00:36.840]   Welcome Dallas.
[00:00:36.840 --> 00:00:37.840]   Welcome Fort Worth.
[00:00:37.840 --> 00:00:41.400]   We have friends joining us tonight from all over the country as we are hosting a young
[00:00:41.400 --> 00:00:42.820]   adult conference here.
[00:00:42.820 --> 00:00:45.640]   And so if you're a guest with us, we're so glad you're here.
[00:00:45.640 --> 00:00:46.640]   So glad you can join us.
[00:00:46.640 --> 00:00:47.640]   Fort Worth.
[00:00:47.640 --> 00:00:48.640]   Thanks for tuning in.
[00:00:48.640 --> 00:00:49.640]   You guys pay your taxes.
[00:00:49.640 --> 00:00:50.640]   Oh man.
[00:00:50.640 --> 00:00:51.640]   I saw a couple.
[00:00:51.640 --> 00:00:52.640]   Oh no.
[00:00:52.640 --> 00:00:53.640]   Is that?
[00:00:53.640 --> 00:00:54.640]   Yeah, it's tomorrow.
[00:00:54.640 --> 00:00:55.640]   Yes.
[00:00:55.640 --> 00:00:56.640]   Wow.
[00:00:56.640 --> 00:01:01.440]   I'm glad you're here and glad that that announcement was for you.
[00:01:01.440 --> 00:01:06.680]   The way that we go to the IRS or the way we feel about paying our taxes has so much to
[00:01:06.680 --> 00:01:09.040]   do with the way we view the IRS.
[00:01:09.040 --> 00:01:12.840]   And there's people, even those of you that know you're getting money back, it's like
[00:01:12.840 --> 00:01:16.800]   you still are afraid you kind of go in, you're in turbo tax, but I hope I got everything
[00:01:16.800 --> 00:01:17.800]   right.
[00:01:17.800 --> 00:01:22.520]   If you view the IRS as kind of this, this institution that desires to take from you.
[00:01:22.520 --> 00:01:26.000]   And if you view the IRS as you know, Hey, they're, they're, you know, they're civilized
[00:01:26.000 --> 00:01:27.000]   government.
[00:01:27.000 --> 00:01:28.000]   They exist for a reason.
[00:01:28.000 --> 00:01:29.320]   I just want to do my civil duty.
[00:01:29.320 --> 00:01:32.880]   Uh, then you, you know, you kind of go at it and you, you understand the routine there,
[00:01:32.880 --> 00:01:36.240]   but I want to tell you the worst thing that's ever happened to me.
[00:01:36.240 --> 00:01:37.240]   I think that's true.
[00:01:37.240 --> 00:01:38.840]   I'm, I'm weighing those words carefully.
[00:01:38.840 --> 00:01:40.120]   Uh, certainly.
[00:01:40.120 --> 00:01:41.120]   Yeah.
[00:01:41.120 --> 00:01:44.160]   The most scary thing that's ever happened to me is I'm driving down the road.
[00:01:44.160 --> 00:01:45.280]   I'm in my truck.
[00:01:45.280 --> 00:01:47.000]   I've got my two year old Westin.
[00:01:47.000 --> 00:01:48.720]   He's in the car seat in the back.
[00:01:48.720 --> 00:01:55.720]   It's just me and him and my phone rings and on the, on the caller ID on my radio, because
[00:01:55.720 --> 00:01:59.640]   a Bluetooth working, uh, it's just a five digit number, which I thought was weird.
[00:01:59.640 --> 00:02:03.120]   It just says like, you know, five, four, three dash two seven.
[00:02:03.120 --> 00:02:04.740]   And I was like, what is that?
[00:02:04.740 --> 00:02:07.680]   And so I, you know, hit on the Bluetooth answer on speakerphone.
[00:02:07.680 --> 00:02:08.680]   Hello.
[00:02:08.680 --> 00:02:13.000]   And they say, um, is this Jonathan Pucluta to which I say, yes, it is.
[00:02:13.000 --> 00:02:15.160]   And they say, uh, great, Mr. Pucluta.
[00:02:15.160 --> 00:02:22.080]   Um, this is officer McMillan badge number five zero three seven, some number.
[00:02:22.080 --> 00:02:24.440]   And I'm calling you from the internal revenue service.
[00:02:24.440 --> 00:02:27.240]   I said, okay.
[00:02:27.240 --> 00:02:32.080]   And he said, uh, sir, I need to ask you a few questions.
[00:02:32.080 --> 00:02:33.720]   I said, okay.
[00:02:33.720 --> 00:02:34.720]   He said, sir, are you driving?
[00:02:34.720 --> 00:02:37.600]   I said, yes, I am.
[00:02:37.600 --> 00:02:38.600]   He said, can you pull over?
[00:02:38.600 --> 00:02:41.600]   I said, yes, I can.
[00:02:41.600 --> 00:02:42.600]   All right.
[00:02:42.600 --> 00:02:43.600]   This is got serious.
[00:02:43.600 --> 00:02:49.920]   I'm like, kind of feel short of breath, you know, sweating a little bit and a pull over.
[00:02:49.920 --> 00:02:52.520]   And he said, sir, where, where's your, where can you tell me your whereabouts?
[00:02:52.520 --> 00:02:54.640]   And I'm like, what is whereabouts to me?
[00:02:54.640 --> 00:02:55.640]   I'm like, what does that mean?
[00:02:55.640 --> 00:02:57.640]   And he's like, he goes, uh, sir, where, where are you?
[00:02:57.640 --> 00:02:59.280]   What, what are the, what's the largest cross street?
[00:02:59.280 --> 00:03:06.040]   And I tell him, and he said, sir, I need to know, uh, if your efforts to defraud the IRS
[00:03:06.040 --> 00:03:07.400]   were intentional.
[00:03:07.400 --> 00:03:13.560]   That was the question he asked me to which I said, is this a joke?
[00:03:13.560 --> 00:03:15.680]   I'm like, man, this is Dave and Marvin messing with me, man.
[00:03:15.680 --> 00:03:16.680]   That's what's going on.
[00:03:16.680 --> 00:03:18.920]   Got a Google number or something.
[00:03:18.920 --> 00:03:21.360]   And he goes, he goes, sir, I'm going to tell you again.
[00:03:21.360 --> 00:03:22.600]   This is officer McMillan.
[00:03:22.600 --> 00:03:24.040]   You need to write this badge number down.
[00:03:24.040 --> 00:03:25.200]   Do you have a pen and paper?
[00:03:25.200 --> 00:03:26.280]   Write this down.
[00:03:26.280 --> 00:03:31.400]   He said, nothing I am about to tell you in this conversation will be a laughing matter.
[00:03:31.400 --> 00:03:32.760]   I assure you.
[00:03:32.760 --> 00:03:38.400]   Let me ask you again, Mr. Percluta, were your efforts to defraud the IRS intentional to
[00:03:38.400 --> 00:03:41.420]   which I said, no, they were not intentional.
[00:03:41.420 --> 00:03:43.120]   And he starts saying these things.
[00:03:43.120 --> 00:03:45.840]   He said, well, listen, you know, we need to talk with you.
[00:03:45.840 --> 00:03:49.880]   You're going to have to explain why you've done what you've done for the past three years.
[00:03:49.880 --> 00:03:55.640]   And he begins to say some fairly specific data from 2012 and 2013.
[00:03:55.640 --> 00:03:58.720]   And it was 2011, 2012, 2013.
[00:03:58.720 --> 00:04:03.520]   You, you, you, whether intentional or unintentional did not pay all the taxes that you owed.
[00:04:03.520 --> 00:04:08.840]   He goes, sir, we have already, we have already dispatched the local authorities.
[00:04:08.840 --> 00:04:13.480]   He tells me you, you're going to have to plead your case before a judge, sir.
[00:04:13.480 --> 00:04:16.600]   Is there anyone do you, would you like to make a phone call to let someone know where
[00:04:16.600 --> 00:04:17.600]   you will be?
[00:04:17.600 --> 00:04:20.960]   And I'm, I'm like picturing myself talking to Monica through the glass.
[00:04:20.960 --> 00:04:25.800]   I'm like, call Todd and tell him, you know, I don't, I'm supposed to teach tomorrow at
[00:04:25.800 --> 00:04:26.800]   the port.
[00:04:26.800 --> 00:04:27.800]   I don't listen.
[00:04:27.800 --> 00:04:28.800]   I just tell him I was arrested.
[00:04:28.800 --> 00:04:29.800]   It was, I don't know.
[00:04:29.800 --> 00:04:31.040]   We're going to figure this out.
[00:04:31.040 --> 00:04:39.240]   Take up an offering, you know, and about I'm on the phone with this Joker for an hour and
[00:04:39.240 --> 00:04:43.480]   20 minutes, an hour and 20 minutes.
[00:04:43.480 --> 00:04:46.000]   And so finally I get to this place about an hour into the phone call.
[00:04:46.000 --> 00:04:47.560]   I'm like, well, how much do I owe?
[00:04:47.560 --> 00:04:51.080]   He tells me $3,700 to which I'm is a little bit of a relief.
[00:04:51.080 --> 00:04:54.640]   Cause I'm like, listen, I will beg, borrow and steal $3,700 if I need to.
[00:04:54.640 --> 00:04:55.640]   I listen, I don't want to go to jail.
[00:04:55.640 --> 00:04:57.840]   And I go, can I make arrangements to pay?
[00:04:57.840 --> 00:04:59.360]   He says no.
[00:04:59.360 --> 00:05:01.080]   So I'm like, okay, now I'm confused.
[00:05:01.080 --> 00:05:02.880]   He's like, you need to go before the judge.
[00:05:02.880 --> 00:05:03.880]   There will be an opportunity.
[00:05:03.880 --> 00:05:08.320]   And he's telling me all of this and through kind of this frustration back and forth eventually.
[00:05:08.320 --> 00:05:11.720]   And I mean, he is being extremely rude.
[00:05:11.720 --> 00:05:15.880]   And eventually I get off the phone with him as he tells me that the sheriff is on the
[00:05:15.880 --> 00:05:20.520]   way that I will soon be in the back of a police car with my hands handcuffed behind my back,
[00:05:20.520 --> 00:05:24.200]   but I will have an opportunity in the next couple of weeks to plead my case before a
[00:05:24.200 --> 00:05:26.400]   judge and so I get off the phone with him.
[00:05:26.400 --> 00:05:27.640]   I call my CPA.
[00:05:27.640 --> 00:05:31.040]   I begin to tell him in a panic, I'm shaking.
[00:05:31.040 --> 00:05:32.660]   I literally am shaking.
[00:05:32.660 --> 00:05:36.320]   He cuts me off and says, it's a scam.
[00:05:36.320 --> 00:05:42.360]   He goes, everybody knows it's a scam.
[00:05:42.360 --> 00:05:50.440]   All right, first of all, buddy, everybody does not know it's a scam.
[00:05:50.440 --> 00:05:54.880]   And the fact that it's a scam would have been really good information an hour and 20 minutes
[00:05:54.880 --> 00:05:55.880]   ago.
[00:05:55.880 --> 00:05:58.400]   And he's like, yeah, the IRS won't call you.
[00:05:58.400 --> 00:05:59.960]   I'm like, what?
[00:05:59.960 --> 00:06:05.760]   It sounds like some of you might've known that, you know, thanks for telling me.
[00:06:05.760 --> 00:06:08.100]   Thanks for letting me know, you know?
