
[00:00:00.000 --> 00:00:02.000]   [ Applause ]
[00:00:02.000 --> 00:00:18.480]   [ Music ]
[00:00:18.480 --> 00:00:21.260]   >> Okay. Hi, Porch.
[00:00:21.260 --> 00:00:23.000]   All right.
[00:00:23.000 --> 00:00:27.580]   Hard to not walk with a swagger with an intro like that.
[00:00:27.580 --> 00:00:28.340]   That's nice.
[00:00:28.340 --> 00:00:30.900]   You got to incorporate that in DC.
[00:00:30.900 --> 00:00:33.660]   Man, it is so great to see all of you.
[00:00:33.660 --> 00:00:35.620]   And it's just fun to be back in Texas.
[00:00:35.620 --> 00:00:37.940]   I'm from here, born, raised.
[00:00:37.940 --> 00:00:42.380]   My wife and I and kids are up in Washington, DC, which is crazy.
[00:00:42.380 --> 00:00:43.740]   COVID just ended there.
[00:00:43.740 --> 00:00:46.260]   Apparently, it ended here quite a while ago.
[00:00:46.260 --> 00:00:49.800]   But we're still carrying our masks around and such.
[00:00:49.800 --> 00:00:52.620]   But this is fun to see us all together.
[00:00:52.620 --> 00:00:54.460]   And it's such an honor to be here.
[00:00:54.460 --> 00:00:56.420]   And before I jump into the text, we're in tonight,
[00:00:56.420 --> 00:00:58.260]   we're going to be in Matthew Chapter 5.
[00:00:58.260 --> 00:01:00.860]   If you've got a copy of your scriptures and want to read, I'll be there.
[00:01:00.860 --> 00:01:02.300]   If you don't, just listen.
[00:01:02.300 --> 00:01:08.340]   But before we get to it, I just want to say, you know, I know this series is hot takes.
[00:01:08.340 --> 00:01:09.380]   This is not a hot take.
[00:01:09.380 --> 00:01:10.780]   This is just a fact.
[00:01:10.780 --> 00:01:16.700]   And that is that David Marvin is a phenomenal leader.
[00:01:16.700 --> 00:01:20.180]   And watching him lead this has been inspiring to me.
[00:01:20.180 --> 00:01:24.660]   Yeah, you can -- let's keep going because he's done an amazing job
[00:01:24.660 --> 00:01:27.260]   of leading this ministry.
[00:01:27.260 --> 00:01:32.620]   And the fact that cities all over the US are taking their cues from you is something
[00:01:32.620 --> 00:01:34.540]   that's special.
[00:01:34.540 --> 00:01:35.500]   It's special, brother.
[00:01:35.500 --> 00:01:38.500]   It's an honor to be here and so grateful to see all your faces.
[00:01:38.500 --> 00:01:39.820]   So, all right.
[00:01:39.820 --> 00:01:43.420]   With that said, let me read a passage about sex and make it weird.
[00:01:43.420 --> 00:01:43.980]   Here we go.
[00:01:43.980 --> 00:01:47.140]   Matthew Chapter 5, Verse 27.
[00:01:47.140 --> 00:01:49.220]   This is Jesus speaking, by the way.
[00:01:49.220 --> 00:01:55.860]   He says this, "You have heard that it was said, 'You shall not commit adultery.'
[00:01:55.860 --> 00:02:00.220]   But I say to you that everyone who looks at a woman with lustful intent has already
[00:02:00.220 --> 00:02:03.220]   committed adultery with her in his heart.
[00:02:03.220 --> 00:02:06.740]   If your right eye causes you to sin, tear it out, throw it away.
[00:02:06.740 --> 00:02:09.900]   For it is better for you to lose one of your members than your whole body be
