
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:24.240]   - What's up, Fort?
[00:00:24.240 --> 00:00:25.240]   So good to be with you guys tonight.
[00:00:25.240 --> 00:00:27.320]   I wanna say hi to our Fort Worth family
[00:00:27.320 --> 00:00:28.920]   that's just west of here.
[00:00:28.920 --> 00:00:30.840]   If you're from Houston and you're not glued to a television
[00:00:30.840 --> 00:00:32.460]   watching the World Series, congratulations,
[00:00:32.460 --> 00:00:33.540]   you're the only person in Houston
[00:00:33.540 --> 00:00:35.580]   not watching the Houston Astros currently.
[00:00:35.580 --> 00:00:37.840]   But we're so glad everybody's with us around the country.
[00:00:37.840 --> 00:00:39.380]   And hey, I wanna tell you,
[00:00:39.380 --> 00:00:40.780]   we are starting a brand new series
[00:00:40.780 --> 00:00:43.300]   and it is called "Thou Shall."
[00:00:43.300 --> 00:00:46.540]   Now that video got me as pumped up about "Thou Shall"
[00:00:46.540 --> 00:00:48.200]   as anything ever has, because I gotta tell you,
[00:00:48.200 --> 00:00:49.920]   I got some baggage with "Thou Shall."
[00:00:49.920 --> 00:00:52.140]   I'm not a "Thou Shall" person.
[00:00:52.140 --> 00:00:53.740]   I don't respond well to commands.
[00:00:53.740 --> 00:00:57.340]   In fact, even though I grew up in a fairly church context
[00:00:57.340 --> 00:00:59.420]   and I was exposed to some of these commands,
[00:00:59.420 --> 00:01:00.620]   I didn't like 'em.
[00:01:00.620 --> 00:01:02.420]   And so I don't know if you've ever identified with that,
[00:01:02.420 --> 00:01:03.980]   but that's where I kinda grew up.
[00:01:03.980 --> 00:01:06.100]   And so I would find like a loophole around anything.
[00:01:06.100 --> 00:01:07.060]   It didn't matter what it was.
[00:01:07.060 --> 00:01:10.260]   Like, "Thou shall honor your father and mother."
[00:01:10.260 --> 00:01:11.900]   Well, that sounds like more of a suggestion.
[00:01:11.900 --> 00:01:12.760]   I don't know how you read it,
[00:01:12.760 --> 00:01:14.760]   but it sounds like, you know, maybe it's a suggestion.
[00:01:14.760 --> 00:01:17.820]   You know, "Thou shall not get drunk with wine."
[00:01:17.820 --> 00:01:19.300]   Good thing I'm a beer guy.
[00:01:19.300 --> 00:01:21.180]   (congregation laughing)
[00:01:21.180 --> 00:01:22.580]   Easy, all right?
[00:01:22.580 --> 00:01:25.220]   You know, "Thou shall not commit adultery."
[00:01:25.220 --> 00:01:26.660]   I'm not an adult.
[00:01:26.660 --> 00:01:27.740]   (congregation laughing)
[00:01:27.740 --> 00:01:30.020]   I'm gonna do whatever I want with whoever I want.
[00:01:30.020 --> 00:01:32.100]   And so that's kinda the way I was rolling through life
[00:01:32.100 --> 00:01:35.620]   all the way up to and including some of young adulthood.
[00:01:35.620 --> 00:01:37.660]   And by the grace of God, I became a believer in Christ
[00:01:37.660 --> 00:01:40.100]   and I started to entrust more and more of my life
[00:01:40.100 --> 00:01:41.060]   over to Him.
[00:01:41.060 --> 00:01:45.340]   And now after almost a full decade of following Christ
[00:01:45.340 --> 00:01:48.340]   and trying consciously to let Him have every bit,
[00:01:48.340 --> 00:01:49.980]   100% of my heart,
[00:01:49.980 --> 00:01:53.640]   I am convinced that the reason I thought that way
[00:01:53.640 --> 00:01:57.220]   is not because I didn't understand the commands themselves,
[00:01:57.220 --> 00:02:00.320]   but it was because I did not understand
[00:02:00.320 --> 00:02:03.360]   the full context behind them.
[00:02:03.360 --> 00:02:04.320]   I'm gonna say that again.
[00:02:04.320 --> 00:02:07.340]   I believe that I rejected the commands of God,
[00:02:07.340 --> 00:02:08.760]   not because I didn't understand them,
[00:02:08.760 --> 00:02:12.520]   but because I simply didn't get the full context,
[00:02:12.520 --> 00:02:15.340]   the full purpose, the full reason,
[00:02:15.340 --> 00:02:18.080]   the full heart of God behind the command,
[00:02:18.080 --> 00:02:21.300]   the reason for the rule or the belief behind the behavior.
[00:02:21.300 --> 00:02:22.400]   I completely missed it.
[00:02:22.400 --> 00:02:23.600]   I had no idea.
[00:02:23.600 --> 00:02:26.040]   And so nobody likes commands without context.
[00:02:26.040 --> 00:02:28.520]   Can we just agree that nobody likes commands without context?
[00:02:28.520 --> 00:02:29.760]   This is why some of you right now
[00:02:29.760 --> 00:02:31.420]   are frustrated with your boss,
[00:02:31.420 --> 00:02:32.960]   because they dropped by
[00:02:32.960 --> 00:02:35.000]   and they said something that sounds like this.
[00:02:35.000 --> 00:02:37.480]   Well, corporate's doing a restructure
[00:02:37.480 --> 00:02:39.180]   and there's gonna be a new rollout
[00:02:39.180 --> 00:02:41.720]   and basically a lot has changed
[00:02:41.720 --> 00:02:43.300]   and here are the new commands.
[00:02:43.300 --> 00:02:45.880]   And you lean forward like, okay, what's the why?
[00:02:45.880 --> 00:02:47.320]   And then they walk off.
[00:02:47.320 --> 00:02:49.400]   And you're like, oh, I guess I'm just supposed to trust it.
[00:02:49.400 --> 00:02:51.040]   This is not the dumbest idea ever.
[00:02:51.040 --> 00:02:53.240]   All right, and now my whole world has changed
[00:02:53.240 --> 00:02:54.400]   and there's no context.
[00:02:54.400 --> 00:02:55.400]   There's no why.
