
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:18.560]   - Welcome to the porch.
[00:00:18.560 --> 00:00:19.880]   I'm so glad you made it.
[00:00:19.880 --> 00:00:21.760]   I know some of you guys are still making your way
[00:00:21.760 --> 00:00:24.600]   into the room and you are welcome here.
[00:00:24.600 --> 00:00:28.440]   And I'm so glad that we get one more time together
[00:00:28.440 --> 00:00:33.120]   just to have this moment to celebrate the coming of Emmanuel
[00:00:33.120 --> 00:00:35.840]   if this is your first time ever with us at the porch,
[00:00:35.840 --> 00:00:37.920]   thanks for trusting us with your Tuesday night.
[00:00:37.920 --> 00:00:41.040]   We know that there is a lot of places that you could be.
[00:00:41.040 --> 00:00:42.760]   There's a lot of things that you could be doing
[00:00:42.760 --> 00:00:43.720]   on your Tuesday night.
[00:00:43.720 --> 00:00:45.960]   Some of y'all left work early
[00:00:45.960 --> 00:00:48.720]   and you have work to do after this.
[00:00:48.720 --> 00:00:50.160]   Some of y'all missed dinner
[00:00:50.160 --> 00:00:53.440]   and I'm just so glad that you made it tonight.
[00:00:53.440 --> 00:00:57.240]   As we kind of come to the end of 2023 together
[00:00:57.240 --> 00:01:01.680]   and as this is our last time gathering in 2023,
[00:01:01.680 --> 00:01:04.680]   we at the porch, we've just been so encouraged
[00:01:04.680 --> 00:01:06.720]   as we've looked back on this year
[00:01:06.720 --> 00:01:10.080]   to celebrate all God has done.
[00:01:10.080 --> 00:01:13.040]   Just to share with you and to celebrate with you
[00:01:13.040 --> 00:01:15.940]   what God has done here in our lives.
[00:01:15.940 --> 00:01:18.320]   We've had four mission trips this year.
[00:01:18.320 --> 00:01:20.320]   We've had four equipping nights.
[00:01:20.320 --> 00:01:21.680]   We had the launch retreat.
[00:01:21.680 --> 00:01:23.520]   Anyone go to launch with us?
[00:01:23.520 --> 00:01:25.800]   (congregation cheering)
[00:01:25.800 --> 00:01:27.520]   Six porch late nights.
[00:01:27.520 --> 00:01:30.800]   We have 200 leaders serving with us.
