
[00:00:00.000 --> 00:00:10.000]  【採訪撰稿/賴麗櫻 攝影剪輯/王維 攝影剪輯】
[00:00:10.000 --> 00:00:32.000]  各位弟兄姊妹好!感謝神給我們可以在網上見面,來分享神的話語。也謝謝大家今天來參加聖經的講座,願神賜福給我們每一位。
[00:00:32.000 --> 00:00:48.000]  現在新冠病毒的疫情肆虐全世界已經好幾個月了,我們現在還是看不到盡頭在哪,我們都在黑暗的當中。
[00:00:48.000 --> 00:01:04.000]  我們人在患難中往往會失望,但失望不是我們基督徒的信仰,因為我們的聖經給我們的信仰是希望的信仰。
[00:01:04.000 --> 00:01:18.000]  《四四時代》雖然常被稱為黑暗的時代,但是《四四記》這本書告訴我們,其實在當中還是有希望的信息的。
[00:01:18.000 --> 00:01:34.000]  所以今天我就從《四四記》這本書來看黑暗中的希望,我會根據《四四記》的內容結構分為三方面來跟大家分享。
[00:01:34.000 --> 00:01:47.000]  在每一段的末了,我會順便提一提,同樣的信息是出現在全本的舊約聖經的。
[00:01:47.000 --> 00:02:16.000]  我現在給大家分享我的PowerPoint,我們先來看到最早的地方,就是我們今天的主題,就是從尋曙光,從四四時代的黑暗中找希望。
[00:02:16.000 --> 00:02:31.000]  所謂三段就是《四四記》的引論,黑暗中有神的工作,《四四記》的演論,黑暗中有神的同在,《四四記》的結論,黑暗中有神的應許。
[00:02:31.000 --> 00:02:56.000]  我們先來看第一大段,就是《四四記》的引論裡面的第一點,從約束亞時代到四四時代,引論是從第一章第一節一直到第三章的第六節,我們曉得《四四記》在約束亞記之後。
[00:02:56.000 --> 00:03:12.000]  所以你看看約束亞記,其實《四四記》一開始的時候就講約束亞死後,很顯然它是要將四四時代跟約束亞時代分開。
[00:03:12.000 --> 00:03:28.000]  那麼這兩個時代究竟有什麼不同呢?約束亞記的第十一章第二十三節,就是這個包括裡面所看到的,這樣約束亞照著耶和華所吩咐摩西的一切化,奪取了全地。
[00:03:28.000 --> 00:03:40.000]  於是約束亞按照以色列的支配,就把地分給他們為產業,全地也就止息了戰爭,也就是太平了。
[00:03:40.000 --> 00:04:00.000]  如果我們看《四四》第二章,也同樣形容約束亞時代,是約束亞在世的時候,就是他的時代,以及他去世以後那些見過耶和華以色列人所行的大事的眾長老,還在世的時候,眾人都侍奉耶和華。
[00:04:00.000 --> 00:04:21.000]  所以無論是約束亞記,四四記都告訴我們,這個約束亞的時代,是滿好的一個時代,雖然前面有政府的戰爭,但是之後就是太平了,大家平安,大家有自己的產業,然後大家都平安了。
[00:04:21.000 --> 00:04:44.000]  四四記還告訴我們,那個時代的人類,眾人都侍奉耶和華。所以約束亞的時候,是一個很好的一個時代,是大家都侍奉神的時代,是一個有局序的時代,是大家遵守神的律法的一個時代。
[00:04:44.000 --> 00:05:00.000]  到了四四時代,常常出現一句話叫做任意而行,他們敬拜偶像,又敬拜偶像,所以被外邦人欺壓,又被外邦人欺壓,不斷地重複。
[00:05:00.000 --> 00:05:17.000]  換句話來說,從約束亞時代到四四時代,是一個從平安有局序的世界,過渡到一個沒有平安只有痛苦的,失去了局序的一個世界。
