
[00:00:00.000 --> 00:00:02.640]  再次歡迎大家參加
[00:00:02.640 --> 00:00:05.440]  環球聖經公會的網上聖經課程
[00:00:05.440 --> 00:00:07.640]  我是環聖的培訓總監
[00:00:07.640 --> 00:00:08.720]  梁韻玄博士
[00:00:08.720 --> 00:00:10.720]  也是這個課程的講師
[00:00:10.720 --> 00:00:14.000]  今次我們是查考《迦太書》
[00:00:14.000 --> 00:00:16.520]  開始學習的時候
[00:00:16.520 --> 00:00:18.320]  我們再一次低頭祈禱
[00:00:18.320 --> 00:00:20.160]  親阿爸父神去感謝你
[00:00:20.160 --> 00:00:21.680]  因為你透過耶穌基督
[00:00:21.680 --> 00:00:23.000]  完成這個救恩
[00:00:23.000 --> 00:00:25.080]  又透過歷代的聖徒
[00:00:25.080 --> 00:00:26.840]  去傳揚這個救恩的時候
[00:00:26.840 --> 00:00:29.120]  讓更多人去認識你
[00:00:29.120 --> 00:00:32.600]  以致質疑脫離罪惡的捆綁
[00:00:32.600 --> 00:00:33.840]  但在這個過程
[00:00:33.840 --> 00:00:35.120]  我們發現
[00:00:35.120 --> 00:00:36.960]  福音很容易被人扭曲
[00:00:36.960 --> 00:00:39.120]  因此透過查考《迦太書》
[00:00:39.120 --> 00:00:41.120]  讓我們能夠對福音
[00:00:41.120 --> 00:00:42.880]  有更全面的理解
[00:00:42.880 --> 00:00:44.200]  以致我們這個世代
[00:00:44.200 --> 00:00:45.760]  說去傳揚福音
[00:00:45.760 --> 00:00:48.880]  能夠更加合乎聖經的教導
[00:00:48.880 --> 00:00:50.840]  願祢去幫助我們每一個
[00:00:50.840 --> 00:00:51.920]  以致我們因著
[00:00:51.920 --> 00:00:54.320]  你自己聖靈的工作
[00:00:54.320 --> 00:00:55.960]  我們的見證
[00:00:55.960 --> 00:00:57.120]  我們的生活
[00:00:57.120 --> 00:00:59.800]  更加能夠活出真理
[00:00:59.800 --> 00:01:01.480]  亦活出自由
[00:01:01.480 --> 00:01:02.640]  禱告仰望
[00:01:02.640 --> 00:01:03.800]  奉主明求
[00:01:03.800 --> 00:01:06.200]  我們按著講義
[00:01:06.200 --> 00:01:08.760]  和大家介紹《迦太書》
[00:01:08.760 --> 00:01:11.000]  首先是導覽的部分
[00:01:11.000 --> 00:01:13.560]  注一傳書結構
[00:01:13.560 --> 00:01:15.040]  一如以往
[00:01:15.040 --> 00:01:18.040]  如果你聽過網上聖經課程
[00:01:18.040 --> 00:01:19.560]  我教新的傳書
[00:01:19.560 --> 00:01:23.080]  都會先給大家傳書結構
[00:01:23.080 --> 00:01:25.960]  任何書卷基本上都是三分法
[00:01:25.960 --> 00:01:27.960]  引言、證文、結語
[00:01:27.960 --> 00:01:29.920]  但是在《迦太書》
[00:01:29.920 --> 00:01:32.680]  再介紹多一個角度
[00:01:32.680 --> 00:01:34.840]  就是希羅修辭學
[00:01:34.840 --> 00:01:37.800]  因為在近代的新約聖經研究
[00:01:37.800 --> 00:01:42.000]  有位學者阿貝茨
[00:01:42.000 --> 00:01:46.880]  把希羅修辭學應用在《迦太書》
[00:01:46.880 --> 00:01:51.440]  以致有很多學者都去回應
[00:01:51.440 --> 00:01:56.240]  和用這個方法去看其他新約的書卷
[00:01:56.240 --> 00:01:58.440]  而希羅修辭學
[00:01:58.440 --> 00:02:01.080]  其實是按照第一個世紀
[00:02:01.080 --> 00:02:03.760]  他們讀書會學寫作
