
[00:00:00.000 --> 00:00:22.020]  好 各位網友大家好 今天我們會來看從聖經看如何面對大時代的轉變
[00:00:22.020 --> 00:00:26.620]  剛才廖牧師也已經分享了以西傑書的再思
[00:00:26.880 --> 00:00:29.960]  課題是圍繞著亡國
[00:00:29.960 --> 00:00:32.760]  我選用的
[00:00:32.760 --> 00:00:36.860]  聖經的譯本就是環球聖經譯本
[00:00:36.860 --> 00:00:38.920]  所以待會
[00:00:38.920 --> 00:00:45.320]  你們手上也已經有筆記了 不過如果有經文的話可以在
[00:00:45.320 --> 00:00:46.600]  PowerPoint或是在網上找到
[00:00:46.600 --> 00:00:49.920]  環球聖經譯本
[00:00:53.000 --> 00:00:59.140]  我們開始的時候也會略略說一下以西傑書的一些背景資料
[00:00:59.140 --> 00:01:01.700]  以及所謂以西傑書的結構
[00:01:01.700 --> 00:01:06.320]  以西傑書一共有48章
[00:01:06.320 --> 00:01:10.920]  這48章裏面大約可以分成三個部分
[00:01:10.920 --> 00:01:17.320]  第一個部分就是審判猶太耶路撒冷的神諭
[00:01:17.320 --> 00:01:22.960]  神諭就是先知在神裏面得到的一些訊息
[00:01:23.180 --> 00:01:26.240]  然後再寫出來的意思
[00:01:26.240 --> 00:01:31.360]  所以第1至24章就是關於審判猶太和耶路撒冷的
[00:01:31.360 --> 00:01:33.400]  審判訊息
[00:01:33.400 --> 00:01:39.800]  而接著第25到32章 我們一般會稱之為審判列國的神諭
[00:01:39.800 --> 00:01:44.160]  當中有七個國家會被審判
[00:01:44.160 --> 00:01:50.300]  所以如果我們把第1章到第32章 把他們加起來看的話
[00:01:50.300 --> 00:01:52.080]  其實他是很
[00:01:52.240 --> 00:01:54.740]  很
[00:01:54.740 --> 00:02:01.660]  工整的 或是很齊整的 都是在表達一個叫做審判的訊息
[00:02:01.660 --> 00:02:06.020]  而最後的一個部分 第三個部分就是第33章
[00:02:06.020 --> 00:02:11.100]  到第48章就是以色列復興的神諭
[00:02:11.100 --> 00:02:14.200]  所以我們大約
[00:02:14.200 --> 00:02:18.540]  當我們看第1到第32章的時候
[00:02:18.800 --> 00:02:25.960]  我們會除了在審判耶路撒冷猶太和七個國家之外
[00:02:25.960 --> 00:02:27.000]  我們會除了在審判耶路撒冷猶太和七個國家之外
[00:02:27.000 --> 00:02:30.320]  其實必然是包括了一些所謂的
[00:02:30.320 --> 00:02:32.880]  亡國的背景在裏面
[00:02:32.880 --> 00:02:35.440]  以色列其實一直
[00:02:35.440 --> 00:02:40.300]  都是在向我們揭示一位審判的神
[00:02:40.300 --> 00:02:41.580]  不過
[00:02:41.580 --> 00:02:45.180]  由第33章開始
[00:02:45.640 --> 00:02:49.240]  就會出現一系列關於上主復興
[00:02:49.240 --> 00:02:50.260]  以色列
[00:02:50.260 --> 00:02:53.080]  民和以色列地的應許
[00:02:53.080 --> 00:02:59.720]  所以由第34章到第48章 我們就會
[00:02:59.720 --> 00:03:02.800]  充滿希望的訊息
[00:03:02.800 --> 00:03:06.140]  而第33章到第37章
[00:03:06.140 --> 00:03:10.740]  基本上是可以說是首次為那些
[00:03:10.740 --> 00:03:13.820]  飽受地老 亡國
[00:03:14.080 --> 00:03:18.180]  那種威脅的群體
[00:03:18.180 --> 00:03:24.060]  繪畫出一幅美麗充滿盼望的圖畫
[00:03:24.060 --> 00:03:27.900]  這就是以色列傑書基本的一些結構
[00:03:27.900 --> 00:03:32.000]  這次講座的
[00:03:32.000 --> 00:03:33.020]  目標
[00:03:33.020 --> 00:03:37.880]  其實是想跟大家分享 在一個亡國的背景之下
[00:03:37.880 --> 00:03:42.240]  其實我們怎樣去理解復興呢
[00:03:42.500 --> 00:03:44.660]  或是說 如果你把
[00:03:44.660 --> 00:03:47.740]  亡國視為一種困難的時候
[00:03:47.740 --> 00:03:52.940]  其實在困難的當中 你如何能夠經歷神的復興呢
[00:03:52.940 --> 00:03:59.100]  於是乎我會借助好木人的比喻 這個好木人的比喻
[00:03:59.100 --> 00:04:02.940]  其實是在以色列傑書第34章裏面
[00:04:02.940 --> 00:04:07.540]  我借助這個好木人的比喻 帶領大家一起反思
[00:04:07.540 --> 00:04:10.360]  就是在大時代的轉變裏面
[00:04:10.620 --> 00:04:16.760]  我們應該怎樣去建立自己 或是建立一個合乎神心意的群體
[00:04:16.760 --> 00:04:19.840]  我知道上星期
[00:04:19.840 --> 00:04:23.920]  同一個課題就是分享到約翰福音
[00:04:23.920 --> 00:04:28.020]  大家知道約翰福音其中一句很熟悉的經文
[00:04:28.020 --> 00:04:30.080]  就是「我是好木人」
