
[00:00:00.000 --> 00:00:02.920]  好 多謝廖牧師 多謝宏盛的邀請
[00:00:02.920 --> 00:00:06.560]  今天就跟大家一起讀
[00:00:06.560 --> 00:00:10.960]  《貼薩羅奇家前後書》
[00:00:10.960 --> 00:00:16.160]  那個主題是 剛才廖牧師
[00:00:16.160 --> 00:00:31.920]  都是圍繞著《貼薩羅奇家前後書》最出名的那兩段經文
[00:00:31.920 --> 00:00:33.920]  《貼薩羅奇家前後書》第四章
[00:00:33.920 --> 00:00:37.920]  還有後書的第二、第三章
[00:00:37.920 --> 00:00:49.520]  那兩段經文是《貼薩羅奇家前後書》第四章和後書的第二、第三章的經文
[00:00:49.520 --> 00:00:57.920]  是講到主在內 講到不法者的顯現
[00:00:57.920 --> 00:01:04.320]  但是有些細節就未必一定會做到一個解釋
[00:01:04.320 --> 00:01:10.920]  比如說不法者是誰 連保羅自己都沒有將他
[00:01:10.920 --> 00:01:13.600]  喝了點汽水 還有點氣
[00:01:13.600 --> 00:01:16.680]  連保羅都沒有辦法將那個不法者
[00:01:16.680 --> 00:01:19.320]  或者說沒有指出來的
[00:01:19.320 --> 00:01:23.880]  不過他在他當時 他說話要小心一點
[00:01:23.880 --> 00:01:31.120]  我們都理解他心目中是不是都會有一個不法者的人物
[00:01:31.120 --> 00:01:34.640]  他心目中有數 我們就不得而知
[00:01:34.640 --> 00:01:38.640]  這個我們始終整體對於《貼薩羅奇家前後書》
[00:01:38.640 --> 00:01:40.280]  保羅怎樣看《宗末》呢?
[00:01:40.280 --> 00:01:47.840]  我們會稍微處理一下 嘗試去理解 嘗試去詮釋
[00:01:47.840 --> 00:01:53.000]  我基本上就會分作上下兩部分
[00:01:53.000 --> 00:01:56.000]  因為平時聚會都會分作上下兩部分
[00:01:56.000 --> 00:02:02.080]  上半部分就會和大家看多一些《貼薩羅奇家前後書》的經文
[00:02:02.080 --> 00:02:07.520]  關注一個現象 我們是由一個現象入手
[00:02:07.520 --> 00:02:10.440]  那個是什麼現象呢?就是受苦的現象
[00:02:10.440 --> 00:02:13.280]  一會兒就會和大家解釋
[00:02:13.280 --> 00:02:19.680]  為什麼要由這個在經文裡面所提到的受苦現象入手
[00:02:19.680 --> 00:02:22.600]  我部分部分都會列出一些經文
[00:02:22.600 --> 00:02:25.320]  但是總體需要大家手上有識經
[00:02:25.320 --> 00:02:29.800]  如果手機上有識經 開定一個識經的App都差不多
[00:02:29.800 --> 00:02:34.120]  或者有硬盤的 像我這樣 我喜歡用硬盤
[00:02:34.120 --> 00:02:37.480]  比較不得已的時候就會用手機
[00:02:37.480 --> 00:02:39.640]  到時候我們就會看一些經文
[00:02:39.640 --> 00:02:43.880]  因為我們讀經文的時候 都往往會看上下文
