
[00:00:00.000 --> 00:00:03.280]  我們就把時間交給孫寶玲博士
[00:00:03.280 --> 00:00:05.460]  讓她帶領我們在這個
[00:00:05.460 --> 00:00:08.180]  我們都非常有興趣的課題當中
[00:00:08.180 --> 00:00:10.700]  盡心又盡心 我們請孫博士
[00:00:10.700 --> 00:00:28.820]  各位電影姐妹晚安
[00:00:29.260 --> 00:00:34.820]  在今晚我想向大家報告關於約翰福音的
[00:00:34.820 --> 00:00:36.660]  解經和應用
[00:00:36.660 --> 00:00:37.860]  當然在我們的時間內
[00:00:37.860 --> 00:00:40.660]  不可能每一章每一節都會看
[00:00:40.660 --> 00:00:43.060]  所以我只會重點地
[00:00:43.060 --> 00:00:47.180]  希望能夠將約翰福音的訊息和
[00:00:47.180 --> 00:00:51.220]  比較核心的意義帶出來
[00:00:51.220 --> 00:00:53.460]  我亦都希望可以按照著
[00:00:53.460 --> 00:00:56.580]  大家手上有的大綱
[00:00:56.580 --> 00:00:58.860]  來一齊去思考
[00:00:59.260 --> 00:01:00.580]  首先我想提出
[00:01:00.580 --> 00:01:04.260]  如果我們要理解約翰福音
[00:01:04.260 --> 00:01:05.660]  解釋約翰福音
[00:01:05.660 --> 00:01:10.340]  有三個角度我們必須掌握
[00:01:10.340 --> 00:01:14.380]  有三個角度或是向度必須掌握
[00:01:14.380 --> 00:01:16.460]  第一個是神學的角度
[00:01:16.460 --> 00:01:18.180]  第二個是歷史的角度
[00:01:18.180 --> 00:01:20.620]  或者歷史和文化的角度
[00:01:20.620 --> 00:01:23.740]  第三個是文學的角度
[00:01:23.740 --> 00:01:26.380]  這三個角度
[00:01:26.380 --> 00:01:28.580]  了解約翰福音是非常重要的
[00:01:28.580 --> 00:01:32.380]  缺一也很艱難
[00:01:32.380 --> 00:01:35.300]  首先說說神學的角度
[00:01:35.300 --> 00:01:36.380]  其實神學
[00:01:36.380 --> 00:01:39.220]  如果我們說得比較平民化一點
[00:01:39.220 --> 00:01:40.580]  就是信仰的角度
[00:01:40.580 --> 00:01:42.980]  這樣會比較容易理解
[00:01:42.980 --> 00:01:45.580]  不用說得好像很深奧
[00:01:45.580 --> 00:01:51.580]  約翰福音是基於一種信仰的思考
[00:01:51.580 --> 00:01:53.380]  來寫的
[00:01:53.380 --> 00:01:57.380]  亦都存在一個信仰的期望
[00:01:57.380 --> 00:02:01.580]  希望讀者能夠有所回應
[00:02:01.580 --> 00:02:05.380]  如果我們想說得更多一點的話
[00:02:05.380 --> 00:02:06.580]  約翰福音寫的時候
[00:02:06.580 --> 00:02:09.980]  他有一種信仰的價值觀點
[00:02:09.980 --> 00:02:13.580]  有一個信仰的目的
[00:02:13.580 --> 00:02:15.180]  所以閱讀這個福音書
[00:02:15.180 --> 00:02:16.380]  或者解釋這個福音書
[00:02:16.380 --> 00:02:18.980]  甚至想實踐這個福音書的時候
[00:02:18.980 --> 00:02:24.380]  其實要循著他所提供的信仰觀點價值
[00:02:24.380 --> 00:02:25.780]  或者目的
[00:02:25.780 --> 00:02:28.780]  來閱讀、理解和實踐
[00:02:28.780 --> 00:02:31.180]  如果我們可以比較
[00:02:31.180 --> 00:02:35.380]  一開始的時候說得比較提綱、揭領一點
[00:02:35.380 --> 00:02:37.580]  就把重點說出來的話
[00:02:37.580 --> 00:02:40.380]  不用那麼多迂迴的糾纏的話
[00:02:40.380 --> 00:02:43.780]  在約翰福音第20章的30至31節
[00:02:43.780 --> 00:02:46.380]  其實說得很清楚
[00:02:46.380 --> 00:02:49.180]  約翰福音第20章的30至31節
[00:02:49.180 --> 00:02:50.380]  如果你有聖經的話
[00:02:50.380 --> 00:02:53.180]  我想你也一起來跟我打開
[00:02:53.180 --> 00:02:55.980]  看20章的30至31節
[00:02:55.980 --> 00:02:57.380]  這裡很清楚
[00:02:57.380 --> 00:03:00.380]  把約翰福音這本作品
[00:03:00.380 --> 00:03:03.380]  所謂神學的角度
[00:03:03.380 --> 00:03:06.580]  信仰的觀點價值和目的
[00:03:06.580 --> 00:03:08.380]  寫得很清楚
[00:03:08.380 --> 00:03:10.580]  這也是我們解釋約翰福音的時候
[00:03:10.580 --> 00:03:14.180]  一個很重要的參照點
[00:03:14.180 --> 00:03:15.380]  第30節
[00:03:15.380 --> 00:03:16.780]  「耶穌在門徒面前說
[00:03:16.780 --> 00:03:18.580]  行了許多別的神蹟
[00:03:18.580 --> 00:03:20.580]  沒有記載在書上
[00:03:20.580 --> 00:03:22.580]  但把這些事記下來
[00:03:22.580 --> 00:03:26.780]  是要你們信耶穌是基督是神的兒子
[00:03:26.780 --> 00:03:28.980]  並且使你們信了
[00:03:28.980 --> 00:03:31.980]  可以因他的名得生命」
[00:03:31.980 --> 00:03:34.780]  這說得很清楚
[00:03:34.780 --> 00:03:36.380]  整本約翰福音所寫的
[00:03:36.380 --> 00:03:41.380]  所謂目的、神學的取向價值是甚麼
[00:03:41.380 --> 00:03:46.380]  如果我們還想推一些
[00:03:46.380 --> 00:03:49.380]  說得比較準確的話
[00:03:49.380 --> 00:03:51.980]  我們會說約翰福音的神學取向
[00:03:51.980 --> 00:03:55.780]  是基督論的
[00:03:55.780 --> 00:03:56.980]  所謂基督律師
[00:03:56.980 --> 00:04:00.580]  是環繞著耶穌基督的身份和工作
[00:04:00.580 --> 00:04:02.380]  去發展的
