
[00:00:00.000 --> 00:00:13.000]  (廣播)
[00:00:13.000 --> 00:00:15.000]  各位電視節目的朋友
[00:00:15.000 --> 00:00:23.000]  我們今年一月份三次盛宴頌土的最後一堂
[00:00:23.000 --> 00:00:27.000]  我自己那時候跟同事分享
[00:00:27.000 --> 00:00:33.000]  很感謝三位講員願意來帶我們三次的講座
[00:00:33.000 --> 00:00:37.000]  第一次是整體的介紹
[00:00:37.000 --> 00:00:40.000]  第二第三次其實都是操練
[00:00:40.000 --> 00:00:44.000]  第一個是詩篇請何潔博士
[00:00:44.000 --> 00:00:48.000]  詩篇其實是在教會特別是修道院裏
[00:00:48.000 --> 00:00:52.000]  很早年就開始很規律的去讀詩篇
[00:00:52.000 --> 00:00:54.000]  所以詩篇是一個很重要的操練
[00:00:54.000 --> 00:00:58.000]  在這個盛宴頌土的發展過程裏面
[00:00:58.000 --> 00:00:59.000]  很重要的操練
[00:00:59.000 --> 00:01:01.000]  另外今晚是耶穌生平
[00:01:01.000 --> 00:01:03.000]  又是基督生平
[00:01:03.000 --> 00:01:06.000]  基督生平最好的將它成為一個
[00:01:06.000 --> 00:01:09.000]  很好的操練的模特
[00:01:09.000 --> 00:01:14.000]  深化了盛宴頌土的操練
[00:01:14.000 --> 00:01:17.000]  就是耶穌會的內奧
[00:01:17.000 --> 00:01:19.000]  所以今晚我不知道
[00:01:19.000 --> 00:01:23.000]  老師會從哪個角度去講
[00:01:23.000 --> 00:01:25.000]  非常之感恩
[00:01:25.000 --> 00:01:28.000]  也求主帶領我們
[00:01:28.000 --> 00:01:31.000]  我在這裏也很感謝教會
[00:01:31.000 --> 00:01:33.000]  讓我們一開始今年第一次
[00:01:33.000 --> 00:01:38.000]  連續三個星期讓我們來辦講座
[00:01:38.000 --> 00:01:41.000]  很多同工弟子妹一齊來聆聽
[00:01:41.000 --> 00:01:43.000]  求主引導我們
[00:01:43.000 --> 00:01:45.000]  今晚我們整個的過程
[00:01:45.000 --> 00:01:48.000]  都是跟我們一般的講座一樣
[00:01:48.000 --> 00:01:49.000]  我們有上下半場
[00:01:49.000 --> 00:01:52.000]  在上半場結束的時候
[00:01:52.000 --> 00:01:54.000]  我們會有一個收奉獻
[00:01:54.000 --> 00:01:56.000]  求主感動帶領我們
[00:01:56.000 --> 00:02:00.000]  等下我會再報告一些其他的事情
