
[00:00:00.000 --> 00:00:16.000]  各位電影姊妹晚安
[00:00:16.000 --> 00:00:23.000]  感謝上帝讓我今晚有機會和大家分享這個題目
[00:00:23.000 --> 00:00:33.000]  這個題目其實都是源自我過去研究菲勒比書的時候一個相關的題目
[00:00:33.000 --> 00:00:40.000]  事實上因為菲勒比書雖然沒有一個名人舊約
[00:00:40.000 --> 00:00:44.000]  但是卻有多處的暗人舊約
[00:00:44.000 --> 00:00:48.000]  而就如剛才廖牧師提到的
[00:00:48.000 --> 00:00:53.000]  原來不單止菲勒比書,在新約聖經裡
[00:00:53.000 --> 00:01:01.000]  或許不是全部,但是大部分的舊約名人和暗人
[00:01:01.000 --> 00:01:06.000]  原來文本都是七十事半的
[00:01:06.000 --> 00:01:10.000]  所以今天晚上接觸這個題目
[00:01:10.000 --> 00:01:14.000]  希望能夠幫助大家了解
[00:01:14.000 --> 00:01:22.000]  究竟七十事半對於我們去認識聖經,特別是新約
[00:01:22.000 --> 00:01:27.000]  我們去理解新約的時候有什麼影響呢?
[00:01:27.000 --> 00:01:40.000]  在第一章的題目裡,我將今晚的題目給予一個重要性去演繹
[00:01:40.000 --> 00:01:52.000]  我們要重視舊約的希伯來文本和希臘文本之間的關係
[00:01:52.000 --> 00:02:02.000]  是為了確立那份可靠的,被新約作者引用的舊約
[00:02:02.000 --> 00:02:07.000]  這裡我寫著NT怎樣去用OT
[00:02:07.000 --> 00:02:15.000]  我們想知道究竟新約的作者是參考一個什麼文本源頭
[00:02:15.000 --> 00:02:17.000]  Textual source
[00:02:17.000 --> 00:02:29.000]  從七十事半和新約之間兩個文本的互涉
[00:02:29.000 --> 00:02:36.000]  我們能夠看得更加清楚究竟新約的作者是想帶來一個什麼神學訊息
[00:02:36.000 --> 00:02:47.000]  好讓信徒最終不單知道一些知識,更能改寫自己的敘事事業
[00:02:47.000 --> 00:02:54.000]  這個重要性是我今晚希望能夠達到的
[00:02:54.000 --> 00:03:03.000]  所以一會兒聽我講很多資料的時候,希望你最終發現和這一版有關係
[00:03:03.000 --> 00:03:08.000]  當我要和大家探索這個題目的時候
[00:03:08.000 --> 00:03:14.000]  我必須承認今晚這個題目是有點複雜的
[00:03:14.000 --> 00:03:22.000]  所以我希望你今晚完成之後除了有種混亂感之外
[00:03:22.000 --> 00:03:25.000]  我們都希望你繼續有些方向感
[00:03:25.000 --> 00:03:30.000]  作為新約的作者所引用的舊約譯本
[00:03:30.000 --> 00:03:38.000]  其實七十事半subduedion,或者叫它LXX
[00:03:38.000 --> 00:03:44.000]  它的地位和馬索拉抄本有什麼不同呢?
[00:03:44.000 --> 00:03:51.000]  subduedion其實是一個拉丁文,意思就是七十
[00:03:51.000 --> 00:04:01.000]  當年其實是在公元前的第三世紀
[00:04:01.000 --> 00:04:07.000]  公元前二百八十幾年左右,我們叫第三世紀初
[00:04:07.000 --> 00:04:19.000]  據聞當時的埃及王向當時耶路撒冷的祭司
[00:04:19.000 --> 00:04:26.000]  發出一個呼聲,他們很想在那邊的亞歷山大城圖書館
[00:04:26.000 --> 00:04:30.000]  都能夠有一個猶太人的聖典
[00:04:30.000 --> 00:04:38.000]  而當時據聞以色列那邊派出了十二個支派
[00:04:38.000 --> 00:04:42.000]  每個支派派出了六位學者
[00:04:42.000 --> 00:04:46.000]  所以十二乘六就是七十二
[00:04:46.000 --> 00:04:50.000]  四十一共入,就當作是七十
[00:04:50.000 --> 00:04:57.000]  然後他們花了七十二日,還是七十二小時
[00:04:57.000 --> 00:05:05.000]  很短的時間內,把摩西五經翻出來
[00:05:05.000 --> 00:05:14.000]  而這亦成為了往後我們稱呼後來的翻譯
[00:05:14.000 --> 00:05:20.000]  及後來我們說是相信整個的希伯文
[00:05:20.000 --> 00:05:25.000]  猶太人的舊約聖經都是逐一的
[00:05:25.000 --> 00:05:28.000]  在往後被翻譯成為了希臘文
