
[00:00:00.000 --> 00:00:06.000]  今天其實是一個系列
[00:00:06.000 --> 00:00:10.000]  這個系列就是《從聖經》
[00:00:10.000 --> 00:00:14.000]  看如何面對大時代的轉變
[00:00:14.000 --> 00:00:18.000]  這個系列我們有六堂課的
[00:00:18.000 --> 00:00:22.000]  我們有六堂課的
[00:00:22.000 --> 00:00:26.000]  其實不止的,這一次有六次
[00:00:26.000 --> 00:00:30.000]  接下來是六月、八月都有的
[00:00:30.000 --> 00:00:36.000]  選了差不多十卷的經卷
[00:00:36.000 --> 00:00:40.000]  想從不同的角度來思想這個課題
[00:00:40.000 --> 00:00:44.000]  我們就選了十卷的經卷
[00:00:44.000 --> 00:00:50.000]  想從不同的角度來思想這個課題
[00:00:50.000 --> 00:00:54.000]  大家都知道這幾年
[00:00:54.000 --> 00:00:58.000]  這個世界發生了很多事情
[00:00:58.000 --> 00:01:04.000]  這些事情發生對香港影響都很大
[00:01:04.000 --> 00:01:06.000]  其實最大的影響是什麼呢?
[00:01:06.000 --> 00:01:10.000]  不知道大家怎樣,每個人的感受都不同
[00:01:10.000 --> 00:01:14.000]  在疫情期間,或者疫情之前
[00:01:14.000 --> 00:01:16.000]  不想消費都不少
[00:01:16.000 --> 00:01:22.000]  不過似乎現在感受很深
[00:01:22.000 --> 00:01:24.000]  人們喜歡不想消費
[00:01:24.000 --> 00:01:26.000]  我經常看到一個廣告
[00:01:26.000 --> 00:01:28.000]  你回去哪裡配眼鏡呢?
[00:01:28.000 --> 00:01:30.000]  七十多元就完價了
[00:01:30.000 --> 00:01:34.000]  我身邊有很多人都說
[00:01:34.000 --> 00:01:36.000]  你這副眼鏡新的,在哪裡配的?
[00:01:36.000 --> 00:01:39.000]  七十多元,七十一百元左右
[00:01:39.000 --> 00:01:42.000]  為什麼有很大的逆轉呢?
[00:01:42.000 --> 00:01:44.000]  我有幾個朋友
[00:01:44.000 --> 00:01:48.000]  最近回到內地去旅行
[00:01:48.000 --> 00:01:51.000]  不過他們是比較誇張一點
[00:01:51.000 --> 00:01:55.000]  他們說回去的時候都要帶一個廚師去
[00:01:55.000 --> 00:01:57.000]  哇,你帶一個廚師去
[00:01:57.000 --> 00:01:59.000]  我還沒帶一個廚師去
[00:01:59.000 --> 00:02:00.000]  一整團人都帶一個廚師去
[00:02:00.000 --> 00:02:02.000]  因為怕吃東西吃不慣
[00:02:02.000 --> 00:02:06.000]  他們去西藏,去比較遠的地方
[00:02:06.000 --> 00:02:11.000]  完全不同了感受
[00:02:11.000 --> 00:02:18.000]  所以我對整個世界有很多東西都有新的眼光
[00:02:18.000 --> 00:02:20.000]  究竟現在發生了什麼事情
[00:02:20.000 --> 00:02:24.000]  這些事情和我們的關係又是怎樣呢?
[00:02:24.000 --> 00:02:28.000]  不過如果我們讀歷史的人
