
[00:00:00.000 --> 00:00:17.000]  我們大家都吃了飯了,是嗎?
[00:00:17.000 --> 00:00:20.000]  是啊,真的很歡迎大家來
[00:00:20.000 --> 00:00:22.000]  因為外面的天氣都一般般
[00:00:22.000 --> 00:00:25.000]  我是環球聖經公會的同工
[00:00:25.000 --> 00:00:26.000]  我叫Savannah
[00:00:26.000 --> 00:00:29.000]  我在這裡做一點介紹
[00:00:29.000 --> 00:00:31.000]  今天的講座有一個系列
[00:00:31.000 --> 00:00:33.000]  叫《聖道全尋尋》
[00:00:33.000 --> 00:00:34.000]  今次是第三季
[00:00:34.000 --> 00:00:40.000]  從《宣教與易經》看《聖道全尋尋》的題目
[00:00:40.000 --> 00:00:42.000]  今天有一個主題
[00:00:42.000 --> 00:00:46.000]  叫《威廉克里的宣教與易經的啟迪》
[00:00:46.000 --> 00:00:51.000]  我們很高興請到游偉業博士來跟我們分享
[00:00:51.000 --> 00:00:57.000]  游博士是美國西南浸信會神學院教務學博士
[00:00:57.000 --> 00:01:01.000]  他主修城市宣教和宣教教育
[00:01:01.000 --> 00:01:06.000]  另外他也是香港中文大學崇基學院的神學博士
[00:01:06.000 --> 00:01:13.000]  他的神學博士是在宣教、神學和歷史方面比較專業
[00:01:13.000 --> 00:01:18.000]  所以他今晚來跟我們分享這個題目非常之適合
[00:01:18.000 --> 00:01:19.000]  多謝游博士
[00:01:19.000 --> 00:01:21.000]  我們給一點掌聲給游博士
[00:01:21.000 --> 00:01:25.000]  先看看今晚的流程
[00:01:25.000 --> 00:01:27.000]  很快的
[00:01:27.000 --> 00:01:29.000]  今晚我講完之後
[00:01:29.000 --> 00:01:31.000]  我們都會有一個期間開始
[00:01:31.000 --> 00:01:35.000]  然後游博士就會出來跟我們分享第一部分的訊息
[00:01:35.000 --> 00:01:38.000]  大約八點二十五分左右
[00:01:38.000 --> 00:01:39.000]  就會有小休
[00:01:39.000 --> 00:01:41.000]  不過小休前我們有奉獻的時間
[00:01:41.000 --> 00:01:45.000]  我都會有一點書籍來推介給大家
[00:01:45.000 --> 00:01:49.000]  小休到八點八個時左右
[00:01:49.000 --> 00:01:52.000]  至到九點半就是第二部分的訊息
[00:01:52.000 --> 00:01:54.000]  游博士會繼續跟我們分享
[00:01:54.000 --> 00:01:57.000]  差不多是大約這樣的流程
[00:01:57.000 --> 00:01:59.000]  如果你們最後有沒有什麼問題
[00:01:59.000 --> 00:02:01.000]  是不是可以問一下游博士
[00:02:01.000 --> 00:02:02.000]  可以的
[00:02:02.000 --> 00:02:03.000]  好 多謝
[00:02:03.000 --> 00:02:06.000]  我們在開始今晚的講座之前
[00:02:06.000 --> 00:02:08.000]  我們有一個祈求心的問候
[00:02:08.000 --> 00:02:09.000]  沙天祥我們很多謝你
[00:02:09.000 --> 00:02:11.000]  讓我們今晚來到這裡
[00:02:11.000 --> 00:02:16.000]  有一個講座是講到關於易經和宣教的關係
[00:02:16.000 --> 00:02:19.000]  讓我們可以在今晚的訊息裏邊
[00:02:19.000 --> 00:02:21.000]  能夠有所啟迪
[00:02:21.000 --> 00:02:23.000]  求主帶領整晚的程序
[00:02:23.000 --> 00:02:26.000]  讓我們透過福音游博士
[00:02:26.000 --> 00:02:29.000]  在當中分享他所認識的
[00:02:29.000 --> 00:02:30.000]  他所知道的
[00:02:30.000 --> 00:02:34.000]  又讓他的訊息能夠給我們有亮光
[00:02:34.000 --> 00:02:35.000]  給我們有幫助
[00:02:35.000 --> 00:02:36.000]  我們仰望你
[00:02:36.000 --> 00:02:38.000]  願你來到這裡與我們同在
[00:02:38.000 --> 00:02:39.000]  在今晚裏邊你帶領一切
[00:02:39.000 --> 00:02:40.000]  我們多謝你
[00:02:40.000 --> 00:02:41.000]  獻上感恩
[00:02:41.000 --> 00:02:43.000]  奉耶穌基督名字祈禱
