
[00:00:00.000 --> 00:00:01.460]  導演節目是晚上了
[00:00:01.460 --> 00:00:05.160]  再一次歡迎你參加環球聖經中會的講座
[00:00:05.160 --> 00:00:07.920]  我是環聖的培訓總監林永仁博士
[00:00:07.920 --> 00:00:12.040]  我們這次的系列是《點位文獻與聖經研究》
[00:00:12.040 --> 00:00:15.600]  其實這個系列是去年我們開始一個嘗試
[00:00:15.600 --> 00:00:20.080]  去年我們講了《游迪傳》和《馬加比書信》
[00:00:20.080 --> 00:00:22.200]  而今年我們有嘗試
[00:00:22.200 --> 00:00:27.040]  上一次就講了《史開古卷》的《戰爭卷軸》
[00:00:27.040 --> 00:00:28.840]  而今天我們很榮幸
[00:00:28.840 --> 00:00:32.600]  有林永仁博士、見到神學院聖經科的助理教授
[00:00:32.600 --> 00:00:36.760]  我們去講解《以下一書》和《新約》的研究
[00:00:36.760 --> 00:00:40.640]  這些題目在神學院會多些探討
[00:00:40.640 --> 00:00:43.880]  而一般弟兄姊妹比較少探討
[00:00:43.880 --> 00:00:47.920]  所以我們覺得這些內容都值得介紹給弟兄姊妹
[00:00:47.920 --> 00:00:50.560]  幫助弟兄姊妹可以從不同的角度
[00:00:50.560 --> 00:00:52.960]  更加深入去認識神的說話
[00:00:52.960 --> 00:00:55.400]  我們為了今晚我們的學習
[00:00:55.400 --> 00:00:57.240]  我們一起交託給上帝
[00:00:57.240 --> 00:00:59.240]  我們一起低頭祈禱
[00:00:59.240 --> 00:01:02.960]  參拜父神再一次來您面前
[00:01:02.960 --> 00:01:04.440]  是您給我們的恩典
[00:01:04.440 --> 00:01:06.280]  您給我們有不同的學者
[00:01:06.280 --> 00:01:10.640]  有不同學習的研究的範圍和專長
[00:01:10.640 --> 00:01:13.000]  願意透過不同學者的研究
[00:01:13.000 --> 00:01:15.400]  使用今晚這兩個小時
[00:01:15.400 --> 00:01:17.640]  讓我們更加深入去認識您
[00:01:17.640 --> 00:01:19.720]  以致我們的信仰能夠
[00:01:19.720 --> 00:01:22.520]  與這個時代懂得如何回應
[00:01:22.520 --> 00:01:23.600]  如何互動
[00:01:23.600 --> 00:01:26.520]  以致我們的信仰是真的活潑潑的
[00:01:26.520 --> 00:01:29.640]  能夠適切不同的年代
[00:01:29.640 --> 00:01:31.840]  我們求您透過聖靈
[00:01:31.840 --> 00:01:35.920]  再一次無論是說的、聽的
[00:01:35.920 --> 00:01:39.120]  一起在面前去忍受恩惠、教導
[00:01:39.120 --> 00:01:42.960]  我們求您額外祝福葉博士的家人
[00:01:42.960 --> 00:01:46.160]  他的太太患病
[00:01:46.160 --> 00:01:49.040]  求您更快地康復
[00:01:49.040 --> 00:01:52.440]  讓他的一對子女都能夠蒙您的看顧
[00:01:52.440 --> 00:01:55.200]  以致都能夠在恩典裏面度過
[00:01:55.200 --> 00:01:57.360]  有交給葉博士
[00:01:57.360 --> 00:02:00.480]  以致有額外的心心靈的建築
[00:02:00.480 --> 00:02:02.480]  我們一起去交託給您
[00:02:02.480 --> 00:02:05.960]  禱告、仰望、奉主耶穌基督的名字
[00:02:05.960 --> 00:02:07.960]  阿門
