
[00:00:00.000 --> 00:00:02.000]  我們要開始了
[00:00:02.000 --> 00:00:04.000]  好 我們開始了
[00:00:04.000 --> 00:00:06.000]  各位節目平安
[00:00:06.000 --> 00:00:08.000]  我感謝主持人
[00:00:08.000 --> 00:00:14.000]  今晚我們在這個地方一起聽講座
[00:00:14.000 --> 00:00:16.000]  不過事實上我們現在是在錄影中
[00:00:16.000 --> 00:00:20.000]  因為我們都擔心有些狀況
[00:00:20.000 --> 00:00:24.000]  所以我們現在和張少凱博士說好
[00:00:24.000 --> 00:00:26.000]  我們先錄影
[00:00:26.000 --> 00:00:29.000]  然後到時候延長播放
[00:00:29.000 --> 00:00:37.000]  今晚的講座就是如何讀懂巴特教會教義學的本體方法論
[00:00:37.000 --> 00:00:39.000]  本體方法論
[00:00:39.000 --> 00:00:43.000]  當然這個課題你聽就知道是很深的
[00:00:43.000 --> 00:00:46.000]  本體方法論可能很多人都未聽過
[00:00:46.000 --> 00:00:50.000]  所以等一下你可以仔細聽聽
[00:00:50.000 --> 00:00:53.000]  張博士的講解
[00:00:53.000 --> 00:01:00.000]  我在這裡和大家講講今晚的情況
[00:01:00.000 --> 00:01:05.000]  我們等一下會一口氣完成錄影
[00:01:05.000 --> 00:01:08.000]  當然在你自己收看的時候
[00:01:08.000 --> 00:01:12.000]  你自己可以調整時間
[00:01:12.000 --> 00:01:19.000]  我們大概會在一個半小時到兩個小時之內完成今晚的講座
[00:01:19.000 --> 00:01:26.000]  大家在宣傳的資料裡
[00:01:26.000 --> 00:01:28.000]  我相信大家都看到
[00:01:28.000 --> 00:01:30.000]  在我們每一次的講座裡
[00:01:30.000 --> 00:01:34.000]  我們都會有一段奉獻的時間
[00:01:34.000 --> 00:01:37.000]  當然今天我們不會和你收奉獻
[00:01:37.000 --> 00:01:41.000]  不過我都希望你可以紀念我們的需要
[00:01:41.000 --> 00:01:43.000]  在禱告裡紀念
[00:01:43.000 --> 00:01:45.000]  在實質的行動裡
[00:01:45.000 --> 00:01:51.000]  按著上帝給你的豐富恩典來奉獻和支持
[00:01:51.000 --> 00:01:54.000]  讓我們可以繼續反映聖經
[00:01:54.000 --> 00:02:00.000]  推動講座、教學和出版
[00:02:00.000 --> 00:02:04.000]  我們在今天的講座之前
[00:02:04.000 --> 00:02:07.000]  我們也一起來為今天的聚會
[00:02:07.000 --> 00:02:11.000]  也為奉獻來禱告
[00:02:11.000 --> 00:02:13.000]  我們一起來祈禱
[00:02:13.000 --> 00:02:15.000]  親愛的天父,我們感謝你
[00:02:15.000 --> 00:02:19.000]  給我們今天的相聚講座
[00:02:19.000 --> 00:02:21.000]  求天父你紀念
[00:02:21.000 --> 00:02:25.000]  讓珍博士有好的分享
[00:02:25.000 --> 00:02:28.000]  也讓我們聽的人能夠明白
[00:02:28.000 --> 00:02:31.000]  也為將環球聖經公會的需要
[00:02:31.000 --> 00:02:33.000]  加在你的手中
[00:02:33.000 --> 00:02:35.000]  求天父你紀念
[00:02:35.000 --> 00:02:40.000]  祈福給每一位甘心樂意奉獻的弟兄姊妹
[00:02:40.000 --> 00:02:47.000]  讓你的聖經可以更多地讓人得著幫助
[00:02:47.000 --> 00:02:50.000]  讓我們新的譯本進行中
[00:02:50.000 --> 00:02:53.000]  可以得以完成
[00:02:53.000 --> 00:02:55.000]  願天父你繼續引領
[00:02:55.000 --> 00:02:56.000]  我們仰望你
[00:02:56.000 --> 00:02:58.000]  多謝天父聽我們的禱告
[00:02:58.000 --> 00:03:00.000]  靠耶穌基督的聖名
[00:03:00.000 --> 00:03:01.000]  阿門
[00:03:01.000 --> 00:03:03.000]  今晚的講座
[00:03:03.000 --> 00:03:09.000]  當然與我們出版的教會教義學的版譯本有關係
[00:03:09.000 --> 00:03:13.000]  相信很多朋友都已經買了
[00:03:13.000 --> 00:03:20.000]  我們有好幾個講座已經完成了
[00:03:20.000 --> 00:03:22.000]  今天我不知道
[00:03:22.000 --> 00:03:25.000]  也不敢說是否最後一次的巴特的講座
[00:03:25.000 --> 00:03:27.000]  我們都是見步行步
[00:03:27.000 --> 00:03:29.000]  看神的帶領
[00:03:29.000 --> 00:03:31.000]  無論如何
[00:03:31.000 --> 00:03:35.000]  我們將今天的講座就要開始了
[00:03:35.000 --> 00:03:37.000]  今晚的講員是曾士凱博士
[00:03:37.000 --> 00:03:41.000]  他是牛津大學的哲學博士
[00:03:41.000 --> 00:03:49.000]  現在在浙江大學是一個八型計劃的研究員
[00:03:49.000 --> 00:03:53.000]  他曾經在神學院教書
[00:03:53.000 --> 00:03:59.000]  他現在住在浙江那邊
[00:03:59.000 --> 00:04:02.000]  我的簡單介紹就是這樣
