
[00:00:00.000 --> 00:00:04.880]  好 現在就要開始我們今天的第二章的主題的講
[00:00:04.880 --> 00:00:07.600]  原來賴牧師他有分享的
[00:00:07.600 --> 00:00:12.260]  他的題目是你所講的 他聽懂嗎?
[00:00:12.260 --> 00:00:17.160]  專業與宣講 我們就把時間交給賴牧師
[00:00:17.160 --> 00:00:21.840]  賴牧師是以前中華福音神學院的院長
[00:00:21.840 --> 00:00:24.640]  我也是在那個時候畢業的
[00:00:24.640 --> 00:00:31.320]  後來在我們的機構有機會可以參與聖經的翻譯
[00:00:31.320 --> 00:00:33.320]  擔任周圍的主編
[00:00:33.320 --> 00:00:37.140]  我們很感謝他在這個期間裡面
[00:00:37.140 --> 00:00:43.060]  扶蓬引絆 帶領很多學者來一起參與
[00:00:43.060 --> 00:00:45.060]  在周圍的翻譯裡面
[00:00:45.060 --> 00:00:49.460]  我們現在就把時間交給賴牧師 賴博士 宣講
[00:00:49.460 --> 00:00:53.560]  你所講的他聽得懂嗎?
[00:00:53.560 --> 00:00:55.560]  我們講翻譯跟宣講
[00:00:55.560 --> 00:01:03.020]  我在1979年的時候蒙造景神學院
[00:01:03.020 --> 00:01:08.040]  那個時候華神的教務長黃子嘉牧師
[00:01:08.040 --> 00:01:10.040]  在我們新生訓練的時候
[00:01:10.040 --> 00:01:12.940]  他曾經帶領我們小組禱告
[00:01:12.940 --> 00:01:17.560]  主啊 你是葡萄樹 我們是枝子
[00:01:17.560 --> 00:01:21.140]  離了你 我們就不能做什麼
[00:01:21.140 --> 00:01:26.220]  一直到今天這個意志案是我內心裡面深受感動
[00:01:26.220 --> 00:01:28.220]  而且去奉行的真理
[00:01:28.220 --> 00:01:32.820]  這個經文對我影響很大
[00:01:32.820 --> 00:01:39.120]  後來我有一次聽到華神的董事長吳永長老就指出來說
[00:01:39.120 --> 00:01:42.480]  《約翰福音》十五章一到第十節
[00:01:42.480 --> 00:01:45.320]  這是我們大家最熟悉的經文
[00:01:45.320 --> 00:01:48.480]  裡面講到藏在竹裡面
[00:01:48.480 --> 00:01:52.020]  其實應該翻譯作「住在竹裡面」
[00:01:52.020 --> 00:01:55.860]  他並且用這個作為例子說明
[00:01:55.860 --> 00:02:00.400]  為什麼我們需要一個新的中文聖經翻譯本
[00:02:00.400 --> 00:02:03.400]  這讓我就有深思
[00:02:03.400 --> 00:02:06.900]  講到說一個好的中文聖經翻譯本
[00:02:06.900 --> 00:02:11.100]  其實對我們研讀聖經、查稿聖經
[00:02:11.100 --> 00:02:14.900]  甚至講解聖經非常非常的重要
[00:02:14.900 --> 00:02:20.900]  這是我們講到「功欲善其事,必先利其器」
[00:02:20.900 --> 00:02:26.900]  所以我很榮幸在2017年受到榮寶樓牧師的邀請
[00:02:26.900 --> 00:02:30.400]  參加環球聖經譯本的團隊
[00:02:30.400 --> 00:02:33.400]  擔任就業的主編
[00:02:33.400 --> 00:02:35.900]  跟總主編張達明博士
[00:02:35.900 --> 00:02:40.400]  還有其他幾十位職業的學者我們一起來合作
[00:02:40.400 --> 00:02:44.400]  感謝神在2022年的3月
[00:02:44.400 --> 00:02:49.400]  我們就把整個環球聖經譯本呈現在眾人的面前
[00:02:49.400 --> 00:02:53.400]  新約一冊、舊約有三冊
[00:02:53.400 --> 00:02:58.400]  一共四大冊,將近2700頁
[00:02:58.400 --> 00:03:01.400]  這個放在案頭是非常好的
[00:03:01.400 --> 00:03:04.900]  但是不利於我們在教會裡面
[00:03:04.900 --> 00:03:10.400]  作為公共的經文本來研讀或是個人攜帶
[00:03:10.400 --> 00:03:14.400]  所以又經過了一年半的時間
[00:03:14.400 --> 00:03:23.400]  我們整個團隊又仔細地校對過聖經的經文
[00:03:23.400 --> 00:03:27.400]  然後做前後一致統一
[00:03:27.400 --> 00:03:32.900]  然後就在2023年的9月就正式出版這個經文版
[00:03:32.900 --> 00:03:35.400]  或者我們稱作公用版
[00:03:35.400 --> 00:03:39.400]  要貢獻給全世界的華人社會
[00:03:41.400 --> 00:03:44.400]  環球聖經譯本的緣起
[00:03:44.400 --> 00:03:50.400]  原本是希望在新譯本的基礎上面加以改進
[00:03:50.400 --> 00:03:55.400]  後來就變成一個全新的翻譯聖經的計劃
[00:03:55.400 --> 00:03:59.400]  其實我自己在當神學生還有釋放多年裡面
[00:03:59.400 --> 00:04:02.400]  我是非常喜歡新譯本的
[00:04:02.400 --> 00:04:05.400]  因為它跟聖經的原文比較接近
[00:04:05.400 --> 00:04:12.400]  所以我們在做研讀的時候會更加容易掌握它的要點
[00:04:12.400 --> 00:04:20.400]  大概是1970年代到1990年代新譯本就完成了
[00:04:20.400 --> 00:04:23.400]  這是一個很大的計劃了
[00:04:23.400 --> 00:04:28.400]  但是後來就不斷地在接受弟兄姐妹的建議
[00:04:28.400 --> 00:04:31.400]  做了細部的微調
[00:04:31.400 --> 00:04:39.400]  然後到了2002年以後慢慢這個計劃就變成一個全新的翻譯聖經的計劃
[00:04:39.400 --> 00:04:43.400]  就是我們現在看到環球聖經譯本
[00:04:43.400 --> 00:04:53.400]  盼望按照張達明博士講到準確、清楚、通順、一致跟文采的目標
[00:04:53.400 --> 00:05:03.400]  所以現在全書出版需要能夠提供研經、查經跟講道的全新優良的翻譯本
[00:05:03.400 --> 00:05:05.400]  而且有一些宣教士
[00:05:05.400 --> 00:05:10.400]  像我有一些學生他們在威克里夫聖經翻譯會裡面
[00:05:10.400 --> 00:05:20.400]  為這些沒有聖經譯本甚至沒有文字的這些地區來做翻譯聖經的時候
[00:05:20.400 --> 00:05:28.400]  這個環球聖經譯本就可以作為一經者的一個翻譯手冊
[00:05:28.400 --> 00:05:30.400]  講到翻譯聖經
[00:05:30.400 --> 00:05:37.400]  前一節張達明博士已經做了一些整個理論性的講解
[00:05:37.400 --> 00:05:39.400]  也舉出很多很好的例子
[00:05:39.400 --> 00:05:42.400]  我們講到翻譯的話
[00:05:42.400 --> 00:05:47.400]  至少一百多年前把西方的作品翻譯成中文
[00:05:47.400 --> 00:05:51.400]  大家就講到信、雅、達
[00:05:51.400 --> 00:05:53.400]  那麼講到聖經的翻譯本的話
[00:05:53.400 --> 00:06:00.400]  更要達成研究、靈修跟宣講這三方面的要求
[00:06:00.400 --> 00:06:02.400]  要做研究的話
[00:06:02.400 --> 00:06:04.400]  應當要精準
[00:06:04.400 --> 00:06:07.400]  要比較接近聖經的原文
[00:06:07.400 --> 00:06:09.400]  靈修的話
[00:06:09.400 --> 00:06:12.400]  就是遣詞用字不能夠太尖射
[00:06:12.400 --> 00:06:18.400]  要能夠讓一般的弟兄姐妹都能夠從中間得到屬靈的亮光
[00:06:18.400 --> 00:06:20.400]  而宣講的話
[00:06:20.400 --> 00:06:22.400]  更是要詞意典雅
[00:06:22.400 --> 00:06:24.400]  因為在教會裡面宣讀
[00:06:24.400 --> 00:06:28.400]  或者是大家在公眾場合讀
[00:06:28.400 --> 00:06:34.400]  那麼這些遣詞用字就不能夠太粗俗
[00:06:34.400 --> 00:06:36.400]  那麼二十世紀裡面
[00:06:36.400 --> 00:06:38.400]  影響聖經翻譯最大的
[00:06:38.400 --> 00:06:42.400]  就是美國聖經公會的尤金·萊達
[00:06:42.400 --> 00:06:46.400]  他被稱作「現代聖經翻譯之父」
[00:06:46.400 --> 00:06:48.400]  他影響最大的
[00:06:48.400 --> 00:06:50.400]  就是下面這句話講到說
[00:06:50.400 --> 00:06:52.400]  我們在做聖經翻譯的時候
[00:06:52.400 --> 00:06:55.400]  不只是要求功能的對等
[00:06:55.400 --> 00:06:59.400]  也要盡可能形式上面的對等
[00:06:59.400 --> 00:07:03.400]  好比說聖經裡面有敘述文
[00:07:03.400 --> 00:07:05.400]  也有詩歌
[00:07:05.400 --> 00:07:07.400]  至少你在翻譯的時候
[00:07:07.400 --> 00:07:10.400]  把這個敘述文跟詩歌
[00:07:10.400 --> 00:07:13.400]  它的形式都能夠顯示出來
[00:07:13.400 --> 00:07:16.400]  最新的聖經翻譯本
[00:07:16.400 --> 00:07:18.400]  二十一世紀裡面
[00:07:18.400 --> 00:07:23.400]  至少有2010年有和本修訂本
[00:07:23.400 --> 00:07:27.400]  還有2014年有新漢語一本
[00:07:27.400 --> 00:07:30.400]  還有另外有中文標準本
[00:07:30.400 --> 00:07:35.400]  不過後來好像中文標準本就沒有繼續完成
[00:07:35.400 --> 00:07:40.400]  現在我們環球聖經一本
[00:07:40.400 --> 00:07:42.400]  就是最新的一個
[00:07:42.400 --> 00:07:46.400]  整本聖經都翻譯出來的中文聖經翻譯本
[00:07:46.400 --> 00:07:48.400]  其實我也很榮幸
[00:07:48.400 --> 00:07:50.400]  剛剛提到這幾個翻譯本
[00:07:50.400 --> 00:07:53.400]  我都有機會來參與其中的一些工作
[00:07:53.400 --> 00:07:57.400]  環球聖經一本就是更加全面
[00:07:57.400 --> 00:08:01.400]  我現在就舉幾個例子
[00:08:01.400 --> 00:08:04.400]  這幾年裡面我講到的時候
[00:08:04.400 --> 00:08:08.400]  用到跟聖經有關的翻譯的中間
[00:08:08.400 --> 00:08:10.400]  比如說中間有一個
[00:08:10.400 --> 00:08:13.400]  講到表漢福音第十五章
[00:08:13.400 --> 00:08:18.400]  這邊講到題目就是住在基督裡
[00:08:18.400 --> 00:08:22.400]  這個經文關鍵的就是在第五節
[00:08:22.400 --> 00:08:24.400]  講住在基督裡
[00:08:24.400 --> 00:08:26.400]  所以各位看到說
[00:08:26.400 --> 00:08:28.400]  我這一堂裡面講到
[00:08:28.400 --> 00:08:30.400]  我會把環球聖經一本
[00:08:30.400 --> 00:08:32.400]  跟幾個不同的翻譯本
[00:08:32.400 --> 00:08:34.400]  都做一些比較
[00:08:34.400 --> 00:08:36.400]  大家就可以看到說中間
