
[00:00:00.000 --> 00:00:03.600]  歡迎大家再次參加華聖課程
[00:00:03.600 --> 00:00:08.000]  「不容忽視的書卷,從約爾書轉化神明」
[00:00:08.000 --> 00:00:09.440]  開始今日的學習
[00:00:09.440 --> 00:00:11.280]  我們再次低頭祈禱
[00:00:11.280 --> 00:00:12.240]  參加包袱神祈
[00:00:12.240 --> 00:00:14.880]  讓我們在人間經歷順境
[00:00:14.880 --> 00:00:17.600]  也經歷落境和困境
[00:00:17.600 --> 00:00:20.320]  在當中,你再有功課要我們學習
[00:00:20.320 --> 00:00:22.960]  求你透過這次約爾書
[00:00:22.960 --> 00:00:24.640]  再次跟我們說話
[00:00:24.640 --> 00:00:26.960]  讓我們在當中明白
[00:00:26.960 --> 00:00:28.240]  在疫情期間
[00:00:28.240 --> 00:00:30.400]  我們如何去跟隨你
[00:00:30.400 --> 00:00:31.360]  祷告仰望
[00:00:31.360 --> 00:00:32.880]  奉主明求
[00:00:32.880 --> 00:00:35.440]  我們看《講義》的第一頁
[00:00:35.440 --> 00:00:36.480]  1A
[00:00:36.480 --> 00:00:38.640]  第一章有甚麼重複和對比
[00:00:38.640 --> 00:00:40.640]  作者要表達甚麼訊息呢?
[00:00:40.640 --> 00:00:41.760]  我們看聖經
[00:00:41.760 --> 00:00:43.520]  經常都是最基本的
[00:00:43.520 --> 00:00:45.760]  就是重複和對比
[00:00:45.760 --> 00:00:49.120]  注1就將約爾書三章經文
[00:00:49.120 --> 00:00:50.880]  總共73節
[00:00:50.880 --> 00:00:53.520]  給一個宏觀的結構
[00:00:53.520 --> 00:00:56.080]  一章一節就是傳書標題
[00:00:56.080 --> 00:00:57.680]  經文這樣記載
[00:00:57.680 --> 00:01:03.120]  耶和華的話臨到彼土耳的兒子約爾
[00:01:03.120 --> 00:01:06.000]  而約爾這個名字的意思就是
[00:01:06.000 --> 00:01:07.840]  耶和華是神
[00:01:07.840 --> 00:01:10.720]  我們看的時候好像沒甚麼特別
