
[00:00:00.000 --> 00:00:13.000]  大家好 我是賴建國 賴老師
[00:00:13.000 --> 00:00:21.000]  很高興跟大家在網絡上面來探討現在一個我們大家都很關心的題目
[00:00:21.000 --> 00:00:25.000]  勝所與敬拜 疫情下的再世
[00:00:25.000 --> 00:00:27.000]  我先從一件事情來講起
[00:00:27.000 --> 00:00:30.000]  2003年大家還記得嗎
[00:00:30.000 --> 00:00:32.000]  就是SARS那一年
[00:00:32.000 --> 00:00:35.000]  我們講這個或者講非典
[00:00:35.000 --> 00:00:37.000]  那年夏天呢
[00:00:37.000 --> 00:00:39.000]  我要到美國侍奉
[00:00:39.000 --> 00:00:40.000]  有幾個禮拜
[00:00:40.000 --> 00:00:43.000]  結果美國教會的弟兄姐妹都嚇死了
[00:00:43.000 --> 00:00:45.000]  說千萬不可以呀
[00:00:45.000 --> 00:00:47.000]  如果你要來我們這邊侍奉的話呢
[00:00:47.000 --> 00:00:51.000]  要先去居家隔離兩個禮拜
[00:00:51.000 --> 00:00:54.000]  我說我哪裡有地方可以去居家隔離呢
[00:00:54.000 --> 00:00:57.000]  還是要我去找一個帳篷
[00:00:57.000 --> 00:00:58.000]  後來呢
[00:00:58.000 --> 00:01:03.000]  我就跟一個要好的弟兄聯繫
[00:01:03.000 --> 00:01:05.000]  我說我知道呢
[00:01:05.000 --> 00:01:08.000]  你在洛杉磯有兩個地方
[00:01:08.000 --> 00:01:10.000]  一個是你自己的住家
[00:01:10.000 --> 00:01:11.000]  另外一個呢
[00:01:11.000 --> 00:01:14.000]  就是在你以前工作的
[00:01:14.000 --> 00:01:16.000]  就是他以前的地方了
[00:01:16.000 --> 00:01:18.000]  就是他的工作場所
[00:01:18.000 --> 00:01:19.000]  可不可以呢
[00:01:19.000 --> 00:01:22.000]  你就讓我可以住在你的工作的那個地方
[00:01:22.000 --> 00:01:24.000]  其實就是他以前的家呢
[00:01:24.000 --> 00:01:26.000]  在那邊待兩個禮拜
[00:01:26.000 --> 00:01:28.000]  他很爽快就答應了
[00:01:28.000 --> 00:01:29.000]  飛機上來接我們
[00:01:29.000 --> 00:01:32.000]  就送我們到那個Redland
[00:01:32.000 --> 00:01:35.000]  在那個地方就居家隔離兩個禮拜
[00:01:35.000 --> 00:01:37.000]  那個地方很大哦
[00:01:37.000 --> 00:01:42.000]  那他的房子的那個地就有5 acres
[00:01:42.000 --> 00:01:46.000]  那麼還有五隻秋天犬
[00:01:46.000 --> 00:01:47.000]  還有游泳池
[00:01:47.000 --> 00:01:49.000]  那我們就住在那個地方
[00:01:49.000 --> 00:01:52.000]  那麼在那裡呢就兩個禮拜
[00:01:52.000 --> 00:01:53.000]  就不能外出了
[00:01:53.000 --> 00:01:55.000]  那麼每天早晨呢
[00:01:55.000 --> 00:01:57.000]  我們去看日出
[00:01:57.000 --> 00:01:58.000]  看完日出以後呢
[00:01:58.000 --> 00:02:00.000]  我們就摘水果
[00:02:00.000 --> 00:02:02.000]  摘了這個桃子呢
[00:02:02.000 --> 00:02:03.000]  也發現說那兩只秋天
[00:02:03.000 --> 00:02:06.000]  那幾只秋天犬還發出嗚嗚的聲音
[00:02:06.000 --> 00:02:08.000]  他們也想吃水果的
[00:02:08.000 --> 00:02:12.000]  所以我們就丟一些的水果給他們吃
[00:02:12.000 --> 00:02:13.000]  那麼吃完早餐以後呢
[00:02:13.000 --> 00:02:15.000]  我跟我妻子呢
[00:02:15.000 --> 00:02:17.000]  我們就到房間裡面就休息了
[00:02:17.000 --> 00:02:18.000]  就睡了
[00:02:18.000 --> 00:02:20.000]  那睡醒了之後呢
[00:02:20.000 --> 00:02:22.000]  就吃午餐
[00:02:22.000 --> 00:02:23.000]  吃過午餐以後
[00:02:23.000 --> 00:02:25.000]  我們又睡了
[00:02:25.000 --> 00:02:27.000]  睡醒了之後呢
[00:02:27.000 --> 00:02:29.000]  就看看外面呢
[00:02:29.000 --> 00:02:31.000]  太陽都慢慢就已經
[00:02:31.000 --> 00:02:33.000]  就是把那個游泳池啊
[00:02:33.000 --> 00:02:35.000]  就曬得很熱了
[00:02:35.000 --> 00:02:36.000]  那我跟我太太兩個人呢
[00:02:36.000 --> 00:02:39.000]  我們就跳到游泳池裡面去游泳
[00:02:39.000 --> 00:02:41.000]  那游泳到差不多時候呢
[00:02:41.000 --> 00:02:43.000]  太陽就下山了
[00:02:43.000 --> 00:02:44.000]  水慢慢就要涼了
[00:02:44.000 --> 00:02:45.000]  我們就上來了
[00:02:45.000 --> 00:02:46.000]  然後後來想想說
[00:02:46.000 --> 00:02:50.000]  這不就是像那個伊甸園的生活嗎
[00:02:50.000 --> 00:02:55.000]  那那個如果當初亞當跟夏娃
