
[00:00:00.000 --> 00:00:10.000]  (字幕由棉花糖提供)
[00:00:10.000 --> 00:00:13.000]  各位弟兄姊妹,平安!
[00:00:13.000 --> 00:00:17.000]  多謝大家來參加這次的講座
[00:00:17.000 --> 00:00:23.000]  過去一年多以來,新冠病毒在全世界擴散
[00:00:23.000 --> 00:00:28.000]  對世界各國的經濟打擊都非常之大
[00:00:28.000 --> 00:00:32.000]  雖然現在有些地方疫情比較緩和
[00:00:32.000 --> 00:00:40.000]  但新一波變種病毒又在世界各地擴散
[00:00:40.000 --> 00:00:44.000]  環球聖經公會在抗疫期間
[00:00:44.000 --> 00:00:49.000]  為大家舉辦不同的聖經講座,感謝神
[00:00:49.000 --> 00:00:52.000]  求神真的繼續使用這個事工
[00:00:52.000 --> 00:00:56.000]  給普世價的弟兄姊妹都得幫助
[00:00:56.000 --> 00:00:59.000]  這次講座的總題是
[00:00:59.000 --> 00:01:03.000]  「新常態下的生命重整」
[00:01:03.000 --> 00:01:07.000]  因為病毒還在不斷變種
[00:01:07.000 --> 00:01:12.000]  而且感染力似乎都越來越大
[00:01:12.000 --> 00:01:17.000]  可能我們真的要和病毒長期相處
[00:01:17.000 --> 00:01:24.000]  換句話來說,我們的生活環境會越來越危險
[00:01:24.000 --> 00:01:29.000]  當然我們要審視我們屬靈的生命
[00:01:29.000 --> 00:01:36.000]  今天我們從舊約聖經約語書的意象
[00:01:36.000 --> 00:01:39.000]  來為大家彼此勉勵
[00:01:39.000 --> 00:01:42.000]  所以今天的題目是
[00:01:42.000 --> 00:01:44.000]  「新常態下的生命重整」
[00:01:44.000 --> 00:01:50.000]  從約語書的意象看順心之旅
[00:01:50.000 --> 00:01:52.000]  求神幫助我們的分享
[00:01:52.000 --> 00:01:56.000]  讓我們從約爾仙之的信息當中
[00:01:56.000 --> 00:01:59.000]  彼此都得到鼓勵
[00:01:59.000 --> 00:02:02.000]  我會和大家將這本書
[00:02:02.000 --> 00:02:06.000]  分開三段來一起分享
[00:02:06.000 --> 00:02:09.000]  1.1-20節
[00:02:09.000 --> 00:02:11.000]  2.1-27節
[00:02:11.000 --> 00:02:16.000]  2.28-3.21節
[00:02:16.000 --> 00:02:19.000]  信心之旅
[00:02:19.000 --> 00:02:22.000]  信心有一個起點
[00:02:22.000 --> 00:02:25.000]  我們定點的信心
[00:02:25.000 --> 00:02:27.000]  在神的本性
[00:02:27.000 --> 00:02:30.000]  繼續的、持續的信心
[00:02:30.000 --> 00:02:33.000]  要向神回歸
[00:02:33.000 --> 00:02:36.000]  神的帶領
[00:02:36.000 --> 00:02:38.000]  全面的信心
[00:02:38.000 --> 00:02:41.000]  就是要投入生命
[00:02:41.000 --> 00:02:45.000]  整個生命投入神的計劃
[00:02:45.000 --> 00:02:48.000]  我們先來看第一點
[00:02:48.000 --> 00:02:51.000]  信靠神的本性
[00:02:51.000 --> 00:02:54.000]  1.1-20節
[00:02:54.000 --> 00:02:56.000]  定點的信心
[00:02:56.000 --> 00:03:00.000]  約語書一開始沒有記載
[00:03:00.000 --> 00:03:02.000]  傳信息的年代
[00:03:02.000 --> 00:03:04.000]  但無論如何
[00:03:04.000 --> 00:03:05.000]  那個不是很重要
[00:03:05.000 --> 00:03:08.000]  因為這個講的是災難
[00:03:08.000 --> 00:03:11.000]  是蝗蟲的災難
[00:03:11.000 --> 00:03:17.000]  巴勒斯坦很多時候都有這些災難
[00:03:17.000 --> 00:03:19.000]  去年的年頭
[00:03:19.000 --> 00:03:24.000]  新冠病毒從中國武漢向世界擴展的時候
[00:03:24.000 --> 00:03:29.000]  其實過去兩年還有一場災害
[00:03:29.000 --> 00:03:37.000]  就是從東非一直到印度的黃災
[00:03:37.000 --> 00:03:41.000]  約語書在這一書告訴我們
[00:03:41.000 --> 00:03:43.000]  黃災是怎樣的呢?
[00:03:43.000 --> 00:03:45.000]  一章四節
[00:03:45.000 --> 00:03:47.000]  「輾蟲聖下的蝗蟲吃了
[00:03:47.000 --> 00:03:50.000]  蝗蟲聖下的男子吃了
[00:03:50.000 --> 00:03:54.000]  男子聖下的馬扎吃了」
[00:03:54.000 --> 00:03:59.000]  一般我們解釋聖經的人都會認為
[00:03:59.000 --> 00:04:06.000]  輾蟲、蝗蟲、男子、聖下的馬扎
[00:04:06.000 --> 00:04:12.000]  這四個就是蝗蟲生長的四個階段
[00:04:12.000 --> 00:04:14.000]  換句話說
[00:04:14.000 --> 00:04:19.000]  蝗蟲一生都在吃
[00:04:19.000 --> 00:04:22.000]  吃地上農夫的農作物
[00:04:22.000 --> 00:04:26.000]  和地上綠色的青色的植物
[00:04:26.000 --> 00:04:33.000]  所以對農夫的傷害是非常之大的
[00:04:33.000 --> 00:04:36.000]  結果會是怎樣呢?
[00:04:36.000 --> 00:04:40.000]  就是約語書一章十到十二節所形容的
[00:04:40.000 --> 00:04:43.000]  「田野荒廢,土地淒涼
[00:04:43.000 --> 00:04:48.000]  因為五穀毀壞,身就乾竭,又缺乏」
[00:04:48.000 --> 00:04:52.000]  農夫說:你們要為大麥和小麥收攜
[00:04:52.000 --> 00:04:54.000]  收葡萄園的
[00:04:54.000 --> 00:04:56.000]  你們要哀號
[00:04:56.000 --> 00:04:58.000]  因為田間的莊稼都破壞了
[00:04:58.000 --> 00:05:01.000]  葡萄樹枯乾,木花果樹衰殘
[00:05:01.000 --> 00:05:04.000]  石榴樹、棕樹、蘋果樹
[00:05:04.000 --> 00:05:07.000]  田野所有的樹木都枯乾
[00:05:07.000 --> 00:05:11.000]  所以歡樂就消失了
[00:05:11.000 --> 00:05:17.000]  這就是蝗災所帶來的淒慘的境況
[00:05:17.000 --> 00:05:21.000]  在這十七到二十節
[00:05:21.000 --> 00:05:23.000]  一章十七到二十節裏面
[00:05:23.000 --> 00:05:28.000]  經過蝗災之後會怎樣呢?
[00:05:28.000 --> 00:05:32.000]  穀種在土塊下流難
[00:05:32.000 --> 00:05:34.000]  無法生長
[00:05:34.000 --> 00:05:41.000]  倉庫、穀倉荒涼、破壞
[00:05:41.000 --> 00:05:43.000]  五穀枯乾
[00:05:43.000 --> 00:05:47.000]  深畜因為無草食
[00:05:47.000 --> 00:05:48.000]  哀鳴
[00:05:48.000 --> 00:05:50.000]  牛群流蕩
[00:05:50.000 --> 00:05:53.000]  羊群亦受苦
[00:05:53.000 --> 00:05:55.000]  要說:我向你呼求
[00:05:55.000 --> 00:05:58.000]  因為火吞滅了曠野的草場
[00:05:58.000 --> 00:06:01.000]  火焰燒盡了田間所有的樹木
[00:06:01.000 --> 00:06:04.000]  田野的走秀亦向你發展
[00:06:04.000 --> 00:06:07.000]  因為溪水都乾擴亂
[00:06:07.000 --> 00:06:08.000]  旱災
[00:06:08.000 --> 00:06:12.000]  火吞滅了曠野的草場
[00:06:12.000 --> 00:06:14.000]  這種慘況
[00:06:14.000 --> 00:06:20.000]  就知新冠病毒對世界經濟的打擊
[00:06:20.000 --> 00:06:23.000]  有過之而無不及
[00:06:23.000 --> 00:06:27.000]  如果我們看第一章二到三節
[00:06:27.000 --> 00:06:32.000]  這裏的慘況是前所未有的
[00:06:32.000 --> 00:06:35.000]  當時的以色列人不能忘記
[00:06:35.000 --> 00:06:38.000]  一定要一代一代傳下去
[00:06:38.000 --> 00:06:44.000]  本來上帝要以色列人一代傳一代下去的是什麼呢?
[00:06:44.000 --> 00:06:47.000]  就是上帝拯救他們
[00:06:47.000 --> 00:06:51.000]  出埃及脫離敵人的攻擊
[00:06:51.000 --> 00:06:54.000]  那些是上帝的作為
[00:06:54.000 --> 00:06:56.000]  你看看《出埃及記》第十二章
[00:06:56.000 --> 00:06:58.000]  二十六到二十七節
[00:06:58.000 --> 00:07:01.000]  日後如果你們的子孫要問你們
[00:07:01.000 --> 00:07:05.000]  你們這個敬拜之禮
[00:07:05.000 --> 00:07:06.000]  當時是如意節
[00:07:06.000 --> 00:07:09.000]  如意節的敬拜之禮
[00:07:09.000 --> 00:07:10.000]  是什麼意思呢?
[00:07:10.000 --> 00:07:11.000]  你就要告訴他們
[00:07:11.000 --> 00:07:15.000]  是耶和華擊殺埃及人的時候
[00:07:15.000 --> 00:07:21.000]  越過了埃及裏面的以色列人的房屋
[00:07:21.000 --> 00:07:23.000]  去救了以色列人
[00:07:23.000 --> 00:07:28.000]  所以百姓就低頭敬拜
[00:07:28.000 --> 00:07:33.000]  這就是他們要子孫一代一代傳下去的
[00:07:33.000 --> 00:07:35.000]  上帝拯救他們的作為
[00:07:35.000 --> 00:07:39.000]  在《以色列書》第九章亦提到「米顛」的日子
[00:07:39.000 --> 00:07:41.000]  「米顛」的日子是什麼呢?
[00:07:41.000 --> 00:07:45.000]  就是以色列人的扶額
[00:07:45.000 --> 00:07:47.000]  肩頭上有杖
[00:07:47.000 --> 00:07:50.000]  有欺壓他們的人的棍
[00:07:50.000 --> 00:07:52.000]  都被上帝截斷了
[00:07:52.000 --> 00:07:54.000]  「米顛」的日子
[00:07:54.000 --> 00:07:57.000]  就是《史詩記》第六到第八章裏面提到
[00:07:57.000 --> 00:07:59.000]  「基奠」這個事實
[00:07:59.000 --> 00:08:01.000]  拯救以色列人
[00:08:01.000 --> 00:08:06.000]  從「米顛」人的欺壓下得救出來
[00:08:06.000 --> 00:08:08.000]  所以「米顛」的日子
[00:08:08.000 --> 00:08:12.000]  就是紀念以色列人得拯救的日子
[00:08:12.000 --> 00:08:18.000]  本來所謂「夜和華」的日子
[00:08:18.000 --> 00:08:25.000]  就是這裏《春日記》四冊書裏面提到的
[00:08:25.000 --> 00:08:29.000]  神拯救他們的日子
[00:08:29.000 --> 00:08:32.000]  我們感謝神
[00:08:32.000 --> 00:08:34.000]  「米顛」的日子也好
[00:08:34.000 --> 00:08:36.000]  出埃及的時候也好
[00:08:36.000 --> 00:08:42.000]  以色列人都是要一代一代紀念下去的
[00:08:42.000 --> 00:08:46.000]  因為這就是上帝拯救他們的日子
[00:08:46.000 --> 00:08:54.000]  在《約爾書》第一章十五節裏面
[00:08:54.000 --> 00:08:56.000]  「哀哉那日」
[00:08:56.000 --> 00:08:59.000]  因為「夜和華」的日子臨近「夜」
