
[00:00:00.000 --> 00:00:07.000]  一同来参与今天的聚会
[00:00:07.000 --> 00:00:11.000]  我想我们中间有些弟兄姐妹可能需要看字幕
[00:00:11.000 --> 00:00:14.000]  所以我们这个Zoom的上面
[00:00:14.000 --> 00:00:15.000]  Webinar的上面
[00:00:15.000 --> 00:00:19.000]  其实在最底的地方有个CC
[00:00:19.000 --> 00:00:23.000]  有一个显示字幕的一个Button
[00:00:23.000 --> 00:00:24.000]  有一个按钮
[00:00:24.000 --> 00:00:26.000]  你把这个按钮按一下
[00:00:26.000 --> 00:00:27.000]  选广东话
[00:00:27.000 --> 00:00:30.000]  你就会看到所有的字幕就会出来了
[00:00:30.000 --> 00:00:32.000]  你选按一下
[00:00:32.000 --> 00:00:34.000]  还要选广东话
[00:00:34.000 --> 00:00:38.000]  因为我们今天都会用广东话来讲
[00:00:38.000 --> 00:00:41.000]  所以需要看字幕的弟兄姐妹
[00:00:41.000 --> 00:00:47.000]  请你就来就在最底的地方
[00:00:47.000 --> 00:00:50.000]  找到显示字幕这个按钮
[00:00:50.000 --> 00:00:51.000]  按它一下
[00:00:51.000 --> 00:00:53.000]  还有你选择广东话
[00:00:53.000 --> 00:00:55.000]  字幕就会出来
[00:00:55.000 --> 00:00:58.000]  我们整个有些录影的地方
[00:00:58.000 --> 00:01:00.000]  我们已经把字幕放进去
[00:01:00.000 --> 00:01:01.000]  但是我们是直播
[00:01:01.000 --> 00:01:04.000]  所以直播的地方我们是没有字幕的
[00:01:04.000 --> 00:01:05.000]  谢谢各位
[00:01:05.000 --> 00:01:09.000]  所以刚才我用普通话来提醒弟兄姐妹
[00:01:09.000 --> 00:01:10.000]  可以看字幕
[00:01:10.000 --> 00:01:12.000]  如果你需要看字幕
[00:01:12.000 --> 00:01:14.000]  请你在最底的地方
[00:01:14.000 --> 00:01:16.000]  有一个显示字幕
[00:01:16.000 --> 00:01:18.000]  英文叫CC
[00:01:18.000 --> 00:01:19.000]  你按一下
[00:01:19.000 --> 00:01:21.000]  然后选广东话就可以
[00:01:21.000 --> 00:01:22.000]  现在这个时间
[00:01:22.000 --> 00:01:25.000]  我都请所有同工可不可以打开视像头
[00:01:25.000 --> 00:01:28.000]  我们一同来欢迎
[00:01:28.000 --> 00:01:30.000]  首先要代表环球星星公会
[00:01:30.000 --> 00:01:33.000]  欢迎所有线上的弟兄姐妹
[00:01:33.000 --> 00:01:35.000]  我介绍一下我自己
[00:01:35.000 --> 00:01:36.000]  我是陈肇肇
[00:01:36.000 --> 00:01:37.000]  陈牧师
[00:01:37.000 --> 00:01:39.000]  环球星星公会的国际董事
[00:01:39.000 --> 00:01:41.000]  也是美国总干事
