
[00:00:00.000 --> 00:00:12.000]  感謝主的恩典
[00:00:12.000 --> 00:00:16.000]  讓我們今天可以一起在世界各地
[00:00:16.000 --> 00:00:20.000]  我們來學習神的話語
[00:00:20.000 --> 00:00:26.000]  尤其是在上一個的嚴峻的新冠疫情裡面
[00:00:26.000 --> 00:00:29.000]  我們世界各地都受了影響
[00:00:29.000 --> 00:00:33.000]  今天我們不論是看到疫情的嚴峻
[00:00:33.000 --> 00:00:39.000]  還是看到上帝祂自己的奇妙的恩典跟作為
[00:00:39.000 --> 00:00:42.000]  災後是有復興的
[00:00:42.000 --> 00:00:46.000]  而我們今天的主題是從《以師解書》那邊
[00:00:46.000 --> 00:00:53.000]  我們來看一個災後審判之後的上帝的恩典
[00:00:53.000 --> 00:00:55.000]  神的復興
[00:00:55.000 --> 00:00:57.000]  今天我們是一起的
[00:00:57.000 --> 00:01:01.000]  我們來看上一個重要的課題
[00:01:01.000 --> 00:01:03.000]  求主來幫助我們
[00:01:03.000 --> 00:01:06.000]  幫助我們好好的來思考
[00:01:06.000 --> 00:01:10.000]  思考《以師解書》那邊的信息
[00:01:10.000 --> 00:01:13.000]  讓我們能夠有盼望
[00:01:13.000 --> 00:01:14.000]  能夠有確知
[00:01:14.000 --> 00:01:16.000]  知道這位全能的神
[00:01:16.000 --> 00:01:19.000]  祂是掌管著一切的
[00:01:19.000 --> 00:01:21.000]  祂是與我們同在的
[00:01:21.000 --> 00:01:24.000]  在這樣一個嚴峻的疫情裡邊
[00:01:24.000 --> 00:01:30.000]  個人無論是身體的精神的經濟的家庭的
[00:01:30.000 --> 00:01:32.000]  各方面都會受到衝擊的
[00:01:32.000 --> 00:01:38.000]  上至總統王子總理下至到每一個的人
[00:01:38.000 --> 00:01:43.000]  都在這樣一個疫情裡邊受到很多的衝擊
[00:01:43.000 --> 00:01:47.000]  但是我們知道神是蠻有恩典的
[00:01:47.000 --> 00:01:50.000]  祂的怒氣只是轉眼之間
[00:01:50.000 --> 00:01:53.000]  祂的恩典來是一生之久的
[00:01:53.000 --> 00:01:57.000]  讓我們能夠看到災後是有復興的
[00:01:57.000 --> 00:02:01.000]  真正看到神是掌權的
[00:02:01.000 --> 00:02:03.000]  祂是與我們同在的
[00:02:03.000 --> 00:02:07.000]  今天我們從《以師解書》那邊來看
[00:02:07.000 --> 00:02:09.000]  有的時候我們讀聖經
[00:02:09.000 --> 00:02:12.000]  需要看它的一個大圖畫
[00:02:12.000 --> 00:02:16.000]  意思說我們不能是每一章來看
[00:02:16.000 --> 00:02:19.000]  今天我們是從《以師解書》
[00:02:19.000 --> 00:02:25.000]  《蔣傳書》裡邊來抓到祂的中心的思想
[00:02:25.000 --> 00:02:28.000]  祂所講的雖然是那麼多的蝙蝠
[00:02:28.000 --> 00:02:31.000]  但是是有一個重要的主題
[00:02:31.000 --> 00:02:34.000]  那是講到神是公義的
[00:02:34.000 --> 00:02:37.000]  祂會帶來了審判的
[00:02:37.000 --> 00:02:40.000]  審判之後是有恩典的
[00:02:40.000 --> 00:02:43.000]  我們看聖經是看祂的全貌的時候
[00:02:43.000 --> 00:02:47.000]  有的時候是用一個圖表來表達的
[00:02:47.000 --> 00:02:51.000]  一個圖表的好處是一個了看的
[00:02:51.000 --> 00:02:53.000]  我們從高點來看
[00:02:53.000 --> 00:02:56.000]  祂的全書的結構跟佈局
[00:02:56.000 --> 00:02:59.000]  我們用一個圖表來表達
[00:02:59.000 --> 00:03:02.000]  這個圖表告訴我們
[00:03:02.000 --> 00:03:05.000]  48章的聖經可以分成兩部分的
[00:03:05.000 --> 00:03:08.000]  前面一部分是非常嚴峻的
[00:03:08.000 --> 00:03:11.000]  那種審判、那種神的公義
[00:03:11.000 --> 00:03:14.000]  從第一章一是講到32章
[00:03:14.000 --> 00:03:17.000]  到了33章的時候
[00:03:17.000 --> 00:03:21.000]  是講到一個復興的一個信息
[00:03:21.000 --> 00:03:23.000]  一是講到48章
[00:03:23.000 --> 00:03:26.000]  所以整段書這樣子打開的時候
[00:03:26.000 --> 00:03:29.000]  讓我們掌握它的重點
[00:03:29.000 --> 00:03:31.000]  它的審判的那一部分
[00:03:31.000 --> 00:03:35.000]  先是講到從神的家裡邊開始審判
[00:03:35.000 --> 00:03:38.000]  由大家、神的選民
[00:03:38.000 --> 00:03:42.000]  然後是講到當時是
[00:03:42.000 --> 00:03:47.000]  巴比倫已經是犯盡了大軍壓境
[00:03:47.000 --> 00:03:49.000]  並且是圍城
[00:03:49.000 --> 00:03:52.000]  在圍城前的幾年
[00:03:52.000 --> 00:03:55.000]  先知所看到的一項
[00:03:55.000 --> 00:03:58.000]  看到了天上神的榮耀的一項
[00:03:58.000 --> 00:04:01.000]  然後講完了有關由大的
[00:04:01.000 --> 00:04:04.000]  神對他的子民的一些要求以後
[00:04:04.000 --> 00:04:07.000]  到了25章是講到
[00:04:07.000 --> 00:04:11.000]  列國都在神的審判的那邊
[00:04:11.000 --> 00:04:14.000]  沒有一個國家、沒有一個民族
[00:04:14.000 --> 00:04:18.000]  是逃離了神他的公義的審判
[00:04:18.000 --> 00:04:22.000]  於是在25章一直到後面
[00:04:22.000 --> 00:04:25.000]  那個時期大概是
[00:04:25.000 --> 00:04:27.000]  當時有一年半的時間
[00:04:27.000 --> 00:04:32.000]  先知所看到的有關審判
[00:04:32.000 --> 00:04:36.000]  也講到當時神的榮耀已經是
[00:04:36.000 --> 00:04:40.000]  離開了耶路撒冷、離開了聖殿
[00:04:40.000 --> 00:04:43.000]  然後神的公義的審判就臨到
[00:04:43.000 --> 00:04:45.000]  但是審判之後
[00:04:45.000 --> 00:04:47.000]  是一個復興
[00:04:47.000 --> 00:04:49.000]  所以在33章裡邊
[00:04:49.000 --> 00:04:51.000]  先知所講到一個新的生命
[00:04:51.000 --> 00:04:53.000]  一個新的開始
[00:04:53.000 --> 00:04:55.000]  一個新的新
[00:04:55.000 --> 00:04:59.000]  然後再引進了一個新的次序
[00:04:59.000 --> 00:05:01.000]  新的一個敬拜
[00:05:01.000 --> 00:05:04.000]  我們是這樣子的來走一遍
[00:05:04.000 --> 00:05:05.000]  好了
[00:05:05.000 --> 00:05:09.000]  我們說這本書一開始
[00:05:09.000 --> 00:05:13.000]  一開始的時候是講到以希節
[00:05:13.000 --> 00:05:17.000]  以希節他原是一個祭司
[00:05:17.000 --> 00:05:20.000]  一個祭司是20歲
[00:05:20.000 --> 00:05:23.000]  就開始了在聖殿裡邊來
[00:05:23.000 --> 00:05:25.000]  按著班次來服事的
[00:05:25.000 --> 00:05:29.000]  所以他20歲已經是出頭了
[00:05:29.000 --> 00:05:32.000]  在那邊來在聖殿裡邊服事
[00:05:32.000 --> 00:05:37.000]  但是他也是被擄的那一批的人
[00:05:37.000 --> 00:05:39.000]  第二批被擄的
[00:05:39.000 --> 00:05:44.000]  並且他在外邦生活了一段長的時間
[00:05:44.000 --> 00:05:46.000]  一開始的時候
[00:05:46.000 --> 00:05:48.000]  這本書是告訴我們
[00:05:48.000 --> 00:05:53.000]  以希節當時他是被擄
[00:05:53.000 --> 00:05:54.000]  在30年
[00:05:54.000 --> 00:05:58.000]  這30年應該是理解為他30歲的那個時間
[00:05:58.000 --> 00:06:03.000]  他已經是侍奉了一段時間了
[00:06:03.000 --> 00:06:05.000]  然後在那個時候
[00:06:05.000 --> 00:06:09.000]  他是記載了他已經是被擄到外邦
[00:06:09.000 --> 00:06:13.000]  在巴比倫的迦巴魯河
[00:06:13.000 --> 00:06:15.000]  在那個時候
[00:06:15.000 --> 00:06:17.000]  他在被擄的人當中
[00:06:17.000 --> 00:06:22.000]  他是當時是被跟著大夥
[00:06:22.000 --> 00:06:28.000]  以此被巴比倫的那些的大軍所擄到巴比倫境內
[00:06:28.000 --> 00:06:30.000]  你知道當時巴比倫的政策
[00:06:30.000 --> 00:06:32.000]  是攻佔了一個地方以後
[00:06:32.000 --> 00:06:34.000]  攻佔了那個地方以後
[00:06:34.000 --> 00:06:36.000]  就把他的子民
[00:06:36.000 --> 00:06:39.000]  把他擄到巴比倫
[00:06:39.000 --> 00:06:41.000]  尤其是那些的精英
[00:06:41.000 --> 00:06:46.000]  那些的在他被他所攻佔的
[00:06:46.000 --> 00:06:48.000]  那些的國家裡邊的精英
[00:06:48.000 --> 00:06:50.000]  把他擄到巴比倫
