
[00:00:00.000 --> 00:00:15.600]  這次主子從信仰的角度去看美
[00:00:15.600 --> 00:00:19.200]  為什麼我們基督徒要關心美呢?
[00:00:19.200 --> 00:00:22.160]  你知道這些東西通常都是
[00:00:22.160 --> 00:00:24.960]  之前有些東西再拿回來
[00:00:24.960 --> 00:00:28.480]  所以忘記了「二」字
[00:00:28.480 --> 00:00:32.080]  「一」是講哲學怎麼接近你的
[00:00:32.080 --> 00:00:34.400]  所以你們上次已經聽過了
[00:00:34.400 --> 00:00:37.680]  我今天集中從信仰的角度去看
[00:00:37.680 --> 00:00:39.600]  其實從信仰的角度去看
[00:00:39.600 --> 00:00:42.160]  聖經有沒有講美呢?
[00:00:42.160 --> 00:00:44.240]  給你看幾節經文
[00:00:44.240 --> 00:00:46.800]  第一節大家都是熟悉的經文
[00:00:46.800 --> 00:00:50.560]  《神的榮耀》和《造物之美》
[00:00:50.560 --> 00:00:52.480]  經文是很有趣的
[00:00:52.480 --> 00:00:58.240]  如果你看回詩篇十九篇一篇
[00:00:58.240 --> 00:01:01.120]  「窮滄述說神的榮耀」
[00:01:01.120 --> 00:01:03.360]  「窮滄傳揚祂的手段」
[00:01:03.360 --> 00:01:06.080]  這裡好像提到
[00:01:06.080 --> 00:01:10.880]  第一,那個「創造」是在說話的
[00:01:10.880 --> 00:01:12.720]  不知道你們有沒有想過
[00:01:12.720 --> 00:01:16.000]  可能我們有時候讀這些經文
[00:01:16.000 --> 00:01:20.000]  我們就當它是所謂的「二人法」
[00:01:20.000 --> 00:01:23.920]  但從哲學的角度來看
[00:01:23.920 --> 00:01:30.080]  其實可以更加直接去看
[00:01:30.080 --> 00:01:34.000]  「創造」是一個故事
[00:01:34.000 --> 00:01:35.040]  一個故事
[00:01:35.040 --> 00:01:39.600]  上次石川鵬有沒有跟你說
[00:01:39.600 --> 00:01:43.040]  後現代看所有東西都是一個故事
[00:01:43.040 --> 00:01:44.480]  都是一個敘事
[00:01:44.480 --> 00:01:48.880]  這個世界的秩序是一個敘事
[00:01:48.880 --> 00:01:53.040]  詩人覺得我們看天地的時候
[00:01:53.040 --> 00:01:57.840]  就會看到神的榮耀
[00:01:57.840 --> 00:02:00.400]  在我們今天的講座中
[00:02:00.400 --> 00:02:03.280]  「榮耀」和「美」我都當它是同一回事
[00:02:03.280 --> 00:02:07.120]  總之「美」是一些吸引我們
[00:02:07.120 --> 00:02:11.920]  我們覺得看到很美很輝煌的東西
[00:02:11.920 --> 00:02:13.200]  就是「美」
[00:02:13.200 --> 00:02:16.320]  所以詩篇提醒我們
[00:02:16.320 --> 00:02:20.160]  我們看到大自然的美
[00:02:20.160 --> 00:02:22.720]  我們應該想到神的美
[00:02:22.720 --> 00:02:24.880]  大家有沒有想過這件事
[00:02:24.880 --> 00:02:28.480]  例如我喜歡行山
[00:02:28.480 --> 00:02:32.960]  我其中一個最喜歡行的路
[00:02:32.960 --> 00:02:36.080]  就是由橫面上鳳凰山
[00:02:36.080 --> 00:02:37.520]  大家有沒有行過
[00:02:37.520 --> 00:02:41.680]  就是由石碧水塘行上鳳凰山
[00:02:41.680 --> 00:02:42.880]  沒有人行過
[00:02:42.880 --> 00:02:46.320]  那裡有西九牙有沒有行過
[00:02:46.320 --> 00:02:47.360]  有啊
[00:02:47.360 --> 00:02:49.520]  我很喜歡行西九牙
[00:02:49.520 --> 00:02:51.680]  西九牙行上鳳凰山
[00:02:51.680 --> 00:02:53.360]  下面看著石碧水塘
[00:02:53.360 --> 00:02:57.760]  上面看著一些接近懸崖峭壁的東西
[00:02:57.760 --> 00:02:59.600]  是很有氣勢的
[00:02:59.600 --> 00:03:01.680]  詩人就說例如
[00:03:01.680 --> 00:03:02.720]  你有機會行一下
[00:03:02.720 --> 00:03:04.240]  不過西九牙這些是
