
[00:00:00.000 --> 00:00:02.000]  Thank you, 平安
[00:00:02.000 --> 00:00:03.000]  平安
[00:00:03.000 --> 00:00:08.500]  不好意思,今天剛好見到謝思燕
[00:00:08.500 --> 00:00:11.500]  我在謝思燕那裡留得久了
[00:00:11.500 --> 00:00:15.500]  所以出來坐的士又塞車
[00:00:15.500 --> 00:00:19.500]  本來應該足夠時間,有40分鐘的時間
[00:00:19.500 --> 00:00:21.000]  結果搞了40分鐘
[00:00:21.000 --> 00:00:23.500]  由尖沙咀過來也要40分鐘
[00:00:23.500 --> 00:00:25.500]  可能地鐵還快一點
[00:00:25.500 --> 00:00:27.500]  早知道就坐地鐵
[00:00:27.500 --> 00:00:37.500]  好的,今天就和大家一起看新約的敬拜神學
[00:00:37.500 --> 00:00:43.500]  既然是敬拜神學就不會看太多細節
[00:00:43.500 --> 00:00:47.500]  敬拜是一回事,敬拜的現象
[00:00:47.500 --> 00:00:51.500]  我們會看聖經裡面所描述的敬拜現象
[00:00:51.500 --> 00:00:57.500]  不會搜尋我們現在的現代教會
[00:00:57.500 --> 00:00:59.500]  我們敬拜做些什麼呢?
[00:00:59.500 --> 00:01:04.500]  唱詩、讚美、祈禱、讀經、講道
[00:01:04.500 --> 00:01:08.500]  這類在什麼場合是怎樣的
[00:01:08.500 --> 00:01:12.500]  要唱詩歌,是用敬拜讚美的詩歌
[00:01:12.500 --> 00:01:14.500]  還是傳統的聖樂
[00:01:14.500 --> 00:01:16.500]  還是普天頌讚
[00:01:16.500 --> 00:01:21.500]  還是紅青,尤其是40年前紅青、藍青
[00:01:21.500 --> 00:01:26.500]  傳統一點的,或者舊的西方的觀眾
[00:01:26.500 --> 00:01:28.500]  很多都是西方翻譯的詩歌
[00:01:28.500 --> 00:01:30.500]  差不多全部都是
[00:01:30.500 --> 00:01:38.500]  除了有幾首是20、30年代我們自己中國的信號作的之外
[00:01:38.500 --> 00:01:41.500]  我們就不會談這些細節的東西
[00:01:41.500 --> 00:01:45.500]  而是真的理念上一些重要的
[00:01:45.500 --> 00:01:48.500]  尤其是對照著舊約和會
[00:01:48.500 --> 00:01:52.500]  是澄清一些敬拜
[00:01:52.500 --> 00:01:55.500]  在新約裡面一些敬拜的觀念
[00:01:55.500 --> 00:01:58.500]  其實我懷疑大部份的內容
[00:01:58.500 --> 00:02:02.500]  是大家都會一講其實大家都會知道
[00:02:02.500 --> 00:02:06.500]  但未必一定是這樣思考過
[00:02:06.500 --> 00:02:08.500]  所以今天就不是
[00:02:08.500 --> 00:02:11.500]  我目的就不是要給大家一些嶄新的看法
[00:02:11.500 --> 00:02:18.500]  而是指出一些新約裡面新約的作者重視的東西
[00:02:18.500 --> 00:02:21.500]  新約的作者重視的東西當然就一定和耶穌基督有關
[00:02:21.500 --> 00:02:28.500]  新約的敬拜和舊約的儀式敬拜最大區別當然就是耶穌基督
[00:02:28.500 --> 00:02:31.500]  這個就是第一個基本的大前提
[00:02:31.500 --> 00:02:34.500]  這個可以先落重說定
