
[00:00:00.000 --> 00:00:04.000]  屋底之妹平安
[00:00:04.000 --> 00:00:09.000]  今天很感恩 謝鄭博士好幾年了
[00:00:09.000 --> 00:00:14.000]  疫情期間沒辦法來香港幫我們辦講座
[00:00:14.000 --> 00:00:17.000]  今天是一個很難得的機會
[00:00:17.000 --> 00:00:24.000]  謝博士的新書其實都是他很重要的論文
[00:00:24.000 --> 00:00:30.000]  也是多年來謝博士講人的缺席
[00:00:30.000 --> 00:00:35.000]  「與師奪技」「阿哥」這些講座的重要內容
[00:00:35.000 --> 00:00:37.000]  所以今天請到這個機會
[00:00:37.000 --> 00:00:40.000]  他可以和我們分享一個很重要的課題
[00:00:40.000 --> 00:00:44.000]  我們都會在天道的讀書會裏面
[00:00:44.000 --> 00:00:47.000]  1月份就辦一個讀書會 專門讀
[00:00:47.000 --> 00:00:49.000]  今天是一個不做得成的
[00:00:49.000 --> 00:00:52.000]  不單止這樣 羅炳祥博士也在我們當中
[00:00:52.000 --> 00:00:55.000]  他們有一個對話
[00:00:55.000 --> 00:00:59.000]  這個課題其實不單止是一個正經研究的問題
[00:00:59.000 --> 00:01:03.000]  其實這個課題是一個非常現實 很真實的問題
[00:01:03.000 --> 00:01:07.000]  神的缺席就是在什麼處境下發生呢
[00:01:07.000 --> 00:01:10.000]  如果我們和「與師奪技」大家都知道
[00:01:10.000 --> 00:01:13.000]  可能是一個亡國滅族的時刻
[00:01:13.000 --> 00:01:15.000]  如果從我們今天的角度來說
[00:01:15.000 --> 00:01:17.000]  就是在這麼艱難的處境裏面
[00:01:17.000 --> 00:01:18.000]  上帝你在哪裏呢?
[00:01:18.000 --> 00:01:20.000]  如果你問上帝你在哪裏的時候
[00:01:20.000 --> 00:01:23.000]  大概都是和這個課題是不能分開的
[00:01:23.000 --> 00:01:27.000]  我們今天可以辦這個講座
[00:01:27.000 --> 00:01:32.000]  不單止他們兩位講完 非常幫忙
[00:01:32.000 --> 00:01:35.000]  我特別是真的要去多謝謝霆博士
