
[00:00:00.000 --> 00:00:17.020]  今天我們就來分享一本大家很熟悉的經典書
[00:00:17.020 --> 00:00:32.460]  就是《舊約的箴言》
[00:00:32.460 --> 00:00:39.620]  箴言看的時候有兩個不同的感覺
[00:00:39.620 --> 00:00:41.820]  第一個感覺就是很容易明白
[00:00:41.820 --> 00:00:45.020]  因為那個句子都是和我們生命有關係的
[00:00:45.020 --> 00:00:50.420]  但是真的詳細看的時候可能有第二個感覺
[00:00:50.420 --> 00:00:53.420]  就是箴言是一本很困難的書
[00:00:53.420 --> 00:00:58.420]  因為你看內宗每一句子之間的關係
[00:00:58.420 --> 00:01:01.220]  很多時候我們不太明白
[00:01:01.220 --> 00:01:04.220]  究竟上文下理的邏輯是怎樣
[00:01:04.220 --> 00:01:19.220]  很多時候我們都不太明白上文下理的邏輯在哪裡
[00:01:19.220 --> 00:01:25.220]  所以個別的經段我們去看的時候
[00:01:25.220 --> 00:01:28.820]  似乎問題不大
[00:01:28.820 --> 00:01:34.820]  但是整本書整體去研讀的話
[00:01:34.820 --> 00:01:39.420]  似乎有另外一種感覺
[00:01:39.420 --> 00:01:44.820]  如果你是個別靈修還可以
[00:01:44.820 --> 00:01:52.220]  但如果你在教會小組帶茶經的時候
[00:01:52.220 --> 00:01:59.620]  那麼長的經文究竟要帶多少次呢?
[00:01:59.620 --> 00:02:06.820]  帶了那麼多次之後似乎有些重複的感覺
[00:02:06.820 --> 00:02:15.020]  慢慢我們茶經只能夠成為一個跳板
[00:02:15.020 --> 00:02:18.020]  用每一節講我們內心感覺的一些例子
[00:02:18.020 --> 00:02:20.420]  我們就算是解通了
[00:02:20.420 --> 00:02:23.620]  用每一節聖經就我們分享內心的感覺
[00:02:23.620 --> 00:02:25.820]  就好像查完了
[00:02:25.820 --> 00:02:28.420]  那麼作者的原意是怎樣呢?
[00:02:28.420 --> 00:02:31.220]  但作者的原意是什麼呢?
[00:02:31.220 --> 00:02:33.420]  究竟神對我們講什麼的話?
[00:02:33.420 --> 00:02:36.020]  到底神向我們說什麼話呢?
[00:02:36.020 --> 00:02:39.420]  有什麼特別的挑戰呢?
[00:02:39.420 --> 00:02:42.420]  如果我們看的時候
[00:02:42.420 --> 00:02:47.220]  有四種直接的感覺
[00:02:47.220 --> 00:02:51.020]  第一個感覺就是真言中有很多人間常理
[00:02:51.020 --> 00:02:54.820]  第一個感覺就是真言中有很多人間的常理
[00:02:54.820 --> 00:02:57.820]  所以最初看的時候覺得很親切
[00:02:57.820 --> 00:03:01.820]  所以初看的時候會感覺到很親切
[00:03:01.820 --> 00:03:03.820]  但深入地看的時候我就說
[00:03:03.820 --> 00:03:05.620]  有什麼特別的地方呢?
[00:03:05.620 --> 00:03:07.820]  但深入去看的時候就會問
[00:03:07.820 --> 00:03:09.620]  有什麼特別的地方呢?
[00:03:09.620 --> 00:03:12.420]  神的默示對我們生命有什麼挑戰呢?
[00:03:12.420 --> 00:03:15.420]  神的默示對我們的生命有什麼挑戰呢?
[00:03:15.420 --> 00:03:20.420]  所以人間的常理是一個很直接的感覺
[00:03:20.420 --> 00:03:24.420]  所以人間的常理是一個非常直覺的感覺
[00:03:24.420 --> 00:03:29.020]  好像有些好人得到好報的格言式的感覺
[00:03:29.020 --> 00:03:34.820]  好像好人得好報這樣的格言方式的結局
[00:03:34.820 --> 00:03:38.020]  那麼真言究竟是說什麼呢?
[00:03:38.020 --> 00:03:40.620]  但真言到底在說什麼呢?
[00:03:40.620 --> 00:03:42.820]  不單只是人間常理
[00:03:42.820 --> 00:03:46.820]  還是有些天真的邏輯的感覺
[00:03:46.820 --> 00:03:48.820]  其實不單只是人間的常理
[00:03:48.820 --> 00:03:51.820]  還有一些天真的邏輯這樣的感覺
[00:03:51.820 --> 00:03:56.420]  簡化天真、簡單、蠻不知的感覺
[00:03:56.420 --> 00:04:01.420]  簡化了天真、純真這樣的感覺
