
[00:00:00.000 --> 00:00:03.920]  歡迎大家回來加拉塔斯第二課的下半課
[00:00:03.920 --> 00:00:07.360]  接著我們看第九頁的注錄
[00:00:07.360 --> 00:00:09.840]  先看四章一至七節
[00:00:09.840 --> 00:00:14.080]  一至七節是ABCB派A派的結構
[00:00:14.080 --> 00:00:16.800]  首先第一個段落一至二節
[00:00:16.800 --> 00:00:20.440]  就說到孩童和奴僕毫無分別
[00:00:20.440 --> 00:00:23.800]  因為上文提到一個叫監護導師
[00:00:23.800 --> 00:00:25.600]  四章一至二節
[00:00:25.600 --> 00:00:26.600]  我是說
[00:00:26.600 --> 00:00:27.720]  我是這樣說
[00:00:27.720 --> 00:00:31.040]  只要一天他承受產業還是孩童
[00:00:31.040 --> 00:00:33.920]  他就和奴僕毫無區別
[00:00:33.920 --> 00:00:36.160]  縱管他是一切的主人
[00:00:36.160 --> 00:00:39.680]  他在監護人和管家之下
[00:00:39.680 --> 00:00:44.160]  直到他父親預先指定的期限
[00:00:44.160 --> 00:00:46.080]  我們看六至七節
[00:00:46.080 --> 00:00:48.200]  你們既然是兒子
[00:00:48.200 --> 00:00:50.520]  神就差遣他兒子的靈
[00:00:50.520 --> 00:00:51.400]  即是聖靈
[00:00:51.400 --> 00:00:52.760]  進入我們的心裡面
[00:00:52.760 --> 00:00:54.960]  呼叫「阿爸」「父啊」
[00:00:54.960 --> 00:00:56.720]  所以這個呼叫
[00:00:56.720 --> 00:00:58.600]  其實不是我們呼叫
[00:00:58.600 --> 00:01:01.080]  是聖靈在我們裡面呼叫
[00:01:01.080 --> 00:01:02.360]  「阿爸」「父啊」
[00:01:02.360 --> 00:01:05.080]  這樣你不再是奴僕
[00:01:05.080 --> 00:01:06.440]  而是兒子
[00:01:06.440 --> 00:01:07.720]  既然是兒子
[00:01:07.720 --> 00:01:10.600]  就是那靠神承受產業的了
[00:01:10.600 --> 00:01:12.720]  如果看回注錄的結構
[00:01:12.720 --> 00:01:14.280]  就是說A段落
[00:01:14.280 --> 00:01:16.840]  就是說孩童和奴僕毫無區別
[00:01:16.840 --> 00:01:17.920]  現在A派
[00:01:17.920 --> 00:01:19.840]  就是我們不是再是奴僕
[00:01:19.840 --> 00:01:20.880]  而是兒子
[00:01:20.880 --> 00:01:22.800]  所以有很大的區別
[00:01:22.800 --> 00:01:24.280]  然後第三節
[00:01:24.280 --> 00:01:25.760]  我們也是這樣
[00:01:25.760 --> 00:01:27.240]  我們捉孩童的時候
[00:01:27.240 --> 00:01:31.080]  在世界的低級事物之下遺錄
[00:01:31.080 --> 00:01:32.600]  對應的第五節
[00:01:32.600 --> 00:01:36.960]  為要把律法之下的人救贖出來
[00:01:36.960 --> 00:01:39.880]  好讓我們得到兒子的名分
[00:01:39.880 --> 00:01:41.800]  從結構去看
[00:01:41.800 --> 00:01:42.720]  看回注錄
[00:01:42.720 --> 00:01:44.480]  B就是捉孩童時
[00:01:44.480 --> 00:01:47.080]  在世界的低級事物之下遺錄
[00:01:47.080 --> 00:01:48.120]  對應B派
[00:01:48.120 --> 00:01:51.400]  為要把律法之下的人救贖出來
[00:01:51.400 --> 00:01:53.360]  所以從這個結構去看
[00:01:53.360 --> 00:01:55.480]  什麼叫低級事物呢?
[00:01:55.480 --> 00:01:56.800]  就容易一點了
[00:01:56.800 --> 00:01:58.880]  其實是指律法
[00:01:58.880 --> 00:02:04.200]  如果純粹抽離世界低級事物的翻譯
[00:02:04.200 --> 00:02:06.920]  可以有不同的理解
[00:02:06.920 --> 00:02:08.920]  但是按結構去看
[00:02:08.920 --> 00:02:11.280]  就變得輕散很多
[00:02:11.280 --> 00:02:13.360]  而中間第四節
[00:02:13.360 --> 00:02:15.680]  但其限一滿
[00:02:15.680 --> 00:02:17.680]  臣有差距的兒子
[00:02:17.680 --> 00:02:19.200]  由女人所生
[00:02:19.200 --> 00:02:21.280]  並且身在律法之下
[00:02:21.280 --> 00:02:24.600]  即是上半段和後半段已經說了
[00:02:24.600 --> 00:02:27.800]  律法其實是一個任務
[00:02:27.800 --> 00:02:29.800]  而是過渡性的任務
[00:02:29.800 --> 00:02:31.240]  而在這裡
