
[00:00:00.000 --> 00:00:18.880]  各位朋友晚安 各位姐妹晚安
[00:00:18.880 --> 00:00:22.000]  這個題目不是我定的
[00:00:22.000 --> 00:00:25.280]  從《聖經》學如何面對大時代的轉變
[00:00:25.280 --> 00:00:29.560]  被廖博士邀請的時候 我都覺得很困難
[00:00:29.560 --> 00:00:31.560]  加上太書跟他有什麼關係呢
[00:00:31.560 --> 00:00:34.240]  還有我宣傳出去的時候
[00:00:34.240 --> 00:00:39.820]  也有朋友馬上給我回覆
[00:00:39.820 --> 00:00:49.560]  批評了劉青雲和丁太那幅相
[00:00:49.560 --> 00:00:54.680]  放在那裏回覆我 你要面對這個大時代
[00:00:54.680 --> 00:00:59.480]  我不知道你怎樣理解什麼叫大時代
[00:00:59.480 --> 00:01:02.200]  有沒有想起劉青雲那一套
[00:01:02.200 --> 00:01:05.080]  或者丁太鄭少秋那一套
[00:01:05.080 --> 00:01:10.480]  我開始之前 最初我要問
[00:01:10.480 --> 00:01:13.880]  現在的大時代是什麼
[00:01:13.880 --> 00:01:15.880]  我自己看就是
[00:01:15.880 --> 00:01:19.080]  我自己很多很多東西
[00:01:19.080 --> 00:01:23.960]  我自己看就是我們社會有內捲的趨向
[00:01:23.960 --> 00:01:25.560]  沒有新發展
[00:01:25.560 --> 00:01:28.440]  只看一些舊有的建設裏面
[00:01:28.440 --> 00:01:34.680]  繼續這樣去捲來捲去或者繼續再去細緻化
[00:01:34.680 --> 00:01:38.640]  無論你哪方面的專業都前路微卜
[00:01:38.640 --> 00:01:42.720]  無論哪方面 經濟 政治各樣東西
[00:01:42.720 --> 00:01:45.960]  大環境 小環境都沒有人預知到
[00:01:45.960 --> 00:01:49.880]  未來究竟會有什麼可靠的發展
[00:01:49.880 --> 00:01:52.360]  而在香港棄權者中
[00:01:52.360 --> 00:01:54.680]  香港稍有風吹草動
[00:01:54.680 --> 00:01:58.600]  有很多棄人棄樹 各方面的人棄樹
[00:01:58.600 --> 00:02:02.360]  教會面對的也都有內憂外患
[00:02:02.360 --> 00:02:04.920]  外面其實你看看社會
[00:02:04.920 --> 00:02:09.640]  不是再這麼友善地去對教育
[00:02:09.640 --> 00:02:14.800]  不只是政府 是整體社會那些不同的組織
[00:02:14.800 --> 00:02:19.960]  對教會沒有以往這麼友善
[00:02:19.960 --> 00:02:23.920]  好一點來說就是我們再沒有很多的特權
[00:02:23.920 --> 00:02:28.920]  我們只不過是其中一個的宗教團體
[00:02:28.920 --> 00:02:30.360]  而對內呢
[00:02:30.360 --> 00:02:31.280]  不知道你有沒有留意
[00:02:31.280 --> 00:02:35.520]  其實新興教派非常之流行在香港
