
[00:00:00.000 --> 00:00:03.000]  全球的弟兄姐妹們大家平安
[00:00:03.000 --> 00:00:05.000]  我是呂紹昌
[00:00:05.000 --> 00:00:10.000]  今天從美國加州灣區基督共和神學院
[00:00:10.000 --> 00:00:13.000]  也代表整個教會的學校的同工
[00:00:13.000 --> 00:00:15.000]  跟大家來問安
[00:00:15.000 --> 00:00:20.000]  我相信今年2020年庚子年到了現場
[00:00:20.000 --> 00:00:22.000]  我們也要為大家祈福
[00:00:22.000 --> 00:00:24.000]  祝福大家平安
[00:00:24.000 --> 00:00:30.000]  我相信今年2020年庚子年到了現在
[00:00:30.000 --> 00:00:34.000]  我們都覺得最可怕的事當然就是疫情
[00:00:34.000 --> 00:00:37.000]  不僅如此還有全世界各地的動亂
[00:00:37.000 --> 00:00:39.000]  加上美國的大選
[00:00:39.000 --> 00:00:41.000]  到了今天為止
[00:00:41.000 --> 00:00:45.000]  全球應該會有4000萬人感染COVID-19
[00:00:45.000 --> 00:00:50.000]  有100萬以上的人因為這個疾病而死亡
[00:00:50.000 --> 00:00:54.000]  這並非是一個冷冰冰的數字
[00:00:54.000 --> 00:00:59.000]  你想100萬家庭痛失家人
[00:00:59.000 --> 00:01:02.000]  本來晚餐可以一起吃飯的
[00:01:02.000 --> 00:01:05.000]  現在不再需要擺碗筷
[00:01:05.000 --> 00:01:07.000]  不能再一起用餐
[00:01:07.000 --> 00:01:09.000]  我想這是非常可怕的事
[00:01:09.000 --> 00:01:12.000]  我相信這是一個新時代的一個開始
[00:01:12.000 --> 00:01:14.000]  從來沒有見過
[00:01:14.000 --> 00:01:17.000]  說百年不遇可能還是太客氣了一點
[00:01:17.000 --> 00:01:21.000]  如果我們這樣說明年2021年
[00:01:21.000 --> 00:01:25.000]  是一個新時代的紀元開始元年
[00:01:25.000 --> 00:01:28.000]  我相信你會有同感
[00:01:28.000 --> 00:01:30.000]  然而在歷史上
[00:01:30.000 --> 00:01:32.000]  每次重大的動盪之後
[00:01:32.000 --> 00:01:34.000]  總是新的開始
[00:01:34.000 --> 00:01:37.000]  我們付出沉重的代價之後
[00:01:37.000 --> 00:01:40.000]  人就開始有新的領悟
[00:01:40.000 --> 00:01:44.000]  對這次的新冠疫情我相信也不會例外
[00:01:44.000 --> 00:01:47.000]  在疫情當中我們堅定信心
[00:01:47.000 --> 00:01:48.000]  更加堅定禱告
[00:01:48.000 --> 00:01:50.000]  更加愛神更加愛人
[00:01:50.000 --> 00:01:52.000]  但是我們也同時要思想
[00:01:52.000 --> 00:01:54.000]  那麼疫情過後
[00:01:54.000 --> 00:01:57.000]  神對我們有什麼旨意跟計畫
[00:01:57.000 --> 00:01:59.000]  我們如何更有能力
[00:01:59.000 --> 00:02:03.000]  更放膽來傳福音來復興教會呢
