
[00:00:00.000 --> 00:00:16.000]  各位電視好友,今晚是社會修辭學第二講
[00:00:16.000 --> 00:00:27.000]  上一次何博士幾詳細介紹社會修辭學的內容
[00:00:27.000 --> 00:00:34.000]  但他都說不同學者可能有不同的了解
[00:00:34.000 --> 00:00:43.000]  所以等一會兒我們聽聽教育博士如何簡單介紹
[00:00:43.000 --> 00:00:47.000]  他今晚會用路加福音做演繹
[00:00:47.000 --> 00:00:52.000]  今日跟往常一樣,講座上下半場
[00:00:52.000 --> 00:01:01.000]  通常有一個抽奉獻和休息,大家去交流,看書,做一些事件
[00:01:01.000 --> 00:01:06.000]  下半場8時8點8開始,今日9點半
[00:01:06.000 --> 00:01:11.000]  開始之前我們一起去祈禱,何主帶領我們
[00:01:11.000 --> 00:01:17.000]  天父上帝,我們感謝您給我們今晚的機會學習華語
[00:01:17.000 --> 00:01:23.000]  主我們感謝您的僕人花了很多功夫、時間、心力去學習
[00:01:23.000 --> 00:01:29.000]  用不同的方法讓我們更明白您華語的真實
[00:01:29.000 --> 00:01:33.000]  也求天父您今晚帶領我們可以明白,開放在心裏
[00:01:33.000 --> 00:01:36.000]  讓您的華語成為我們人生的指引
[00:01:36.000 --> 00:01:39.000]  我們依奉我們生活的力量
[00:01:39.000 --> 00:01:43.000]  我們求主祢紀念我們今日的講座
[00:01:43.000 --> 00:01:46.000]  如果有第一次末日在路上,祢保守,祢平安
[00:01:46.000 --> 00:01:51.000]  我們在這段時間裡,恭敬教學,仰望奉耶穌基督的聖名
[00:01:51.000 --> 00:01:53.000]  阿們
[00:01:53.000 --> 00:02:10.000]  (記者:頂姐妹好,橫勝給了這個題目,從社會修辭學去解讀奴家福音)
[00:02:10.000 --> 00:02:16.000]  (其實是一整個系列的講座都是從社會修辭學去看自己不同的書卷)
[00:02:16.000 --> 00:02:26.000]  (所以我相信這一系列的講座不單是希望頂姐妹認識到經文的內容)
[00:02:26.000 --> 00:02:36.000]  (也是給大家機會去接觸一下對很多人來說比較陌生的一個詞語)
[00:02:36.000 --> 00:02:39.000]  (社會修辭學是甚麼來的呢?)
[00:02:39.000 --> 00:02:44.000]  (剛才廖博士也說了,上星期的講員也介紹過這個方法)
[00:02:44.000 --> 00:02:51.000]  (不過可能對不同的人,對這個方法的理解也會有少少的差異)
[00:02:51.000 --> 00:02:58.000]  (因為本身的社會修辭學是一個相當複雜的研究聖經的方法)
[00:02:58.000 --> 00:03:09.000]  (所以不想學者對社會修辭學到底是甚麼來的,的確是講法是有少少不同)
[00:03:09.000 --> 00:03:19.000]  (簡單來說,如果我們按照最初提出社會修辭學的研究方法)
[00:03:19.000 --> 00:03:23.000]  (那位學者叫做Ferman Robbins)
[00:03:23.000 --> 00:03:33.000]  (他所提出的其實不單是經文,而是任何的文本)
[00:03:33.000 --> 00:03:43.000]  (任何的文本其實是有不同的層次,有不同的角度我們可以嘗試去留意)
[00:03:43.000 --> 00:03:51.000]  (所以他提出這個社會修辭進路,雖然他整個方法是相當複雜的)
[00:03:51.000 --> 00:04:01.000]  (你真的要按照社會修辭學的理論去研究經文的話,是要做相當多的功夫的)
[00:04:01.000 --> 00:04:07.000]  (多到怎樣呢?我舉一個例子,大家大概就會有一個概念)
[00:04:07.000 --> 00:04:13.000]  (曾經有一個人去讀博士,要寫博士論文)
[00:04:13.000 --> 00:04:19.000]  (大家知道博士論文大概一般大概十萬字左右)
[00:04:19.000 --> 00:04:22.000]  (博士論文的題目是甚麼呢?)
[00:04:22.000 --> 00:04:27.000]  (從社會修辭學研究雅各書二章一到十三節)
[00:04:27.000 --> 00:04:29.000]  (半章的經文)
[00:04:29.000 --> 00:04:36.000]  (半章的經文是用社會修辭學去做研究,就已經是一篇博士論文了)
[00:04:36.000 --> 00:04:42.000]  (可想而知社會修辭學的方法有多複雜)
[00:04:42.000 --> 00:04:47.000]  (為甚麼會那麼複雜呢?正如剛才提到的方法的Roberts)
[00:04:47.000 --> 00:04:58.000]  (他說一個文本有不同的層次,我們都需要去留心,需要去研究)
[00:04:58.000 --> 00:05:08.000]  (包括有幾個特徵,英文是Texture,就像一個質地)
[00:05:08.000 --> 00:05:18.000]  (按照Roberts最初所提出的理論,他提到有四個層次的Texture)
[00:05:18.000 --> 00:05:23.000]  (第一個叫做內在的特徵,Inner Texture)
[00:05:23.000 --> 00:05:29.000]  (很簡單,我們留意經文的文本本身是怎樣的)
[00:05:29.000 --> 00:05:37.000]  (其他我們不看了,我們只留意這段文字本身有甚麼特質)
[00:05:37.000 --> 00:05:45.000]  (例如有些字重複很多次,裡面的邏輯發展是怎樣的)
[00:05:45.000 --> 00:05:52.000]  (裡面用甚麼例子,都是經文本身的東西)
[00:05:52.000 --> 00:05:55.000]  (這就是內在的特徵)
[00:05:55.000 --> 00:06:00.000]  (第二個層次,叫做跨文本的特徵)
[00:06:00.000 --> 00:06:06.000]  (就是我們研究的Texture,這段經文)
[00:06:06.000 --> 00:06:13.000]  (跟當時語言的環境有甚麼關係呢?)
[00:06:13.000 --> 00:06:19.000]  (講語言環境,特別是聖經年代,2000年前)
[00:06:19.000 --> 00:06:23.000]  (我們不是活在那個年代的人)
[00:06:23.000 --> 00:06:34.000]  (所以我們必須透過當時的文獻,去認識當時的語言環境)
[00:06:34.000 --> 00:06:41.000]  (透過這方面,幫助我們更深入理解這段經文的表達方式)
[00:06:41.000 --> 00:06:45.000]  (其實它想表達甚麼呢?)
[00:06:45.000 --> 00:06:49.000]  (這個跨文本的特徵很重要,就是我們嘗試去看這段經文)
[00:06:49.000 --> 00:06:59.000]  (跟當時的作者,讀者所認識的其他Texture,其他著作)
[00:06:59.000 --> 00:07:02.000]  (有甚麼關係呢?)
[00:07:02.000 --> 00:07:04.000]  (它會否引用了一些典故呢?)
[00:07:04.000 --> 00:07:07.000]  (會否引用了其他書卷呢?)
[00:07:07.000 --> 00:07:14.000]  (這也是跨文本的特徵,這個層次我們會留心的問題)
[00:07:14.000 --> 00:07:19.000]  (第三個Texture,叫做Social Texture,社會文化的特徵)
[00:07:19.000 --> 00:07:25.000]  (其實也是講背景,但不是語言,不是其他書卷的背景)
[00:07:25.000 --> 00:07:34.000]  (而是講當時這本書,這段經文,當時身處的社會文化有甚麼特質)
[00:07:34.000 --> 00:07:42.000]  (而我們知道社會文化很影響我們怎樣想事,怎樣說話,怎樣傳遞我們的訊息)
[00:07:42.000 --> 00:07:48.000]  (所以社會文化也是我們很需要去認識的一個部分)
[00:07:48.000 --> 00:07:54.000]  (幫助我們更加深入,更加準確去理解這本經文)
[00:07:54.000 --> 00:08:00.000]  (最後,比社會文化更深一層的,就是意識形態的特徵)
[00:08:00.000 --> 00:08:07.000]  (Ideological Texture,當時的人有甚麼深層的觀念)
[00:08:07.000 --> 00:08:12.000]  (他們的世界觀是怎樣的,他們的神學觀念是怎樣的)
[00:08:12.000 --> 00:08:23.000]  (意識形態的層次,也是從那裏我們嘗試更深入,去理解這本經文裏面所講的東西)
[00:08:23.000 --> 00:08:29.000]  (剛才博士也提醒我今晚不要花太多時間去講這個方法)
[00:08:29.000 --> 00:08:34.000]  (所以很簡單,介紹了Robin所提出的這四個層次)
[00:08:34.000 --> 00:08:40.000]  (我們分別從這幾個層次去理解經文)
