
[00:00:00.000 --> 00:00:06.000]  足夠法定人數
[00:00:06.000 --> 00:00:29.000]  主席
[00:00:29.000 --> 00:00:57.000]  主席
[00:00:57.000 --> 00:01:17.000]  主席
[00:01:17.000 --> 00:01:46.000]  主席
[00:01:46.000 --> 00:02:09.000]  主席
[00:02:09.000 --> 00:02:34.000]  主席
[00:02:34.000 --> 00:02:40.000]  口頂之梅買愛
[00:02:40.000 --> 00:02:46.000]  好像大家都是我這種年紀的人
[00:02:46.000 --> 00:02:48.000]  當我還是年輕的時候
[00:02:48.000 --> 00:02:49.000]  我覺得自己是專家來的
[00:02:49.000 --> 00:02:51.000]  什麼都懂
[00:02:51.000 --> 00:02:53.000]  直到現在
[00:02:53.000 --> 00:02:55.000]  我只懂很少東西
[00:02:55.000 --> 00:02:56.000]  你聽不懂你問我
[00:02:56.000 --> 00:02:58.000]  我懂我就回答你
[00:02:58.000 --> 00:03:01.000]  我不懂就大家去上一下AI
[00:03:01.000 --> 00:03:04.000]  你都找到答案的
[00:03:04.000 --> 00:03:08.000]  今晚主要是講耶利米哀歌
[00:03:08.000 --> 00:03:11.000]  這個書卷
[00:03:11.000 --> 00:03:14.000]  從它的內容
[00:03:14.000 --> 00:03:16.000]  大致上我們會見到
[00:03:16.000 --> 00:03:19.000]  一個戰後猶大的
[00:03:19.000 --> 00:03:26.000]  一個猶太人的那種哀傷
[00:03:26.000 --> 00:03:31.000]  和在神面前的呼喊呼求
[00:03:31.000 --> 00:03:35.000]  其實我坐下來的靈感
[00:03:35.000 --> 00:03:39.000]  就在耶利米書第41章
[00:03:39.000 --> 00:03:41.000]  不是哀歌裏面
[00:03:41.000 --> 00:03:44.000]  我都想讀給大家聽
[00:03:44.000 --> 00:03:47.000]  一時之間我們未必能拿到經文出來
[00:03:47.000 --> 00:03:49.000]  也有一點不好意思
[00:03:49.000 --> 00:03:52.000]  我讀這個都是和合本的經文
[00:03:52.000 --> 00:03:55.000]  不是環球聲警工會的
[00:03:55.000 --> 00:03:58.000]  第41章耶利米書
[00:03:58.000 --> 00:04:02.000]  就講到猶大亡國
[00:04:02.000 --> 00:04:08.000]  西底加王被擄到巴比倫
[00:04:08.000 --> 00:04:11.000]  然後尼布格尼薩
[00:04:11.000 --> 00:04:13.000]  即是巴比倫王
[00:04:13.000 --> 00:04:18.000]  就在猶大這個戰後的國家
[00:04:18.000 --> 00:04:21.000]  建立了一個行省
[00:04:21.000 --> 00:04:28.000]  就在那裏扶立了一個猶大的領袖
[00:04:28.000 --> 00:04:32.000]  他叫基大利
[00:04:32.000 --> 00:04:36.000]  他原本是一個猶大宮室裏面
[00:04:36.000 --> 00:04:38.000]  一個很重要
[00:04:38.000 --> 00:04:42.000]  如果大家還記得
[00:04:42.000 --> 00:04:47.000]  在約西亞的年代
[00:04:47.000 --> 00:04:49.000]  猶大最後幾個末代的君王
[00:04:49.000 --> 00:04:52.000]  全部都是約西亞的兒子
[00:04:52.000 --> 00:04:55.000]  他們輪流在不同的時間
[00:04:55.000 --> 00:05:01.000]  在登基那裏作最後的猶大王
[00:05:01.000 --> 00:05:03.000]  在約西亞的年代
[00:05:03.000 --> 00:05:08.000]  他們曾經在聖所裏面找到書卷
[00:05:08.000 --> 00:05:10.000]  很可能是生命記
[00:05:10.000 --> 00:05:13.000]  那個人叫沙番
[00:05:13.000 --> 00:05:16.000]  沙番是當時的宰相
[00:05:16.000 --> 00:05:20.000]  沙番的兒子叫阿希金
[00:05:20.000 --> 00:05:26.000]  也是一個很維護和支持耶利米的宮中大臣
[00:05:26.000 --> 00:05:28.000]  阿希金的兒子
[00:05:28.000 --> 00:05:32.000]  就是我今天開始的時候想提及的基大利的爸爸
[00:05:32.000 --> 00:05:37.000]  他三代都是猶大的王宮裏面
[00:05:37.000 --> 00:05:43.000]  一個很有影響力的官員的世家
[00:05:43.000 --> 00:05:50.000]  這個基大利就是亡國之後猶大省巴比倫所扶立的省長
[00:05:50.000 --> 00:05:52.000]  可以嗎?
[00:05:52.000 --> 00:05:56.000]  如果我們用今天中國人的字眼來說
[00:05:56.000 --> 00:05:59.000]  我們會叫這些做漢奸
