
[00:00:00.000 --> 00:00:21.600]  今天的講座 大家這次是第三堂 受苦之前我們紀念主耶穌
[00:00:21.600 --> 00:00:27.200]  裡面是詩篇的哀歌表達了 私人對苦難的感受和反應
[00:00:27.200 --> 00:00:30.500]  藉著詩篇希望能幫助我們每一個弟兄姊妹
[00:00:30.500 --> 00:00:34.500]  在困難的時候 我們可以找一本詩篇來看一看
[00:00:34.500 --> 00:00:37.200]  或者裡面的經文可以鼓勵到我們
[00:00:37.200 --> 00:00:40.500]  或者我們去幫助其他的弟兄姊妹
[00:00:40.500 --> 00:00:44.100]  最近這段時間裡面有很多人過世
[00:00:44.100 --> 00:00:52.400]  我剛剛今天來之前 收到一個姐妹的媽媽過世
[00:00:52.400 --> 00:00:57.700]  很多時候我們都會這樣 我們應該怎樣去跟他們一起度過這個苦難
[00:00:57.700 --> 00:01:01.500]  或者我們自己怎樣去感受 或者去幫助別人
[00:01:01.500 --> 00:01:05.000]  或者我們自己苦難的時候面對神呢
[00:01:05.000 --> 00:01:07.500]  今天有張子聰博士在我們中間
[00:01:07.500 --> 00:01:13.700]  是忠臣研究院的副教授 聖經科的副教授
[00:01:13.700 --> 00:01:19.200]  我們開始之前 我們有一個祈禱 我們一起低頭祈禱
[00:01:19.200 --> 00:01:24.100]  「神啊 感謝祢 讓我們能夠可以在一起 可以去探討聖經
[00:01:24.100 --> 00:01:27.700]  可以去看詩篇裡面 裡面明白到原來
[00:01:27.700 --> 00:01:30.600]  原來不是我們自己 只是我們自己有愛過
[00:01:30.600 --> 00:01:32.400]  或者我們自己是呼求神
[00:01:32.400 --> 00:01:36.300]  原來經文裡面很多很多的都是呼求神
[00:01:36.300 --> 00:01:40.600]  「神啊 原來當我們看看他們的呼求
[00:01:40.600 --> 00:01:48.600]  當我們呼求的時候 原來他們明白到結果是正面的
[00:01:48.600 --> 00:01:51.400]  是我們 原來神沒有放棄我們
[00:01:51.400 --> 00:01:54.000]  祂跟我們在一起 跟我們陪衡
[00:01:54.000 --> 00:01:55.300]  神啊 求祢帶領著我們」
[00:01:55.300 --> 00:01:59.400]  一會兒講完張博士 祂能夠將神的話語釋放
[00:01:59.400 --> 00:02:03.500]  讓我們更加明白 原來每一篇的詩篇都有不同
[00:02:03.500 --> 00:02:07.100]  今天是七十九、八十篇 裡面究竟講些什麼呢?
[00:02:07.100 --> 00:02:09.700]  我們很多時候覺得我們很明白聖經
[00:02:09.700 --> 00:02:13.900]  但實際上我們很多都不明白 求神祢親自帶領
[00:02:13.900 --> 00:02:19.000]  將以下時間交給神在靈裡面 跟我們在一起
[00:02:19.000 --> 00:02:23.500]  亦都交給張博士 祈禱不配奉主名求 阿門
[00:02:41.500 --> 00:02:45.300]  弟兄姊妹晚安 大家可以走了
[00:02:45.300 --> 00:02:47.900]  晚安就應該可以回家了
[00:02:47.900 --> 00:02:50.900]  不過很多時候 我想我們禮拜五晚
[00:02:50.900 --> 00:02:55.300]  我們來到這個地方 我們不是去了家裡
[00:02:55.300 --> 00:02:58.600]  不是在家裡休息 不是在另外的地方
[00:02:58.600 --> 00:03:03.400]  上深圳那間叫做山墓 去走一圈
[00:03:03.400 --> 00:03:08.300]  而我們要來到這個地方 在上帝的說話面前
[00:03:08.300 --> 00:03:14.900]  我相信大家可能都帶著一些原因 或者帶著一些期望
[00:03:14.900 --> 00:03:20.000]  不知道今晚是因為什麼原因 令到你要坐在這個地方
[00:03:20.000 --> 00:03:22.100]  今晚的講題叫做
[00:03:22.100 --> 00:03:28.000]  「你因你百姓的禱告發怒 要到幾時呢?」
[00:03:28.000 --> 00:03:33.100]  我曾經都做了一個小小的試驗
[00:03:33.100 --> 00:03:36.800]  其實我是一個很不懂得用科技的人
[00:03:36.800 --> 00:03:40.500]  今天我用的電話還是Nokia的電話
[00:03:40.500 --> 00:03:46.600]  所以你會明白到我跟這個科技世界有多遙遠
[00:03:46.600 --> 00:03:49.800]  不過AI這兩個字真的太吸引了
[00:03:49.800 --> 00:03:52.600]  所以我都曾經試過去做一樣東西
[00:03:52.600 --> 00:03:54.700]  就是我問Chet GPT
[00:03:54.700 --> 00:03:59.800]  如果上帝發怒的時候 我應該怎樣跟祂禱告呢?
[00:03:59.800 --> 00:04:01.800]  他竟然回答了我
[00:04:01.800 --> 00:04:05.300]  他竟然說了一段戲 可能你都試過
[00:04:05.300 --> 00:04:09.700]  他竟然回答我「你要記得上帝有祂的應許」
[00:04:09.700 --> 00:04:12.700]  「你要記得要回轉、要悔改」
[00:04:12.700 --> 00:04:16.500]  「你要記得有上帝的憐憫和恩典」
[00:04:16.500 --> 00:04:20.500]  到最後他就說「你要有一個美麗的光明」
[00:04:20.500 --> 00:04:24.500]  我看完之後覺得果然真的是抄襲的
[00:04:24.500 --> 00:04:28.100]  我的感覺是原來聖經所說的話
[00:04:28.100 --> 00:04:32.400]  遠比Chet GPT精彩很多
[00:04:32.400 --> 00:04:35.300]  或者不應該說精彩很多
[00:04:35.300 --> 00:04:41.700]  聖經所說的話遠比Chet GPT更加明白
[00:04:41.700 --> 00:04:46.400]  我們上主的心意究竟是一個怎樣的心意
[00:04:46.400 --> 00:04:50.000]  可能你都會有機會嘗試去看一下
