
[00:00:00.000 --> 00:00:02.000]  多謝各位觀眾收看,多謝!
[00:00:02.000 --> 00:00:12.000]  《心靈疾病》字幕組:Tina, Yvonne, Yuen Long, Yuen Long
[00:00:12.000 --> 00:00:19.000]  感謝神的恩典,每年都有機會可以回來香港和橫勝一同做
[00:00:19.000 --> 00:00:25.000]  首先要多謝浸浴會借地方給我們,如果可以可以放我的powerpoint
[00:00:25.000 --> 00:00:29.000]  可以和電影節目一同思想
[00:00:29.000 --> 00:00:34.000]  每年都是在心靈驛站,心靈上的課題
[00:00:34.000 --> 00:00:36.000]  每次其實對我自己都有很多幫助
[00:00:36.000 --> 00:00:42.000]  因為每年童宮定了之後,去年說活得更快樂
[00:00:42.000 --> 00:00:47.000]  如果你有去聽,我自己都很快樂,一邊說一邊很開心
[00:00:47.000 --> 00:00:52.000]  今年我們的主題就是尋求困苦中的幸福
[00:00:52.000 --> 00:00:59.000]  也是一個非常需要的,在這個年代非常需要的議題
[00:00:59.000 --> 00:01:03.000]  突然想起,我剛剛從美國回來,美國大選
[00:01:03.000 --> 00:01:07.000]  每年美國大選,我們做牧師的,最頭痛的
[00:01:07.000 --> 00:01:13.000]  叫人去投票,是一定的,但是要很小心的
[00:01:13.000 --> 00:01:17.000]  不能夠表態自己是哪一個黨
[00:01:17.000 --> 00:01:21.000]  因為二分一的機會你會被人裁台
[00:01:21.000 --> 00:01:27.000]  所以說到幸福,要去想,要去找
[00:01:27.000 --> 00:01:31.000]  麻煩是不是可以將我的powerpoint放出來
[00:01:31.000 --> 00:01:36.000]  先來點一下題,心靈驛站
[00:01:36.000 --> 00:01:39.000]  尋求困苦中的幸福,聖經篇
[00:01:39.000 --> 00:01:44.000]  當然今晚有很多個聖經,希望大家看到powerpoint
[00:01:44.000 --> 00:01:48.000]  我的字都大,但是比較窄
[00:01:48.000 --> 00:01:55.000]  今晚可能光度不夠,壞了燈,所以關不了,不好意思
[00:01:55.000 --> 00:01:59.000]  先講心靈
