
[00:00:00.000 --> 00:00:11.000]  第四個神蹟是衛寶五千人在第六章的第一至第十五節
[00:00:11.000 --> 00:00:20.000]  在這個故事裏面,我們說要學習敘事的技巧等等
[00:00:20.000 --> 00:00:23.000]  現在這裏有個例子給我們看見
[00:00:23.000 --> 00:00:31.000]  第一節至第四節,這次是耶穌渡過加里尼海,就是提比利亞海
[00:00:31.000 --> 00:00:36.000]  有一大群人因為看見祂在病人身上所行的神蹟,就跟隨祂
[00:00:36.000 --> 00:00:40.000]  這裏看見有些人因為看見一些東西,跟著祂
[00:00:40.000 --> 00:00:46.000]  耶穌上了山,往門道坐坐那裡,那時候猶太人的雨節快到了
[00:00:46.000 --> 00:00:51.000]  這是一個很小的隨意提示
[00:00:51.000 --> 00:00:54.000]  但這個提示非常重要
[00:00:54.000 --> 00:00:59.000]  因為在《仰佛音》裏面,雨節出現了三次
[00:00:59.000 --> 00:01:02.000]  第一次在第二章,我們剛才說的潔淨聖殿那裏
[00:01:02.000 --> 00:01:07.000]  第二次在這裏,第三次在第十二章打後
[00:01:07.000 --> 00:01:12.000]  一直到耶穌被釘的那個記載
[00:01:12.000 --> 00:01:19.000]  這三個雨節都是很明顯地將耶穌的身份和工作突顯了出來
[00:01:19.000 --> 00:01:25.000]  剛才我們說第一個神蹟的時候,就說到微塞的延籍
[00:01:25.000 --> 00:01:31.000]  這個微塞的延籍,我提議必須要跟潔淨聖殿放在一起來看
[00:01:31.000 --> 00:01:39.000]  事實上,時候、榮耀、這些約詞都是指著耶穌的受死來講的
[00:01:39.000 --> 00:01:43.000]  然後在潔淨聖殿那裏,耶穌也很清楚地說
[00:01:43.000 --> 00:01:48.000]  拆這個殿,三天之後,我們再起另外一個,指著祂復活的這件事
[00:01:48.000 --> 00:01:57.000]  在十二章打後,自不在焉地說耶穌被釘的這件事
[00:01:57.000 --> 00:02:02.000]  所以來到中間的這個雨節,我們很明顯地預測到
[00:02:02.000 --> 00:02:04.000]  祂要說的都是什麼?
[00:02:04.000 --> 00:02:11.000]  耶穌是那位要死的主
[00:02:11.000 --> 00:02:18.000]  所以如果你讀這段經文,好像看馬太、盧迦、馬可
[00:02:18.000 --> 00:02:24.000]  五名兒為百很多人,你就會捉錯用神
[00:02:24.000 --> 00:02:26.000]  因為如果你讀馬太、馬可、盧迦的時候
[00:02:26.000 --> 00:02:31.000]  你很自然地想到耶穌的能力,五名兒為百很多人
[00:02:31.000 --> 00:02:36.000]  而祂作為神的兒子要受死這件事是不明顯的
[00:02:36.000 --> 00:02:38.000]  明白我的意思嗎?
[00:02:38.000 --> 00:02:42.000]  約翰在這裏提出了一個很小的時間的參照
[00:02:42.000 --> 00:02:44.000]  確實是非常重要的
[00:02:44.000 --> 00:02:49.000]  你不要不知道,雨節有三次
[00:02:49.000 --> 00:02:51.000]  三次都和誰有關係?
[00:02:51.000 --> 00:02:52.000]  耶穌的死
[00:02:52.000 --> 00:02:54.000]  所以這次要說的東西,也在說耶穌的什麼?
[00:02:54.000 --> 00:02:56.000]  耶穌的死
[00:02:56.000 --> 00:03:03.000]  牧師你也想像力多豐富,你的解釋也很野蠻
[00:03:03.000 --> 00:03:06.000]  我說,如果你讀第六章仔細一點
[00:03:06.000 --> 00:03:08.000]  神蹟完了之後,耶穌是說論的
[00:03:08.000 --> 00:03:13.000]  祂說我的肉可以吃,我的血可以喝
[00:03:13.000 --> 00:03:15.000]  祂真的在說自己死的這件事
[00:03:15.000 --> 00:03:18.000]  所以不是我很野蠻
[00:03:18.000 --> 00:03:21.000]  而是經文確實是這樣說的
[00:03:21.000 --> 00:03:26.000]  所以記載的重點就在這裏
[00:03:26.000 --> 00:03:28.000]  暗示就是雨節
[00:03:28.000 --> 00:03:33.000]  在第53至57節有幾次提到自己的肉和血
[00:03:33.000 --> 00:03:38.000]  所以耶穌是主動死的主
