
[00:00:00.000 --> 00:00:04.000]  歡迎大家再次參加加拉太書第二課
[00:00:04.000 --> 00:00:07.000]  開始這一課的學習
[00:00:07.000 --> 00:00:09.000]  我們先一起低頭祈禱
[00:00:09.000 --> 00:00:12.000]  卓人不負神再次感謝你
[00:00:12.000 --> 00:00:14.000]  因為你將聖靈給了我們
[00:00:14.000 --> 00:00:17.000]  透過我們吸收聖靈而行
[00:00:17.000 --> 00:00:19.000]  能夠在這個俗世當中
[00:00:19.000 --> 00:00:21.000]  去活出你的信仰
[00:00:21.000 --> 00:00:23.000]  透過查到加拉太書
[00:00:23.000 --> 00:00:25.000]  幫助我們更加懂得
[00:00:25.000 --> 00:00:27.000]  如何去信服聖靈而行
[00:00:27.000 --> 00:00:29.000]  願你去幫助我們每一個
[00:00:29.000 --> 00:00:32.000]  高高仰望奉耶穌基督的聖名
[00:00:32.000 --> 00:00:35.000]  請大家看今天講義第六頁
[00:00:35.000 --> 00:00:38.000]  我們今天會講三至六章
[00:00:38.000 --> 00:00:40.000]  如果大家還記得
[00:00:40.000 --> 00:00:43.000]  上次介紹大家去看加拉太書
[00:00:43.000 --> 00:00:45.000]  正文的作者
[00:00:45.000 --> 00:00:49.000]  是透過歷史或自傳的角度去論證
[00:00:49.000 --> 00:00:52.000]  然後是神學論證和倫理論證
[00:00:52.000 --> 00:00:54.000]  今天我們第三章
[00:00:54.000 --> 00:00:57.000]  就是保羅的神學論證
[00:00:57.000 --> 00:00:59.000]  而這個三至四章
[00:00:59.000 --> 00:01:02.000]  如果我們看回1A的注1
[00:01:02.000 --> 00:01:04.000]  注2 注3
[00:01:04.000 --> 00:01:06.000]  就介紹給大家
[00:01:06.000 --> 00:01:08.000]  有不同的角度入手
[00:01:08.000 --> 00:01:10.000]  譬如注1
[00:01:10.000 --> 00:01:12.000]  就是天主聖經注釋
[00:01:12.000 --> 00:01:14.000]  岑少林博士的結構
[00:01:14.000 --> 00:01:17.000]  他將這個三至四章
[00:01:17.000 --> 00:01:19.000]  分成六個論據
[00:01:19.000 --> 00:01:21.000]  而注2
[00:01:21.000 --> 00:01:25.000]  就是另一位學者的研究
[00:01:25.000 --> 00:01:28.000]  他會將恩訓清二的理據
[00:01:28.000 --> 00:01:31.000]  由三章1至18節歸納
[00:01:31.000 --> 00:01:34.000]  當中透過經歷
[00:01:34.000 --> 00:01:37.000]  經文和常理
[00:01:37.000 --> 00:01:39.000]  然後是律法的價值
[00:01:39.000 --> 00:01:42.000]  和保羅與加拉太人的關係
[00:01:42.000 --> 00:01:46.000]  然後是夏格和撒拉的例子
[00:01:46.000 --> 00:01:50.000]  注1 注2的分段都有它的優點
[00:01:50.000 --> 00:01:53.000]  但想大家留意注3
[00:01:53.000 --> 00:01:57.000]  注3簡單就是將三個部分
[00:01:57.000 --> 00:01:59.000]  清二、恩訟不是因律法
[00:01:59.000 --> 00:02:02.000]  然後要解釋為何有律法
[00:02:02.000 --> 00:02:04.000]  設立律法的原因
[00:02:04.000 --> 00:02:06.000]  然後第三個段落的重點
[00:02:06.000 --> 00:02:10.000]  就是勸勉他們不要再被人奴役
[00:02:10.000 --> 00:02:13.000]  再做律法的奴僕
[00:02:13.000 --> 00:02:16.000]  而注3再多一個角度
[00:02:16.000 --> 00:02:19.000]  其實如果大家還記得
[00:02:19.000 --> 00:02:22.000]  上次提到研究迦太書
