
[00:00:00.000 --> 00:00:01.280]  介紹一下講員
[00:00:01.280 --> 00:00:02.780]  今天我們有三位講員
[00:00:02.780 --> 00:00:04.780]  在第一場和我們分享
[00:00:04.780 --> 00:00:06.520]  他們都是身兼多職的
[00:00:06.520 --> 00:00:09.360]  所以我不能夠一一將他們的身份
[00:00:09.360 --> 00:00:10.400]  詳細地介紹
[00:00:10.400 --> 00:00:13.000]  但是我起碼也和大家講一下
[00:00:13.000 --> 00:00:14.680]  我所知道的
[00:00:14.680 --> 00:00:17.840]  我們的主題講員是張達文博士
[00:00:17.840 --> 00:00:19.200]  他是我們《環球聖經》
[00:00:19.200 --> 00:00:21.320]  日本的總主編
[00:00:21.320 --> 00:00:22.480]  也是我的老師
[00:00:22.480 --> 00:00:24.080]  所以張博士
[00:00:24.080 --> 00:00:26.040]  我就將時間交給你
[00:00:26.040 --> 00:00:29.960]  之後彭家業博士會來和我們做分享
[00:00:29.960 --> 00:00:33.640]  彭博士是香港恩福神學院的副院長
[00:00:33.640 --> 00:00:35.240]  也是我的好朋友
[00:00:35.240 --> 00:00:36.680]  我特別要多謝他
[00:00:36.680 --> 00:00:39.280]  因為他幫我們翻譯了《約白記》
[00:00:39.280 --> 00:00:40.720]  我要告訴彭博士
[00:00:40.720 --> 00:00:42.160]  我收到很多讀者說
[00:00:42.160 --> 00:00:45.120]  以前他讀不明白《約白記》
[00:00:45.120 --> 00:00:46.120]  你翻譯了之後
[00:00:46.120 --> 00:00:47.920]  你用兩年時間翻譯了之後
[00:00:47.920 --> 00:00:49.800]  他們都很清晰了現在
[00:00:49.800 --> 00:00:52.200]  所以要代表讀者多謝你
[00:00:52.200 --> 00:00:54.040]  另外還有唐梓榮博士
[00:00:54.040 --> 00:00:59.560]  加拿大西三一神學研究院的助理教授
[00:00:59.560 --> 00:01:00.880]  也是我的好朋友
[00:01:00.880 --> 00:01:02.640]  他寫了很多的書
[00:01:02.640 --> 00:01:03.880]  來幫助我們
[00:01:03.880 --> 00:01:06.760]  對翻譯《聖經》的歷史很有研究
[00:01:06.760 --> 00:01:09.360]  我們將時間交給張達文博士
[00:01:09.360 --> 00:01:10.680]  請大家幫忙
[00:01:10.680 --> 00:01:13.000]  在張博士分享的時間裡面
[00:01:13.000 --> 00:01:14.680]  請大家不要打開視像頭
[00:01:14.680 --> 00:01:17.080]  也關閉你的聲音
[00:01:17.080 --> 00:01:18.840]  我將時間交給張博士
[00:01:18.840 --> 00:01:19.880]  請大家幫忙
[00:01:19.880 --> 00:01:21.440]  各位電影姐妹平安
[00:01:21.440 --> 00:01:23.760]  我今天真的很高興
[00:01:23.760 --> 00:01:25.000]  很感謝主
[00:01:25.000 --> 00:01:28.920]  能夠和大家分享這個翻譯《玉石經》這個題目
[00:01:28.920 --> 00:01:31.400]  很開心見到全世界各地
[00:01:31.400 --> 00:01:35.480]  很多電影姐妹很勇敢報名參加這個翻譯大會
[00:01:35.480 --> 00:01:40.080]  這是對我們翻譯士工一個很大的肯定和支持
[00:01:40.080 --> 00:01:43.360]  也成為我們翻譯團隊的動力
[00:01:43.360 --> 00:01:46.560]  我心裡面還有很多感恩的話要說
[00:01:46.560 --> 00:01:50.520]  但我也知道控制時間一直都是我的弱項、弱點
[00:01:50.520 --> 00:01:53.920]  所以我還是盡快進入正題
[00:01:53.920 --> 00:01:57.360]  以免說了一個小時就影響了其他部分的進程
[00:01:57.360 --> 00:02:15.560]  首先我想和大家講講這個《易經》和《玉石經》的任務
[00:02:15.560 --> 00:02:18.880]  我們為什麼要翻譯《玉石經》呢?
[00:02:19.760 --> 00:02:21.960]  其實理由也很簡單
[00:02:21.960 --> 00:02:25.240]  因為《易經》是神的話語
[00:02:25.240 --> 00:02:28.800]  是神對我們生活和信仰的指引
[00:02:28.800 --> 00:02:31.720]  所以我們要明白神自己對我們的心意的時候
[00:02:31.720 --> 00:02:33.920]  我們一定要明白祂的話語
[00:02:33.920 --> 00:02:38.200]  但《易經》是用希伯來文、阿蘭文和希臘文
[00:02:38.200 --> 00:02:39.760]  是很多年前寫成的
