
[00:00:00.000 --> 00:00:16.600]  多謝華僧公會邀請我講這個題目
[00:00:16.600 --> 00:00:22.400]  這個題目比較陌生
[00:00:22.400 --> 00:00:34.600]  我們一般理解新約聖經和舊約聖經的分水嶺是什麼?
[00:00:34.600 --> 00:00:38.080]  就是耶穌基督的來臨,這是很關鍵的
[00:00:38.080 --> 00:00:42.680]  但是當我們研究新約的時候
[00:00:42.680 --> 00:00:51.720]  我們越來越留意到其實和猶太人的歷史和文化息息相關
[00:00:51.720 --> 00:00:56.240]  這也是近幾十年我們認識新約
[00:00:56.240 --> 00:01:00.800]  例如保羅新冠這些題目
[00:01:00.800 --> 00:01:08.680]  都是特別我們放多些注意力去猶太人的傳統和文化
[00:01:08.680 --> 00:01:11.680]  而對於新約來說
[00:01:11.680 --> 00:01:15.440]  其實除了耶穌基督的來臨之外
[00:01:15.440 --> 00:01:20.120]  還有一件歷史事件我認為是很關鍵性的
[00:01:20.120 --> 00:01:27.760]  那件事是第二聖殿的摧毀
[00:01:27.760 --> 00:01:33.360]  也就是說主后大概三十年左右
[00:01:33.360 --> 00:01:36.520]  主耶穌的釘死和復活
[00:01:36.520 --> 00:01:42.240]  然後使徒一一跟隨主見證祂
[00:01:42.240 --> 00:01:47.040]  其實在那幾十年之後
[00:01:47.040 --> 00:01:48.880]  發生了一件很大的事
[00:01:48.880 --> 00:01:51.640]  這件事就是聖殿被毀
[00:01:51.640 --> 00:01:54.440]  而這個聖殿被毀
[00:01:54.440 --> 00:01:59.240]  催化了基督教和猶太教的分家
[00:01:59.240 --> 00:02:04.440]  也使當時信耶穌的人
[00:02:04.440 --> 00:02:07.040]  要去想聖殿沒有了
[00:02:07.040 --> 00:02:11.040]  那麼是不是上帝還主掌權呢?
[00:02:11.040 --> 00:02:12.200]  聖殿沒有了
[00:02:12.200 --> 00:02:14.200]  那麼我們和猶太人有什麼關係呢?
[00:02:14.200 --> 00:02:15.680]  聖殿沒有了
[00:02:15.680 --> 00:02:18.480]  我們還可以怎樣聚集呢?
[00:02:18.480 --> 00:02:24.240]  今天所說的以斯拉續篇下卷
[00:02:24.240 --> 00:02:29.440]  它寫的時代正正就是那個時代
[00:02:29.440 --> 00:02:35.920]  所以其實它跟新約其他書卷的書寫時代
[00:02:35.920 --> 00:02:38.840]  是十分之接近
[00:02:38.840 --> 00:02:43.760]  如果我們說新約書卷是主后的五十多年
[00:02:43.760 --> 00:02:47.480]  至主后九十多年
[00:02:47.480 --> 00:02:51.240]  由第一卷的可能是馬可福音
[00:02:51.240 --> 00:02:54.840]  可能是接受了內加前書
[00:02:54.840 --> 00:02:56.120]  有人說是亞各書
[00:02:56.120 --> 00:02:57.200]  不同的說法
[00:02:57.200 --> 00:03:00.640]  去到最後的可能是啟示錄
[00:03:00.640 --> 00:03:03.880]  差不多去到主后的九十多年
[00:03:03.880 --> 00:03:07.280]  其實就跟今天所看的這一篇
[00:03:07.280 --> 00:03:10.760]  叫做以斯拉續篇下卷
[00:03:10.760 --> 00:03:12.880]  時間差不多是一樣
[00:03:12.880 --> 00:03:16.920]  所以我們看看猶太人的著作
[00:03:16.920 --> 00:03:29.720]  我們可以跟新約的神學作出一個比較
[00:03:29.720 --> 00:03:32.760]  這裡我提供了四個角度
[00:03:32.760 --> 00:03:35.280]  我們明白一下那時候
[00:03:35.280 --> 00:03:38.080]  新約的時代氛圍
[00:03:38.080 --> 00:03:40.440]  耶路撒冷剛剛被毀
[00:03:40.440 --> 00:03:42.840]  猶太人有什麼迷思呢?
[00:03:42.840 --> 00:03:45.440]  大家記得新約的作者
[00:03:45.440 --> 00:03:48.440]  差不多全部都是猶太人
[00:03:48.440 --> 00:03:51.120]  所以他們很痛
[00:03:51.120 --> 00:03:53.720]  他們的野城剛剛被毀
