
[00:00:00.000 --> 00:00:15.360]  新冠疫情帶來了全球一個新的格局
[00:00:15.360 --> 00:00:18.960]  我們各地漸漸適應了
[00:00:18.960 --> 00:00:22.800]  這在一個新的常態裡面的生活
[00:00:22.800 --> 00:00:29.440]  逐漸的在社會裡面進入一個稍微正常的一個生活
[00:00:29.440 --> 00:00:33.040]  教會也是逐漸的開服
[00:00:33.040 --> 00:00:38.800]  我們如何在一個疫情後來適應
[00:00:38.800 --> 00:00:45.760]  來重組 來重整我們無論是個人的 家庭的 教會的
[00:00:45.760 --> 00:00:49.920]  一個新常態之下的一個生活呢
[00:00:49.920 --> 00:00:55.040]  今天我們是從《上行之師》舊書院裡面的詩篇
[00:00:55.040 --> 00:01:02.480]  《上行之師》 我們來思考如何的來重整我們的生命
[00:01:02.480 --> 00:01:05.520]  一個生命的一個重整
[00:01:05.520 --> 00:01:09.120]  今天我們說《上行之師》
[00:01:09.120 --> 00:01:16.000]  是在詩篇的120篇到134篇 15篇的詩篇
[00:01:16.000 --> 00:01:18.720]  我們稱為《上行之師》
[00:01:18.720 --> 00:01:23.840]  就是古時在舊約聖經的歷史裡面
[00:01:23.840 --> 00:01:27.040]  以聖列明他們每年有三次
[00:01:27.040 --> 00:01:30.960]  都要上耶路撒冷來朝聖的
[00:01:30.960 --> 00:01:36.560]  在那邊來守節的 在一月節 在五旬節 在祝鵬節
[00:01:36.560 --> 00:01:40.800]  在那邊他們來自巴勒斯坦各地的
[00:01:40.800 --> 00:01:45.840]  一邊走一邊的三五成群的在那邊來唱詩
[00:01:45.840 --> 00:01:48.720]  那來到耶路撒冷的時候呢
[00:01:48.720 --> 00:01:51.440]  他們來到聖殿
[00:01:51.440 --> 00:01:57.200]  聖殿是有一些梯階的 有15梯的梯階的
[00:01:57.200 --> 00:02:04.480]  他們登基登基而上 沿著那個梯階而上的
[00:02:04.480 --> 00:02:08.800]  當時的祭師在每登一階的時候
[00:02:08.800 --> 00:02:13.120]  他們就唱一首詩 就是那個《上行之師》
[00:02:13.120 --> 00:02:18.560]  所以《上行之師》又稱為登基之詩
[00:02:18.560 --> 00:02:21.680]  在15篇的詩篇裡面
[00:02:21.680 --> 00:02:24.800]  都有不同的排列的結構的
[00:02:24.800 --> 00:02:28.960]  不同的一些的聖經學者或牧者
[00:02:28.960 --> 00:02:35.520]  他們對15篇的詩篇有不同的排列的領受
[00:02:35.520 --> 00:02:40.000]  這個稱為朝聖之詩或是登基之詩
[00:02:40.000 --> 00:02:42.880]  又稱為復興之詩的
[00:02:42.880 --> 00:02:47.040]  那當時三安柱牧師他怎麼排列呢?
[00:02:47.040 --> 00:02:49.760]  他是把它分為五主的
[00:02:49.760 --> 00:02:53.680]  就是五首詩篇一主 三大類的
[00:02:53.680 --> 00:02:57.680]  第一類是講到以色列的痛苦
[00:02:57.680 --> 00:03:03.040]  讀書裡面深述到以色列民在困苦裡面
[00:03:03.040 --> 00:03:04.960]  向耶和華神的呼求
[00:03:04.960 --> 00:03:10.880]  然後是講到耶和華神吹聽了他們的哀求
[00:03:10.880 --> 00:03:13.680]  然後伸出他的幫助
[00:03:13.680 --> 00:03:17.520]  再過來是講到耶路撒冷的平安
[00:03:17.520 --> 00:03:20.320]  所以這15篇詩篇
[00:03:20.320 --> 00:03:23.920]  三安柱牧師是這樣子的來劃分的
[00:03:23.920 --> 00:03:27.520]  蘇左揚老牧師他已經去世了
[00:03:27.520 --> 00:03:30.560]  然後他在詩篇手冊裡面
[00:03:30.560 --> 00:03:38.160]  是特別他關注到耶和華所愛的這個字
[00:03:38.160 --> 00:03:41.920]  他認為這個是一個中心的一個字
[00:03:41.920 --> 00:03:44.480]  在詩篇127篇裡面
[00:03:44.480 --> 00:03:53.200]  這個字是跟所羅門的名稱也是相同的
[00:03:53.200 --> 00:03:57.520]  在《撒姆爾記》下的12篇25節裡面
[00:03:57.520 --> 00:04:02.480]  是提到所羅門的別名是耶底里亞的
[00:04:02.480 --> 00:04:06.880]  然後就認為這個15篇的上行集詩
[00:04:06.880 --> 00:04:09.600]  既然是登基上聖殿的
[00:04:09.600 --> 00:04:13.120]  然後就跟耶和華的聖殿有關係的
[00:04:13.120 --> 00:04:17.040]  然後就一節一節一節到了
[00:04:17.040 --> 00:04:20.640]  這三首詩篇為一組的
[00:04:20.640 --> 00:04:25.520]  最上層的那個是詩篇126到128
[00:04:25.520 --> 00:04:29.760]  然後中間就是127是耶和華所愛的
[00:04:29.760 --> 00:04:32.800]  那就是他的一個看見一個領袖
[00:04:32.800 --> 00:04:40.080]  他認為這個登基上行集詩
[00:04:40.080 --> 00:04:44.640]  是步步上升的一種熟齡的一種的
[00:04:44.640 --> 00:04:49.040]  成聖之路的一種的提升
[00:04:49.040 --> 00:04:52.880]  所以他分為首先是分別為聖
[00:04:52.880 --> 00:04:54.320]  前面的五篇
[00:04:54.320 --> 00:04:56.800]  再過來是成聖之路
