
[00:00:00.000 --> 00:00:03.000]  今天我們第二場
[00:00:03.000 --> 00:00:04.200]  真是感恩
[00:00:04.200 --> 00:00:07.000]  我們第2026年萬惡四封會
[00:00:07.000 --> 00:00:08.500]  幫我們預備了甚麼
[00:00:08.500 --> 00:00:13.000]  就是一個我們經常說一年的堅持
[00:00:13.000 --> 00:00:15.000]  我們就應該同神親近
[00:00:15.000 --> 00:00:17.000]  到我們今次第二堂
[00:00:17.000 --> 00:00:20.500]  究竟我們怎樣可以同神更加親近呢
[00:00:20.500 --> 00:00:23.500]  我們一會兒就會有男子漢博士
[00:00:23.500 --> 00:00:27.000]  和我們會分享一個心靈連結之旅
[00:00:27.000 --> 00:00:30.000]  在大自然裏面永恆的盼望
[00:00:30.000 --> 00:00:33.000]  我們先有個低頭的祈禱
[00:00:33.000 --> 00:00:38.000]  大家感謝你
[00:00:38.000 --> 00:00:41.000]  如果我們在無論寧靜也好
[00:00:41.000 --> 00:00:43.000]  其他環節的時間也好
[00:00:43.000 --> 00:00:47.000]  我們都能夠有機會去同神親近
[00:00:47.000 --> 00:00:49.000]  是視乎我們怎樣去親近
[00:00:49.000 --> 00:00:53.000]  我們究竟是同神親近
[00:00:53.000 --> 00:00:57.000]  還是我們真正靜下來
[00:00:57.000 --> 00:01:00.000]  心裏面去聽從神的話語
[00:01:00.000 --> 00:01:03.000]  我們很多時有些人說
[00:01:03.000 --> 00:01:05.000]  為何他這麼同神親近
[00:01:05.000 --> 00:01:08.000]  為何他會明白神的旨意
[00:01:08.000 --> 00:01:10.000]  為何他會聽到神的聲音
[00:01:10.000 --> 00:01:13.000]  為何我甚麼都不明白
[00:01:13.000 --> 00:01:15.000]  有些人說我不明白
[00:01:15.000 --> 00:01:17.000]  究竟我現在在做甚麼
[00:01:17.000 --> 00:01:20.000]  究竟神是否在跟我說話
[00:01:20.000 --> 00:01:23.000]  祈求祢給我們月亮就好
[00:01:23.000 --> 00:01:24.000]  可以安靜下來
[00:01:24.000 --> 00:01:27.000]  安靜下來跟神有一個對話
[00:01:27.000 --> 00:01:30.000]  安靜下來去聽從神的話給他聽
