
[00:00:00.000 --> 00:00:20.000]  各位聽眾我們即將開始今早的講座
[00:00:20.000 --> 00:00:33.000]  有一件事情先講一講,因為我們發現謝博士的powerpoint字可能不是很大
[00:00:33.000 --> 00:00:39.000]  你看到這個字,如果有些看不清楚的話,我鼓勵你坐前面一點
[00:00:39.000 --> 00:00:45.000]  因為前面有很多位置,你不需要擔心看不到
[00:00:45.000 --> 00:00:51.000]  但我不敢確定第一頁的字這麼大,後面的字是不是也這麼大
[00:00:51.000 --> 00:00:55.000]  因為我看powerpoint的時候,我也感覺到有點小
[00:00:55.000 --> 00:01:01.000]  不過我忘記請同工放大字,可能已經放大了一點
[00:01:01.000 --> 00:01:08.000]  不過大家手上是有筆記的,所以如果你想看得清晰一點
[00:01:08.000 --> 00:01:11.000]  你就儘量坐前面,因為前面也有很多位置
[00:01:11.000 --> 00:01:15.000]  我們今天報名的人數大概是亞灣200人左右
[00:01:15.000 --> 00:01:19.000]  如果來齊了,只要坐到中前面也可以夠坐的
[00:01:19.000 --> 00:01:20.000]  所以麻煩大家
[00:01:20.000 --> 00:01:24.000]  我們今早的講座都是分上下半場
[00:01:24.000 --> 00:01:26.000]  參加我們講座的都知道
[00:01:26.000 --> 00:01:30.000]  上半場每一個半場大概50分鐘左右
[00:01:30.000 --> 00:01:33.000]  中間有一個break大概有20分鐘的時間
[00:01:33.000 --> 00:01:39.000]  我們講座10點到12點,中間break裡面我們每一個收奉獻
[00:01:39.000 --> 00:01:45.000]  另外有一些簡單的書籍和機構的介紹和報告
[00:01:45.000 --> 00:01:49.000]  然後我們期待大概有十多分鐘的時間
[00:01:49.000 --> 00:01:52.000]  你可以用這個時間跟港元有些交流
[00:01:52.000 --> 00:01:54.000]  或者去看看外面的書攤
[00:01:54.000 --> 00:01:58.000]  另外今天我們在下半場的時候
[00:01:58.000 --> 00:02:01.000]  我都跟港元協商
[00:02:01.000 --> 00:02:05.000]  他會有一段Q&A的問題
[00:02:05.000 --> 00:02:10.000]  或者有些問題想去討論和港元交流
[00:02:10.000 --> 00:02:14.000]  港元大家會保留10分鐘左右的時間
[00:02:14.000 --> 00:02:19.000]  10到15分鐘的時間和大家去對談交流
[00:02:19.000 --> 00:02:24.000]  好,簡單的開始的分享就到這裡
[00:02:24.000 --> 00:02:28.000]  我們一起為今早的聚會禱告
[00:02:28.000 --> 00:02:30.000]  求主帶領我們
[00:02:30.000 --> 00:02:35.000]  願天父上帝我們感謝祂的美麗,讓我們今早有這麼好的時間
[00:02:35.000 --> 00:02:40.000]  這麼好的環境來聆聽你的分享講座
[00:02:40.000 --> 00:02:45.000]  願天父你帶領,讓這個題目讓我們更認識你
[00:02:45.000 --> 00:02:48.000]  更認識你的話語,會望是你的身體
[00:02:48.000 --> 00:02:52.000]  我們見不到你,但我們見到會望
[00:02:52.000 --> 00:02:55.000]  見到教會,見到你的子民
[00:02:55.000 --> 00:02:58.000]  我們就更深的去認識你
[00:02:58.000 --> 00:03:01.000]  願天父你今天透過謝霆鋒博士
[00:03:01.000 --> 00:03:04.000]  將你的話語講解明白
[00:03:04.000 --> 00:03:08.000]  讓我們更認識你和有更緊密的關係
[00:03:08.000 --> 00:03:10.000]  我們恭敬教堂
[00:03:10.000 --> 00:03:12.000]  仰望奉耶穌基督的聖名
[00:03:12.000 --> 00:03:13.000]  阿門
[00:03:13.000 --> 00:03:16.000]  好,我將時間交給謝霆鋒博士
[00:03:29.000 --> 00:03:33.000]  各位弟兄姊妹早安
[00:03:33.000 --> 00:03:36.000]  我是昨天從美國飛回來
[00:03:36.000 --> 00:03:38.000]  今天是第二天
[00:03:38.000 --> 00:03:42.000]  但早上我的時差不是這麼嚴重
[00:03:42.000 --> 00:03:48.000]  所以很開心今天可以在這裡和大家分享這個訊息
[00:03:48.000 --> 00:03:51.000]  在我來之前,兩個星期之前
[00:03:51.000 --> 00:03:54.000]  香港發生了一件大事
[00:03:54.000 --> 00:03:59.000]  就是在大埔黃福縣的大火
[00:03:59.000 --> 00:04:01.000]  當我聽到這個消息的時候
[00:04:01.000 --> 00:04:03.000]  其實心裡也很震驚
[00:04:03.000 --> 00:04:07.000]  因為過去幾十年都沒聽過香港有這麼大的火災
[00:04:07.000 --> 00:04:09.000]  心裡也很難過
[00:04:09.000 --> 00:04:16.000]  為失去家園和失去生命的香港百姓
[00:04:16.000 --> 00:04:20.000]  所以出來之前也有朋友和我說
[00:04:20.000 --> 00:04:22.000]  當我見到香港人的時候
[00:04:22.000 --> 00:04:25.000]  給他們一個擁抱
[00:04:25.000 --> 00:04:29.000]  我沒辦法一個一個地去擁抱你們
[00:04:29.000 --> 00:04:35.000]  我現在就象徵式地給大家一個擁抱
[00:04:35.000 --> 00:04:39.000]  因為知道當這樣的災害發生的時候
[00:04:39.000 --> 00:04:41.000]  相信大家都會有很多的問題
[00:04:41.000 --> 00:04:44.000]  無論是對生命的問題
[00:04:44.000 --> 00:04:45.000]  對人的問題
[00:04:45.000 --> 00:04:47.000]  對信仰的問題
[00:04:47.000 --> 00:04:50.000]  我們心裡一定會有一些衝擊
[00:04:50.000 --> 00:04:53.000]  兩年之前,大概這個時候
[00:04:53.000 --> 00:04:55.000]  其實我分享了一個訊息
[00:04:55.000 --> 00:04:57.000]  就是「神啊,你在哪裡?」
