
[00:00:00.000 --> 00:00:04.600]  它不是離開了古近東文化處境的寫
[00:00:04.600 --> 00:00:06.360]  所以你可以說任何聖經
[00:00:06.360 --> 00:00:10.120]  在舊約裡面都與古近東或多或少有關係
[00:00:10.120 --> 00:00:11.920]  為什麼說這個主題是闊呢
[00:00:11.920 --> 00:00:14.400]  就視乎我們怎麼講
[00:00:14.400 --> 00:00:18.280]  你說用古近東與舊約聖經的關係
[00:00:18.280 --> 00:00:19.280]  你可以很闊
[00:00:19.280 --> 00:00:22.480]  闊到整個文化背景來看
[00:00:22.480 --> 00:00:26.520]  所以我大概先跟大家講了一些道言
[00:00:26.520 --> 00:00:30.040]  通常講古近東有兩個主要的向度
[00:00:30.040 --> 00:00:33.600]  第一個是歷史文化
[00:00:33.600 --> 00:00:35.280]  歷史文化是最闊的
[00:00:35.280 --> 00:00:37.280]  你可以說什麼都關係
[00:00:37.280 --> 00:00:40.360]  如果我們看舊約可能大家都熟悉
[00:00:40.360 --> 00:00:43.040]  比如說國禮
[00:00:43.040 --> 00:00:46.520]  不要以為國禮只有希伯來人才有
[00:00:46.520 --> 00:00:48.680]  國禮在古近東已經有了
[00:00:48.680 --> 00:00:51.000]  這些屬於更加闊的文化背景
[00:00:51.000 --> 00:00:53.000]  十一奉獻
[00:00:53.000 --> 00:00:55.120]  我們看聖經就知道是十一奉獻
[00:00:55.120 --> 00:00:58.440]  但原來十一奉獻這個概念
[00:00:58.440 --> 00:01:01.840]  這個實踐在古近東某些民族都有
[00:01:01.840 --> 00:01:05.120]  所以這些很多的概念
[00:01:05.120 --> 00:01:06.400]  其實與古近東都有關係
[00:01:06.400 --> 00:01:07.720]  我拿到最闊
[00:01:07.720 --> 00:01:11.200]  當然少不了一些神的名字
[00:01:11.200 --> 00:01:12.880]  可能我們比較熟悉
[00:01:12.880 --> 00:01:16.000]  或者最近港九會聯會也有講
[00:01:16.000 --> 00:01:17.760]  主題是巴力
[00:01:17.760 --> 00:01:19.600]  這是迦南的神
[00:01:19.600 --> 00:01:21.360]  所以這些是很闊的
[00:01:21.360 --> 00:01:25.120]  所以聖經有很多的記載都與古近東有關
[00:01:25.120 --> 00:01:27.520]  不過我這裡不深入講
[00:01:27.520 --> 00:01:29.520]  如果每個都講的話是講不了的
[00:01:29.520 --> 00:01:31.800]  十一奉獻都可以講
[00:01:31.800 --> 00:01:33.600]  但我想跟大家講一講
[00:01:33.600 --> 00:01:36.920]  聖經的寫成固然離不開古近東
[00:01:36.920 --> 00:01:40.080]  但從古近東的背景
[00:01:40.080 --> 00:01:42.800]  看回舊約聖經有什麼意見呢
[00:01:42.800 --> 00:01:44.480]  我覺得有一個很重要的
[00:01:44.480 --> 00:01:45.760]  舉個例子我們都熟悉
