
[00:00:00.000 --> 00:00:27.940]  在這裡代表環球電影工會歡迎大家出席我們今天晚上的專題講座
[00:00:27.940 --> 00:00:32.480]  我們今晚的題目是「對應存在疑問的信仰」
[00:00:32.480 --> 00:00:35.880]  我們的講員是郭鴻彪博士
[00:00:35.880 --> 00:00:42.700]  今次講座的內容主要是探討人活在這個大時代
[00:00:42.700 --> 00:00:47.020]  面對人沒有能力來改變現實的時候
[00:00:47.020 --> 00:00:50.820]  產生對未來的一些疑惑
[00:00:50.820 --> 00:00:53.060]  之後我們可以怎樣呢
[00:00:53.060 --> 00:00:55.900]  稍後的講員會以三個問題
[00:00:55.900 --> 00:00:58.700]  來帶領大家回應這個課題
[00:00:58.700 --> 00:01:03.300]  包括求知是否可以知道歷史的發展
[00:01:03.300 --> 00:01:09.300]  怎樣可以分辨專家對世界趨勢的分析
[00:01:09.300 --> 00:01:13.340]  上帝是否掌管人類的歷史
[00:01:13.340 --> 00:01:16.180]  以下先為大家介紹一本書
[00:01:16.180 --> 00:01:22.380]  正正是要回應上帝是否掌管人類歷史這個這麼重要的課題
[00:01:22.380 --> 00:01:30.140]  就是包威爾君牧師所寫的《從啟示錄看顛覆現實的基督信仰》
[00:01:30.140 --> 00:01:34.860]  作者在書裏面提到啟示錄的終身訊息
[00:01:34.860 --> 00:01:37.300]  不是七印七號冊本
[00:01:37.300 --> 00:01:42.700]  反而是穿插在七印七號冊本中間的五段
[00:01:42.700 --> 00:01:45.140]  被視為是插曲的經文
[00:01:45.140 --> 00:01:48.420]  當我們見到世界局勢失控
[00:01:48.420 --> 00:01:52.580]  又或者落在極度的苦難和困難的時候
[00:01:52.580 --> 00:01:58.020]  第一個插曲在第四領章將我們的目光轉到天上面
[00:01:58.020 --> 00:02:00.420]  見到我們真正的現實
[00:02:00.420 --> 00:02:05.420]  就是神仍然坐在寶座上面掌管一切
[00:02:05.420 --> 00:02:09.900]  而第五個插曲十七到十九章《巴比雷的驚呼》
[00:02:09.900 --> 00:02:14.180]  和二十一到二十一章《新天新地的降臨》
[00:02:14.180 --> 00:02:23.820]  再一次的告訴我們歷史將會按照神預先所定的計劃和旨意來終結
[00:02:23.820 --> 00:02:27.420]  另外書裏面又提到聖戰的課題
[00:02:27.420 --> 00:02:29.780]  當我們身處這個世界
[00:02:29.780 --> 00:02:32.780]  到處都在發生戰亂的時候
[00:02:32.780 --> 00:02:37.740]  讓我們再次來思想何謂聖戰
[00:02:37.740 --> 00:02:43.380]  當我們今天應該怎樣生活來回應神
[00:02:43.380 --> 00:02:47.700]  站在神得勝的那一邊至死忠心
[00:02:47.700 --> 00:02:51.900]  所以我極力推薦大家來去閱讀這本書
[00:02:51.900 --> 00:02:58.180]  並且歡迎大家甚至乎各位參加我們現在正在進行的
[00:02:58.180 --> 00:02:59.660]  香港天道讀書會
[00:02:59.660 --> 00:03:02.020]  我們就是剛剛開始讀這本書
[00:03:02.020 --> 00:03:03.980]  歡迎你參加
[00:03:03.980 --> 00:03:08.740]  一同跟大家來去分享書裏面這麼寶貴的訊息
[00:03:08.740 --> 00:03:12.900]  簡單講兩句關於我們今天講座的程序
[00:03:12.900 --> 00:03:16.940]  如果你習慣參加環節的講座都會知道
[00:03:16.940 --> 00:03:18.740]  我們會分成兩個環節
[00:03:18.740 --> 00:03:22.380]  第一個環節我們會大概到八點二十五分
[00:03:22.380 --> 00:03:26.620]  或者八點二十到三十分之間這段時間會結束
[00:03:26.620 --> 00:03:29.660]  就著講完所完成的一個大段落
[00:03:29.660 --> 00:03:32.100]  會有一個小休的時間
[00:03:32.100 --> 00:03:35.740]  但小休之前我們會收一次自由奉獻
[00:03:35.740 --> 00:03:42.900]  就著我們這個講座的事工的需要和其他方面事工的需要收一次自由奉獻
[00:03:42.900 --> 00:03:49.020]  或者稍後收奉獻的時候會和大家介紹一兩本聖經
[00:03:49.020 --> 00:03:53.380]  小休回來我們就會開始第二節
[00:03:53.380 --> 00:03:59.220]  第二節大概到九點半鐘我們就會完結今天的講座
[00:03:59.220 --> 00:04:05.060]  我們開始一起學習之前我們一起低頭祈禱
[00:04:05.060 --> 00:04:07.500]  親愛的天主我們本心感謝祢
[00:04:07.500 --> 00:04:12.660]  感謝祢今天晚上祢帶領弟兄姊妹
[00:04:12.660 --> 00:04:17.860]  帶著一個學會祢自己認識祢更深的熱心
[00:04:17.860 --> 00:04:20.420]  來到祢面前來一同學習
[00:04:20.420 --> 00:04:24.340]  雖然外面天氣有很大的轉變
[00:04:24.340 --> 00:04:26.340]  都會給我們一些的添展
[00:04:26.340 --> 00:04:30.620]  或者弟兄姊妹高作一天的圓筆
[00:04:30.620 --> 00:04:32.620]  可能有疲累的時間
