
[00:00:00.000 --> 00:00:19.000]  我們很感謝神使用了《環聖經道安排1》系列的聖經講座
[00:00:19.000 --> 00:00:22.000]  尤其是最近這兩個系列
[00:00:22.000 --> 00:00:26.000]  是與我們生活與彼此之間很有關連的
[00:00:26.000 --> 00:00:32.000]  上一個系列是講到在疫情裏面應該怎樣處理面對
[00:00:32.000 --> 00:00:35.000]  在這個系列就講到疫情之後
[00:00:35.000 --> 00:00:40.000]  我們怎樣去調整這個所謂新的常態
[00:00:40.000 --> 00:00:43.000]  在我們未入到經文之前
[00:00:43.000 --> 00:00:47.000]  我們先看一看這個題目裏面的一些元素
[00:00:47.000 --> 00:00:50.000]  首先就看看疫情
[00:00:50.000 --> 00:00:54.000]  應該將疫情是擴闊來看
[00:00:54.000 --> 00:00:57.000]  擴入其他好像天災人禍
[00:00:57.000 --> 00:01:02.000]  在聖經裏面就泛清這些叫做災難
[00:01:02.000 --> 00:01:05.000]  因為通常來說
[00:01:05.000 --> 00:01:08.000]  看事物,世界上看一件事物
[00:01:08.000 --> 00:01:11.000]  和聖經裏面看一件事物
[00:01:11.000 --> 00:01:13.000]  通常是不同的
[00:01:13.000 --> 00:01:15.000]  但是很罕有的
[00:01:15.000 --> 00:01:19.000]  在這件事上,世界外面的未來學
[00:01:19.000 --> 00:01:25.000]  和聖經裏面,我們上一次是詳細看過馬福音13章
[00:01:25.000 --> 00:01:28.000]  兩個的看法是一致的
[00:01:28.000 --> 00:01:33.000]  是說這些的災難不單止就是這樣一個疫情
[00:01:33.000 --> 00:01:37.000]  而是陸續有來,好像產難一樣
[00:01:37.000 --> 00:01:40.000]  而且越來越加頻密
[00:01:40.000 --> 00:01:45.000]  又如果當這些災難一個一個接著來
[00:01:45.000 --> 00:01:50.000]  我們逐件要重新的思考怎樣應對
[00:01:50.000 --> 00:01:53.000]  難免就會手忙腳亂
[00:01:53.000 --> 00:01:56.000]  所以我們就檢視一下
[00:01:56.000 --> 00:01:59.000]  神給我們以往的經歷
[00:01:59.000 --> 00:02:02.000]  無論在世界上或者在屬靈裏面的經歷
[00:02:02.000 --> 00:02:08.000]  以往這些經歷可以怎樣重用、借用或者改用
[00:02:08.000 --> 00:02:11.000]  以致我們面對這些災難的時候
[00:02:11.000 --> 00:02:15.000]  我們可以知道神的意思是怎樣
[00:02:15.000 --> 00:02:19.000]  當我們檢視這個災難的重用的時候
[00:02:19.000 --> 00:02:25.000]  發覺可以將災難分成大、小、中、小三類來處理
[00:02:25.000 --> 00:02:27.000]  分開去處理的時候
[00:02:27.000 --> 00:02:32.000]  我們才知道尤其是面對這些大災難
