
[00:00:00.000 --> 00:00:03.580]  今天是復活節,今天要說什麼呢?
[00:00:03.580 --> 00:00:06.860]  題目叫「當耶穌缺席時」
[00:00:06.860 --> 00:00:10.900]  很奇怪,今天耶穌應該是復活節,為什麼會缺席呢?
[00:00:10.900 --> 00:00:13.400]  為什麼要用這個題目呢?
[00:00:13.400 --> 00:00:18.140]  因為今天想探討一個題目叫「等待」
[00:00:18.140 --> 00:00:24.000]  等待並不容易,我相信坐在這裡的人這一刻
[00:00:24.000 --> 00:00:27.260]  特別是一些聽不慣講道的人就會想,什麼時候講完呢?
[00:00:27.260 --> 00:00:30.300]  你已經在等待了,你已經在等待的過程中
[00:00:30.300 --> 00:00:32.300]  不知道要等多久才講完
[00:00:32.300 --> 00:00:37.060]  在一個很快捷的社會,今天我們的社會很急速
[00:00:37.060 --> 00:00:39.340]  如果你有叫…
[00:00:39.340 --> 00:00:42.700]  應該有很多人叫過foodpanda或者deliverwoo
[00:00:42.700 --> 00:00:46.660]  你看到他遲幾分鐘,你會有什麼反應呢?
[00:00:46.660 --> 00:00:49.660]  打電話問他到了沒有,如果有電話問他到了沒有
[00:00:49.660 --> 00:00:53.460]  如果遲很多當然是立刻去投訴、退款
[00:00:53.460 --> 00:00:55.860]  或者我們現在開你的手機
[00:00:55.860 --> 00:01:00.060]  你開你的手機,你去開IG story
[00:01:00.060 --> 00:01:02.560]  即是REAL,SHORTS,TIKTOK
[00:01:02.560 --> 00:01:06.060]  通常長度不會比一兩分鐘長
[00:01:06.060 --> 00:01:09.160]  即是長極也不會,五分鐘已經很長了
[00:01:09.160 --> 00:01:13.060]  所以你聽一篇SERMON,其實要聽差不多三十分鐘就很長了
[00:01:13.060 --> 00:01:15.260]  即是我們不喜歡等
[00:01:15.260 --> 00:01:19.260]  叫大家等,叫大家坐在這裡是很難的
[00:01:19.260 --> 00:01:22.660]  我想當然不是要說大家只是這樣
[00:01:22.660 --> 00:01:25.460]  因為就算大人我們都是這樣
[00:01:25.460 --> 00:01:30.060]  我們都不想等,我們不習慣等待這回事
[00:01:30.060 --> 00:01:33.460]  我們說耶穌釘十字架,耶穌復活
[00:01:33.460 --> 00:01:37.460]  我想就算在剛剛的禮拜五
[00:01:37.460 --> 00:01:40.660]  在受難節我們說耶穌受難、耶穌死
[00:01:40.660 --> 00:01:44.060]  我們總是要加多一句,祂幾天後復活了
[00:01:44.060 --> 00:01:46.460]  即是害怕死好像如果我只說祂死了
[00:01:46.460 --> 00:01:50.060]  就不舒服的感覺,所以祂一定會復活的
[00:01:50.060 --> 00:01:53.260]  但是當我們很心急
[00:01:53.260 --> 00:01:55.860]  我很想說耶穌復活了的時候
[00:01:55.860 --> 00:02:03.860]  其實我們沒有空間去理解到底耶穌的死所帶來的事情是什麼
[00:02:03.860 --> 00:02:09.660]  或者更重要的是我們失去了空間去想一個死亡
[00:02:09.660 --> 00:02:13.060]  為什麼我們要說耶穌戰勝死亡是這麼重要
