
[00:00:00.000 --> 00:00:07.000]  今天我們的題目是全被挨真理的信
[00:00:07.000 --> 00:00:10.000]  那經文剛剛讀過是來自於
[00:00:10.000 --> 00:00:15.000]  天上的那張後書第二章第一到第十二節的
[00:00:15.000 --> 00:00:19.000]  那天上的那張後書呢是前書的後續
[00:00:19.000 --> 00:00:23.000]  那裡面呢其實就只有三章的經文
[00:00:23.000 --> 00:00:25.000]  那我們今天是來到第二章嘛
[00:00:25.000 --> 00:00:27.000]  那一般呢一封信裡邊呢
[00:00:27.000 --> 00:00:31.000]  它前面會有一些問號後面有一些結論
[00:00:31.000 --> 00:00:35.000]  那中間的那個部分呢其實基本上的就是核心
[00:00:35.000 --> 00:00:38.000]  那不代表前面後面的不重要啊
[00:00:38.000 --> 00:00:44.000]  而是它真正要跟當時的教會的人所說的
[00:00:44.000 --> 00:00:48.000]  一些非常重要的事情就放在這裡了
[00:00:48.000 --> 00:00:52.000]  那我們今天呢會看到呢就是有什麼事情發生呢
[00:00:52.000 --> 00:00:56.000]  就是在天上的一家這個教會裡面呢
[00:00:56.000 --> 00:00:58.000]  原來有一些人開始講了
[00:00:58.000 --> 00:01:03.000]  就是耶穌怎麼樣已經回來了
[00:01:03.000 --> 00:01:06.000]  那這個事情呢對於保羅來說呢
[00:01:06.000 --> 00:01:08.000]  就是完全是錯誤的
[00:01:08.000 --> 00:01:10.000]  所以他必須呢寫一封信
[00:01:10.000 --> 00:01:13.000]  裡面講解為什麼是錯的
[00:01:13.000 --> 00:01:18.000]  而且我們怎麼樣去防備這些的問題在出現
[00:01:18.000 --> 00:01:21.000]  所以今天呢我們就來一起參考
[00:01:21.000 --> 00:01:24.000]  就是在聖經裡面的這個教導
[00:01:24.000 --> 00:01:26.000]  以至於我們也可以看一看
[00:01:26.000 --> 00:01:30.000]  我們怎麼樣避免這些事情發生在我們的身上
[00:01:30.000 --> 00:01:35.000]  就是誤解了神的意思或者被人家迷惑了
[00:01:35.000 --> 00:01:38.000]  我們一起來看第一段的經文
[00:01:38.000 --> 00:01:39.000]  這裡說
[00:01:39.000 --> 00:01:43.000]  弟兄們 輪到我們主耶穌基督降臨
[00:01:43.000 --> 00:01:46.000]  和我們到他那裡聚集
[00:01:46.000 --> 00:01:50.000]  我勸你們 無論有靈 有言語
[00:01:50.000 --> 00:01:52.000]  有冒我的名的書信
[00:01:52.000 --> 00:01:55.000]  說主的日子現在到了
[00:01:55.000 --> 00:02:02.000]  不要輕易動心 也不要驚慌
[00:02:02.000 --> 00:02:05.000]  人不舉什麼法子
[00:02:05.000 --> 00:02:09.000]  你們總不要被他怎麼樣 誘惑
[00:02:09.000 --> 00:02:14.000]  因為那日子以前必有離道返教的事
[00:02:14.000 --> 00:02:16.000]  並有那大罪人
[00:02:16.000 --> 00:02:20.000]  就是成倫之子顯露出來
[00:02:20.000 --> 00:02:23.000]  他是抵擋主高舉自己
[00:02:23.000 --> 00:02:28.000]  超過一切稱為神和一切收造人
[00:02:28.000 --> 00:02:31.000]  敬拜的 甚至坐在神的殿裡
[00:02:31.000 --> 00:02:33.000]  自稱為神
[00:02:33.000 --> 00:02:36.000]  我們看到頭的四節了
[00:02:36.000 --> 00:02:38.000]  裡面講到什麼呢
[00:02:38.000 --> 00:02:42.000]  就是第一呢 他先跟惠宗說
[00:02:42.000 --> 00:02:44.000]  OK 等一下我要說的是關於
[00:02:44.000 --> 00:02:47.000]  有人說耶穌已經來了
[00:02:47.000 --> 00:02:49.000]  或者關於耶穌復活
[00:02:49.000 --> 00:02:51.000]  不是復活 再來的事情
[00:02:51.000 --> 00:02:55.000]  還有我們跟神聚集的一些事情
[00:02:55.000 --> 00:02:57.000]  那他說他勸你們
[00:02:57.000 --> 00:03:00.000]  無論有靈 有語言
[00:03:00.000 --> 00:03:03.000]  或者是冒我的名寫這封信的
[00:03:03.000 --> 00:03:09.000]  都不要輕易動心 不要驚慌
[00:03:09.000 --> 00:03:12.000]  那裡面講到這個靈的部分是什麼呢
[00:03:12.000 --> 00:03:14.000]  當時我們也知道
[00:03:14.000 --> 00:03:16.000]  就是聖靈已經降臨了
[00:03:16.000 --> 00:03:20.000]  而且有很多人因為被聖靈的感動
[00:03:20.000 --> 00:03:22.000]  然後怎麼樣呢
[00:03:22.000 --> 00:03:25.000]  說方言 他也會說喻言
[00:03:25.000 --> 00:03:27.000]  也會有人翻方言的
[00:03:27.000 --> 00:03:29.000]  所以當時其實很多人可能是
[00:03:29.000 --> 00:03:31.000]  受到神的靈的感動
[00:03:31.000 --> 00:03:34.000]  那個是有人是真實的
[00:03:34.000 --> 00:03:37.000]  也有人是以為是神的靈
[00:03:37.000 --> 00:03:39.000]  也有人怎麼樣
[00:03:39.000 --> 00:03:44.000]  假裝是神的靈在講這些話語的
[00:03:44.000 --> 00:03:46.000]  所以我們看他說
[00:03:46.000 --> 00:03:47.000]  不要因為有人說
[00:03:47.000 --> 00:03:49.000]  我從神那裡領受了什麼
[00:03:49.000 --> 00:03:50.000]  這馬上上線
[00:03:50.000 --> 00:03:52.000]  另外就是語言
[00:03:52.000 --> 00:03:55.000]  語言的部分是關於人
[00:03:55.000 --> 00:03:56.000]  可能是一些教導的
[00:03:56.000 --> 00:03:58.000]  是在教會裡面的
[00:03:58.000 --> 00:04:00.000]  或者是外面的人來講的
[00:04:00.000 --> 00:04:02.000]  我看到耶穌了
[00:04:02.000 --> 00:04:04.000]  可能是有人這樣說的
[00:04:04.000 --> 00:04:06.000]  然後第三個就是書信
[00:04:06.000 --> 00:04:10.000]  當然這裡說好像是冒了保羅的名去
[00:04:10.000 --> 00:04:12.000]  有這封信的
[00:04:12.000 --> 00:04:14.000]  但我們會覺得是不是有人
[00:04:14.000 --> 00:04:16.000]  假裝是保羅
