
[00:00:00.000 --> 00:00:04.000]  好,各位explorer早安
[00:00:04.000 --> 00:00:06.000]  早安
[00:00:06.000 --> 00:00:08.000]  還是像樣一點
[00:00:08.000 --> 00:00:12.000]  今天同樣是見證分享
[00:00:12.000 --> 00:00:14.000]  當然我都會說一點聖經
[00:00:14.000 --> 00:00:16.000]  不想只說故事
[00:00:16.000 --> 00:00:18.000]  因為我去年都說過一次
[00:00:18.000 --> 00:00:20.000]  但這次我會focus多一點
[00:00:20.000 --> 00:00:24.000]  一個時間特別的信仰經歷
[00:00:24.000 --> 00:00:26.000]  分享之前要先解一題
[00:00:26.000 --> 00:00:31.000]  今天我的題目是生命歷程的師傅
[00:00:31.000 --> 00:00:32.000]  (還未開始)
[00:00:32.000 --> 00:00:34.000]  還未開始,等一下
[00:00:34.000 --> 00:00:36.000]  我想問大家
[00:00:36.000 --> 00:00:39.000]  生命有沒有一些你覺得很重要的人
[00:00:39.000 --> 00:00:42.000]  或者你覺得很好的榜樣對你來說
[00:00:42.000 --> 00:00:45.000]  你覺得有誰是像你的師傅
[00:00:45.000 --> 00:00:47.000]  不一定是信仰上的
[00:00:47.000 --> 00:00:48.000]  可能是學校
[00:00:48.000 --> 00:00:50.000]  或者你是玩空手道
[00:00:50.000 --> 00:00:52.000]  學那些運動
[00:00:52.000 --> 00:00:54.000]  有些師傅去教你
[00:00:54.000 --> 00:00:56.000]  不是你學校的老師
[00:00:56.000 --> 00:00:58.000]  雖然老師都會教你
[00:00:58.000 --> 00:01:01.000]  但我不知道你生命有沒有遇過一些人
[00:01:01.000 --> 00:01:03.000]  你覺得他和你很close
[00:01:03.000 --> 00:01:04.000]  他當然比你大
[00:01:04.000 --> 00:01:05.000]  很close
[00:01:05.000 --> 00:01:07.000]  又可以告訴你有事的時候
[00:01:07.000 --> 00:01:09.000]  到底我們人怎樣去生活
[00:01:09.000 --> 00:01:12.000]  這就是我講定義的師傅
[00:01:12.000 --> 00:01:15.000]  所以今天我的分享會多一點說
[00:01:15.000 --> 00:01:17.000]  我遇過什麼人
[00:01:17.000 --> 00:01:20.000]  所以等一下你會看到我有很多和人拍的照片
[00:01:20.000 --> 00:01:22.000]  和不同人拍的照片
[00:01:22.000 --> 00:01:23.000]  等一下會有很多
[00:01:23.000 --> 00:01:26.000]  但今天我都要用一點聖經去講
[00:01:26.000 --> 00:01:29.000]  今天我會講聖經裏面一對人物
[00:01:29.000 --> 00:01:31.000]  很簡單去看看他們
[00:01:31.000 --> 00:01:35.000]  這對人物都是一對師傅和徒弟
[00:01:35.000 --> 00:01:37.000]  師傅和徒弟
[00:01:37.000 --> 00:01:39.000]  一個好像老師一樣
[00:01:39.000 --> 00:01:41.000]  師傅叫什麼名字呢
[00:01:41.000 --> 00:01:43.000]  師傅叫做爾尼莎
[00:01:43.000 --> 00:01:48.000]  我想問一些上了教會比較久的人
[00:01:48.000 --> 00:01:50.000]  例如你
[00:01:50.000 --> 00:01:54.000]  我想問誰聽過爾尼莎這個人
[00:01:54.000 --> 00:01:58.000]  都上了教會一段時間
[00:01:58.000 --> 00:02:00.000]  即是沒有吧
[00:02:00.000 --> 00:02:03.000]  誰沒有聽過這個人
[00:02:03.000 --> 00:02:08.000]  我看到有些第一次來的朋友可能沒聽過
[00:02:08.000 --> 00:02:09.000]  很正常
[00:02:09.000 --> 00:02:11.000]  簡單說一點
[00:02:11.000 --> 00:02:13.000]  爾尼莎是什麼人呢
[00:02:13.000 --> 00:02:15.000]  他是一個先知
[00:02:15.000 --> 00:02:17.000]  在聖經裏面
[00:02:17.000 --> 00:02:19.000]  一個先知就是怎樣呢
[00:02:19.000 --> 00:02:21.000]  他就是聽到神的話
[00:02:21.000 --> 00:02:23.000]  聽到神希望他跟人說什麼
[00:02:23.000 --> 00:02:25.000]  就跟人說
[00:02:25.000 --> 00:02:31.000]  希望人們用上帝所喜歡的喜悅方法去生活
[00:02:31.000 --> 00:02:33.000]  所以這個就是先知
[00:02:33.000 --> 00:02:34.000]  最簡單的說法
[00:02:34.000 --> 00:02:36.000]  在舊約裏面
[00:02:36.000 --> 00:02:39.000]  爾尼莎是一個很偉大的先知
[00:02:39.000 --> 00:02:41.000]  這幅圖是做什麼呢
[00:02:41.000 --> 00:02:43.000]  這個先知曾經做過一件事
[00:02:43.000 --> 00:02:46.000]  當時有些人
[00:02:46.000 --> 00:02:48.000]  他們是拜其他神的
[00:02:48.000 --> 00:02:50.000]  有自己的宗教儀式
[00:02:50.000 --> 00:02:52.000]  在聖經裏面就說到
[00:02:52.000 --> 00:02:54.000]  爾尼亞這個先知
[00:02:54.000 --> 00:02:59.000]  就跟四百個拜其他神明的人
[00:02:59.000 --> 00:03:01.000]  好像在鬥法
