
[00:00:00.000 --> 00:00:02.000]  頂前妹萬康
[00:00:02.000 --> 00:00:11.000]  今天繼續看啟示錄 最後一章 第22章
[00:00:11.000 --> 00:00:26.000]  今日看的經文不算多 但跟上一堂新天新地 耶路撒冷的榮美很有關係
[00:00:26.000 --> 00:00:38.000]  所以一脈相承 但我們要重溫一下 當日我們俗稱的天家 天堂
[00:00:38.000 --> 00:00:44.000]  其實可以透過聖經給我們一個前瞻
[00:00:44.000 --> 00:00:50.000]  雖然沒有人去過天堂 現在回來跟我們說
[00:00:50.000 --> 00:00:59.000]  但我們確實有時聽聞到一些很特別的經歷
[00:00:59.000 --> 00:01:04.000]  我跟大家分享之前 再一次跟大家有個禱告
[00:01:04.000 --> 00:01:11.000]  天父上帝 我們願祢的靈充滿自己的子民 讓頂姐妹的心
[00:01:11.000 --> 00:01:20.000]  學無將來在天上為我們所預備的這個榮美永恆的家鄉
[00:01:20.000 --> 00:01:26.000]  當我們越來了解 越明白的時候 其實比我們今天有更多的反思
[00:01:26.000 --> 00:01:32.000]  我們有沒有很好的善用 我們的人生 我們每一日的生命
[00:01:32.000 --> 00:01:39.000]  能否可以全為主用 也能夠按照上帝祢喜悅的心意
[00:01:39.000 --> 00:01:47.000]  將基督的良善信實 聖靈所寄的果子一一呈現
[00:01:47.000 --> 00:01:54.000]  讓人世間雖然有苦難 雖然有罪惡 但讓你自己的百姓能夠活得好
[00:01:54.000 --> 00:02:02.000]  也能夠活在一個不信世人的面前 也能夠彰顯你自己的榮耀
[00:02:02.000 --> 00:02:07.000]  願你親自帶領我們今天 我們要思考神的話語的時候
[00:02:07.000 --> 00:02:12.000]  你親自幫助 叫說的 聽的 我們都能夠同感一鳴
[00:02:12.000 --> 00:02:16.000]  我們一同得著造就 為同心合意的祈禱
[00:02:16.000 --> 00:02:19.000]  奉主耶穌基督 聖名求 阿們
[00:02:19.000 --> 00:02:25.000]  我們看看 經文之前我先和大家分享一個見證
[00:02:25.000 --> 00:02:34.000]  這個事源就是我在自己童年成長的教會裏面
[00:02:34.000 --> 00:02:39.000]  在兒童師班 我有一位很熟悉的姐妹
[00:02:39.000 --> 00:02:45.000]  她的公公離世之前 其實很特別
[00:02:45.000 --> 00:02:51.000]  當時她靠著氧氣機呼吸長達八年的時間
[00:02:51.000 --> 00:02:56.000]  長達八年 大家知道插著那些所謂叫貓鬚
[00:02:56.000 --> 00:03:01.000]  這段時間她出入都要靠輪椅來代步
[00:03:01.000 --> 00:03:06.000]  另外她也做了白內障的手術
[00:03:06.000 --> 00:03:12.000]  但反而之後她很怕光 她日夜都要戴著黑超
[00:03:12.000 --> 00:03:18.000]  到她離世回天家之前兩三個星期
[00:03:18.000 --> 00:03:25.000]  她口裏頭經常說 她看到一個很光猛 很美的一個地方
[00:03:25.000 --> 00:03:30.000]  她就說 我見到新市鎮
[00:03:30.000 --> 00:03:37.000]  因為她要求她的兒子帶她去新市鎮
[00:03:37.000 --> 00:03:42.000]  因為這位公公住在沙田區已經三十年
[00:03:42.000 --> 00:03:47.000]  她的兒子以為她在說新城市廣場
[00:03:47.000 --> 00:03:51.000]  就推了她去 她坐在輪椅上
[00:03:51.000 --> 00:03:56.000]  去到的時候 她就堅決說 不是這裡
[00:03:56.000 --> 00:04:02.000]  是一個很美 很光猛 很寬闊 很漂亮的地方
[00:04:02.000 --> 00:04:11.000]  在她離世前一天 老人家突然叫他老婆開電視給他看
[00:04:11.000 --> 00:04:20.000]  她由怕光到離世前一天 公公是黑超不離眼
[00:04:20.000 --> 00:04:30.000]  但婆婆都覺得很驚訝 為何今天不帶黑超 還要看電視
[00:04:30.000 --> 00:04:37.000]  那天她跟他們分享過
[00:04:37.000 --> 00:04:42.000]  她說她去這個新市鎮的地方 她看到真的很美
[00:04:42.000 --> 00:04:49.000]  而且她感受到她呼吸的空氣很清新 沒有污染
[00:04:49.000 --> 00:04:56.000]  很明顯不用戴口罩 地方很寬敞
[00:04:56.000 --> 00:05:03.000]  當日她吃完中午飯 她說要睡一會兒
[00:05:03.000 --> 00:05:11.000]  怎知道一睡 她就在睡夢中 天父就接她回主耶穌懷抱
[00:05:11.000 --> 00:05:18.000]  這件事我不知道你有沒有類似聽過一些人離世的時候
[00:05:18.000 --> 00:05:21.000]  好像去了一個特別的地方
[00:05:21.000 --> 00:05:28.000]  我做牧師已經將近40年 我自己很體會原來
[00:05:28.000 --> 00:05:34.000]  其實我們人生只不過是過濾一個旅客
[00:05:34.000 --> 00:05:39.000]  但你自己是否很嚮往 原來將來我們要去的地方
[00:05:39.000 --> 00:05:46.000]  才是終極的終點 今天我們要眷戀的是甚麼呢
[00:05:46.000 --> 00:05:55.000]  究竟這位老人家看到的 是否上主已經預先稍微看到天堂的美景呢
[00:05:55.000 --> 00:06:02.000]  我們嘗試重溫一下 上一次我們說新的聖城榮耀的時候
[00:06:02.000 --> 00:06:08.000]  我特別多次強調 叫大家不要只看黃金街碧玉城
[00:06:08.000 --> 00:06:18.000]  雖然那些很美 還有12種寶石 紅寶石 綠寶石 紅馬路 綠馬路
[00:06:18.000 --> 00:06:22.000]  還有藍色的 多到不知得了
[00:06:22.000 --> 00:06:30.000]  不過我真的不太懂這些寶石 我只有一個白金戒指送給我太太
[00:06:30.000 --> 00:06:46.000]  所以師母有時她知道我身家不是太多 但她知道我有一個心意
[00:06:46.000 --> 00:06:51.000]  這個已經很足夠了 所以我曾經去巴西短孫的時候
[00:06:51.000 --> 00:07:00.000]  我真的用心去選了一條鏈給她 那條鏈我覺得很美
[00:07:00.000 --> 00:07:05.000]  雖然我去了世界不同的地方 但我看不到有人戴那條鏈
[00:07:05.000 --> 00:07:10.000]  因為那條鏈有個C字 C字代表Charlotte 沒錯
[00:07:10.000 --> 00:07:16.000]  所以獨一無二 在我眼中 其實價錢又不貴
[00:07:16.000 --> 00:07:23.000]  當然我們男人可能比較實際 但最重要是你的心意
[00:07:23.000 --> 00:07:30.000]  你的心意是怎樣呢 原來上帝的心意就是迎娶我們
[00:07:30.000 --> 00:07:38.000]  神的兒子耶穌將辛苦 即是今天基督的教會在地上我們是否準備好
[00:07:38.000 --> 00:07:44.000]  即是我們是否活得好 我們活得像耶穌 期望我們在這個地上
[00:07:44.000 --> 00:07:50.000]  在這裡說的新的聖城是沒有聖殿的 我上一堂已經很清楚說
[00:07:50.000 --> 00:07:56.000]  因為那個長闊高 這個正立方體是預表著舊約的回望
[00:07:56.000 --> 00:08:02.000]  那個致勝所 就是這個正立方體 神的張望就在人間
[00:08:02.000 --> 00:08:09.000]  神要我們明白在天堂那裡 再不需要去哪個禮拜堂
[00:08:09.000 --> 00:08:14.000]  我們是合而為一的 我們一起經歷耶穌那種愛
[00:08:14.000 --> 00:08:20.000]  我們在聖靈那種感召下 都是同屬一個基督的身體
[00:08:20.000 --> 00:08:24.000]  我們在那裡一起 是再沒有任何黑暗
[00:08:24.000 --> 00:08:33.000]  原來我按錯了按錯了 大家不用緊張
[00:08:33.000 --> 00:08:41.000]  是沒有日月光照 因為神的榮光和羔羊 本身就是這個城的燈
