
[00:00:00.000 --> 00:00:02.000]  (字幕:梁美萍)
[00:00:02.000 --> 00:00:04.000]  (主持人:梁美萍)
[00:00:04.800 --> 00:00:08.800]  我們主耶和華確是我們人生的目者
[00:00:08.800 --> 00:00:15.600]  基督徒的生命確是有甜酸苦辣
[00:00:15.600 --> 00:00:23.600]  有順逆 有不定 甚至有不安的時刻
[00:00:23.600 --> 00:00:29.600]  但我們仍然可以來到安然的去面對任何的處境
[00:00:29.600 --> 00:00:34.600]  因為主耶和華是我們的目者 我們必不至於缺乏
[00:00:34.600 --> 00:00:37.600]  弟兄姊妹 你何時發覺你生命裏
[00:00:37.600 --> 00:00:40.600]  你覺得你欠缺了一些東西
[00:00:40.600 --> 00:00:47.600]  無論這些東西是甚麼導致你心裏有不安 困惑
[00:00:47.600 --> 00:00:53.600]  你的眼目都要回來 是上帝祂自己的聖言
[00:00:53.600 --> 00:00:58.600]  聖靈會透過祂自己的說話再一次提醒我們
[00:00:58.600 --> 00:01:06.600]  其實生命就像一篇樂章一樣 有高有低
[00:01:06.600 --> 00:01:10.600]  有些音符是你可能意想不到
[00:01:10.600 --> 00:01:17.600]  但你要明白這首歌背後的作者和指揮是上帝祂自己
[00:01:17.600 --> 00:01:22.600]  你就可以安然將我們放在祂自己的面前
[00:01:22.600 --> 00:01:27.600]  今天很感恩大家可以回來教會
[00:01:27.600 --> 00:01:30.600]  特別是可以實體的敬拜
[00:01:30.600 --> 00:01:36.600]  你會看到教會已經擺設了這些很美麗的聖誕花
[00:01:36.600 --> 00:01:41.600]  這個月尾開始就是張臨期的開首
[00:01:41.600 --> 00:01:47.600]  我們要預備心去歡欣去感謝我們這位主耶穌
[00:01:47.600 --> 00:01:50.600]  祂願意道成肉身來到人間
[00:01:50.600 --> 00:01:56.600]  雖然這個世界歷代裏面都是充滿著各樣的苦難和罪惡
[00:01:56.600 --> 00:02:01.600]  但我們這位書尊降貴的人子耶穌
[00:02:01.600 --> 00:02:04.600]  祂就是傳言的謙卑和信服
[00:02:04.600 --> 00:02:06.600]  父神的差遣
[00:02:06.600 --> 00:02:08.600]  祂降卑為人
[00:02:08.600 --> 00:02:11.600]  最後信服以至於死在十字架上
[00:02:11.600 --> 00:02:17.600]  正是要表明一個作神伏人的生命的素質
[00:02:17.600 --> 00:02:21.600]  上一節主日有兩位講員已經和我們分享過
[00:02:21.600 --> 00:02:24.600]  我們要以基督耶穌的心為心
[00:02:24.600 --> 00:02:26.600]  我們要效法主
[00:02:26.600 --> 00:02:28.600]  祂這一份謙卑為伏人
[00:02:28.600 --> 00:02:31.600]  作伏人的領袖如是
[00:02:31.600 --> 00:02:33.600]  作真是神的兒女
[00:02:33.600 --> 00:02:36.600]  去跟隨主的腳踵而行
[00:02:36.600 --> 00:02:37.600]  都是如是
[00:02:37.600 --> 00:02:40.600]  讓我們今天也來看下文
[00:02:40.600 --> 00:02:44.600]  在肥臘比書第二章十二到三十節裏
[00:02:44.600 --> 00:02:48.600]  就是要強調我們不單要謙卑
[00:02:48.600 --> 00:02:50.600]  來作主的伏人
[00:02:50.600 --> 00:02:55.600]  也要信服成為主的奴僕
[00:02:55.600 --> 00:02:58.600]  這是很重要的關鍵
[00:02:58.600 --> 00:03:02.600]  因為信服主是將我們的信仰實踐出來
[00:03:02.600 --> 00:03:05.600]  而保羅要強調的
[00:03:05.600 --> 00:03:08.600]  讓肥臘比教會給我們看見一個示範
[00:03:08.600 --> 00:03:11.600]  就是在一個群體裏
[00:03:11.600 --> 00:03:13.600]  屬神的兒女們
[00:03:13.600 --> 00:03:16.600]  我們必須不發怨言
[00:03:16.600 --> 00:03:18.600]  不起爭論
[00:03:18.600 --> 00:03:20.600]  無怨無憎
[00:03:20.600 --> 00:03:21.600]  就是這個意思
[00:03:21.600 --> 00:03:26.600]  而跟著後文帶出三個生命的侍奉見證
[00:03:26.600 --> 00:03:27.600]  包括保羅
[00:03:27.600 --> 00:03:29.600]  以及他屬靈的兒子提摩泰
