
[00:00:00.000 --> 00:00:07.000]   Hello, good evening everyone.
[00:00:07.000 --> 00:00:09.200]   Good evening.
[00:00:09.200 --> 00:00:12.360]   So today we're beginning a new series.
[00:00:12.360 --> 00:00:15.400]   Does anybody know which book we're studying?
[00:00:15.400 --> 00:00:16.560]   Good.
[00:00:16.560 --> 00:00:18.520]   You guys all know how to cheat, right?
[00:00:18.520 --> 00:00:19.520]   It's right there.
[00:00:19.520 --> 00:00:22.440]   So it's the First Corinthians.
[00:00:22.440 --> 00:00:28.700]   Now I do want to give some background and also prepare ourselves for the next few weeks
[00:00:28.700 --> 00:00:30.480]   on what this is about.
[00:00:30.480 --> 00:00:38.080]   Now First Corinthians was a letter written by Paul in around 54 to 55 AD.
[00:00:38.080 --> 00:00:43.700]   So today we'll be looking at the topic of Paul's ministry in Corinth, this place.
[00:00:43.700 --> 00:00:47.080]   So let's have a look at a quick timetable.
[00:00:47.080 --> 00:00:50.160]   I mean I tried to get the whole thing on but it was too small.
[00:00:50.160 --> 00:00:52.480]   So I'll show you the little bits.
[00:00:52.480 --> 00:01:00.420]   So Paul was converted from Saul, God opening his eyes, around 31 to 36 AD, we don't quite
[00:01:00.420 --> 00:01:01.420]   know.
[00:01:01.420 --> 00:01:06.860]   But then he wrote the First Corinthians around 54 to 55 AD.
[00:01:06.860 --> 00:01:09.300]   You're like, "What does that have to do with me?"
[00:01:09.300 --> 00:01:13.380]   It's just background information so that we all know.
[00:01:13.380 --> 00:01:18.280]   So what happened was that Paul went on these missionary trips.
[00:01:18.280 --> 00:01:24.260]   So on his second round he was actually at Corinth and that was the place where he helped
[00:01:24.260 --> 00:01:26.420]   build the church there.
[00:01:26.420 --> 00:01:31.780]   So that's why after he left those people were still connected to him and then they wrote
[00:01:31.780 --> 00:01:38.620]   letters, not emails then, letters to him telling him what's going on there and what the issues
[00:01:38.620 --> 00:01:39.620]   were.
[00:01:39.620 --> 00:01:41.620]   Now what were the issues at Corinth?
[00:01:41.620 --> 00:01:48.500]   Well there were divisions among the Christians.
[00:01:48.500 --> 00:01:50.160]   They were about many things.
[00:01:50.160 --> 00:01:56.740]   For example about immorality, party strife, they were about spiritual gifts and some doctrine
[00:01:56.740 --> 00:01:58.960]   and also ethical issues.
[00:01:58.960 --> 00:02:03.260]   So some of them were fighting, some of them were not, but just having discussions.
[00:02:03.260 --> 00:02:09.700]   So basically Paul is going to use this letter to address many issues that they have been
[00:02:09.700 --> 00:02:11.540]   having trouble with.
[00:02:11.540 --> 00:02:18.740]   So for the next few weeks we'll be looking at these topics just for you to have an idea.
[00:02:18.740 --> 00:02:26.340]   The next slide, basically it will show that we'll have eight, the next one, we'll have
[00:02:26.340 --> 00:02:32.020]   eight weeks of this topic where we look at different aspects.
[00:02:32.020 --> 00:02:36.500]   Now a little bit of a background, Corinth is in Greece so we can look at the map just
[00:02:36.500 --> 00:02:37.500]   for a bit.
[00:02:37.500 --> 00:02:43.580]   Just give you an idea of where it is and basically it's a city where it's very prosperous.
[00:02:43.580 --> 00:02:49.500]   So there was a lot of diversity, there were a lot of people, commerce trading, but also
[00:02:49.500 --> 00:02:55.660]   sexual immorality was also quite present in this entire city as well as there were other
[00:02:55.660 --> 00:02:57.100]   religions there.
[00:02:57.100 --> 00:03:02.740]   So people were practicing different kinds of religion and that's why the people, the
[00:03:02.740 --> 00:03:10.340]   converts, the believers in Corinth also have trouble because the society is dealing with
[00:03:10.340 --> 00:03:14.620]   things like this and they themselves are a little bit confused as well.
[00:03:14.620 --> 00:03:21.660]   So it's a metropolitan city kind of like Hong Kong and New York is a very important city
[00:03:21.660 --> 00:03:26.300]   at that time, kind of equal to Rome and Ephesus.
[00:03:26.300 --> 00:03:32.900]   So you can look at us kind of in a very similar background where there's a lot of kind of
[00:03:32.900 --> 00:03:37.700]   a secular world and how they're dealing with things, but also the church is right there
[00:03:37.700 --> 00:03:38.980]   in the middle.
[00:03:38.980 --> 00:03:47.220]   So we are trying to now kind of look at today what Paul's ministry is there at Corinth.
[00:03:47.220 --> 00:03:51.980]   And so Paul begins his letter which is kind of like the way he usually does.
[00:03:51.980 --> 00:03:54.820]   What would he do in his letters?
[00:03:54.820 --> 00:03:56.460]   Greetings, right?
[00:03:56.460 --> 00:04:01.860]   You'll be like greeting the saints, the brother and the sisters, and then he would also be
[00:04:01.860 --> 00:04:05.260]   reminding them of Jesus Christ's grace.
[00:04:05.260 --> 00:04:12.780]   So the first few verse, we won't be going through them, but in verse 7 and 9, 7 to 9
[00:04:12.780 --> 00:04:17.540]   which is in the first chapter, here's what Paul says after his greetings.
[00:04:17.540 --> 00:04:24.580]   He says, "Therefore you do not lack any spiritual gift as you eagerly wait for our Lord Jesus
[00:04:24.580 --> 00:04:26.660]   Christ to be revealed.
[00:04:26.660 --> 00:04:33.580]   He will also keep you firm to the end so that you will be blameless on the day of our Lord
[00:04:33.580 --> 00:04:35.540]   Jesus Christ.
