
[00:00:00.000 --> 00:00:05.600]  主持人:阿鼎、梓妹
[00:00:05.600 --> 00:00:11.200]  我們今天繼續講解《約翰一書》
[00:00:11.200 --> 00:00:17.880]  這本書對我們今天21世紀的神兒女們
[00:00:17.880 --> 00:00:21.760]  都是非常識切和很重要的
[00:00:21.760 --> 00:00:24.200]  特別我們今天會探討的題目
[00:00:24.200 --> 00:00:26.520]  「不愛世界何解」
[00:00:26.520 --> 00:00:31.600]  對於我們今天在普世特別是在橫教會
[00:00:31.600 --> 00:00:35.320]  一般來說我們對這個名詞一點都不陌生
[00:00:35.320 --> 00:00:36.920]  我們不愛世界
[00:00:36.920 --> 00:00:38.120]  不要愛世界
[00:00:38.120 --> 00:00:40.120]  不要貪愛世界等等
[00:00:40.120 --> 00:00:43.960]  其實我們對於這個世界的了解
[00:00:43.960 --> 00:00:48.160]  我們有時可能會產生一些誤解
[00:00:48.160 --> 00:00:51.120]  故此我今天嘗試從兩個角度
[00:00:51.120 --> 00:00:53.720]  和大家一起透過經文
[00:00:53.720 --> 00:00:57.880]  也透過在聖經給我們看見的啟示裏面
[00:00:57.880 --> 00:00:59.560]  上帝要祂的兒女們
[00:00:59.560 --> 00:01:02.760]  是很好的我們作神的兒女
[00:01:02.760 --> 00:01:05.680]  我們怎樣去愛神愛人
[00:01:05.680 --> 00:01:09.600]  也同樣在這個神所創造的世界裏面
[00:01:09.600 --> 00:01:12.480]  我們怎樣活出祂自己的心意
[00:01:12.480 --> 00:01:15.200]  我們先來看一看
[00:01:15.200 --> 00:01:20.000]  第一方面我們要從創造秩序的角度來看
[00:01:20.000 --> 00:01:22.200]  不要愛世界的意思
[00:01:22.200 --> 00:01:25.840]  不代表我們不愛神所創造的世界
[00:01:25.840 --> 00:01:27.120]  這個很重要
[00:01:27.120 --> 00:01:34.320]  因為神的兒女們要愛祂所造的世界
[00:01:34.320 --> 00:01:37.960]  神起初創造這個天地宇宙萬物
[00:01:37.960 --> 00:01:43.120]  一切的秩序和背後精心莫測的一種設計
[00:01:43.120 --> 00:01:47.040]  其實這個是上帝的傑作
[00:01:47.040 --> 00:01:49.600]  只不過是人類墮落之後
[00:01:49.600 --> 00:01:51.160]  再進入這個世界
[00:01:51.160 --> 00:01:52.680]  污染了整個世界
[00:01:52.680 --> 00:01:56.160]  敗壞了這個世界很多的秩序
[00:01:56.160 --> 00:01:58.160]  所以今天我們要搞清楚
[00:01:58.160 --> 00:01:58.800]  第一
[00:01:58.800 --> 00:02:00.000]  不要愛世界
[00:02:00.000 --> 00:02:02.960]  不是說我們不愛神所創造的世界
[00:02:02.960 --> 00:02:06.240]  是基於這個很重要的根據
[00:02:06.240 --> 00:02:09.920]  我們今天可以有不同的弟兄姊妹
[00:02:09.920 --> 00:02:14.560]  甚至在這個世界參與
[00:02:14.560 --> 00:02:16.760]  在不同的工作裏的朋友
[00:02:16.760 --> 00:02:19.880]  他們都是去研究去認識
[00:02:19.880 --> 00:02:21.720]  在上帝的心意裏面
[00:02:21.720 --> 00:02:24.240]  譬如說作為一個病毒學家
[00:02:24.240 --> 00:02:27.040]  他來到在今天疫情這麼嚴峻的時候
[00:02:27.040 --> 00:02:29.200]  他們付上很大的努力
