
[00:00:00.000 --> 00:00:09.000]  今日我們繼續講到《馬可福音》第七章
[00:00:09.000 --> 00:00:11.000]  很大段的經文
[00:00:11.000 --> 00:00:15.000]  平時就不叫你們拿手機
[00:00:15.000 --> 00:00:17.000]  今日拿手機出來
[00:00:17.000 --> 00:00:19.000]  我都不打這麼多東西
[00:00:19.000 --> 00:00:22.000]  自己講到哪裏看哪裏
[00:00:22.000 --> 00:00:26.000]  我們將這一段的經文
[00:00:26.000 --> 00:00:32.000]  總共發生了四件很重要的事情
[00:00:32.000 --> 00:00:35.000]  這四件重要的事情
[00:00:35.000 --> 00:00:39.000]  他們想告訴我們甚麼呢
[00:00:39.000 --> 00:00:42.000]  我們先看看這四段的經文
[00:00:42.000 --> 00:00:44.000]  講些甚麼
[00:00:44.000 --> 00:00:48.000]  第一個分開事件
[00:00:48.000 --> 00:00:50.000]  有四個大事件
[00:00:50.000 --> 00:00:52.000]  第一個事件是七章
[00:00:52.000 --> 00:00:54.000]  二十四到三十節
[00:00:54.000 --> 00:00:58.000]  講到一個希臘婦人
[00:00:58.000 --> 00:01:02.000]  在一個叫推羅和西頓的地方
[00:01:02.000 --> 00:01:06.000]  她的小女兒被鬼附
[00:01:06.000 --> 00:01:14.000]  要求耶穌將她的女兒附在身上的鬼趕走
[00:01:14.000 --> 00:01:17.000]  結果因著她的信心
[00:01:17.000 --> 00:01:22.000]  耶穌就叫她回家
[00:01:22.000 --> 00:01:26.000]  因為她的女兒被鬼附
[00:01:26.000 --> 00:01:29.000]  這是第一件事
[00:01:29.000 --> 00:01:32.000]  第二件事就接著下來
[00:01:32.000 --> 00:01:36.000]  在七章三十一到三十七節
[00:01:36.000 --> 00:01:41.000]  有一個人是耳聾和舌結的人
[00:01:41.000 --> 00:01:42.000]  甚麼是舌結呢
[00:01:42.000 --> 00:01:48.000]  就是漏口的人
[00:01:48.000 --> 00:01:51.000]  地點發生在加利利海
[00:01:51.000 --> 00:01:55.000]  這個人是甚麼事情呢
[00:01:55.000 --> 00:02:00.000]  他的朋友帶著他去見耶穌
[00:02:00.000 --> 00:02:03.000]  希望耶穌的要求是甚麼呢
[00:02:03.000 --> 00:02:05.000]  醫治他的病
[00:02:05.000 --> 00:02:08.000]  但耶穌的行動是甚麼呢
[00:02:08.000 --> 00:02:13.000]  就是用手指放在他的耳朵
[00:02:13.000 --> 00:02:19.000]  然後用口水塗抹他的舌頭
[00:02:19.000 --> 00:02:22.000]  然後他就可以說正常的話
[00:02:22.000 --> 00:02:23.000]  我想問問你
[00:02:23.000 --> 00:02:25.000]  如果你去醫治病人
[00:02:25.000 --> 00:02:26.000]  遇到這樣的情況
[00:02:26.000 --> 00:02:28.000]  你會害怕嗎
[00:02:28.000 --> 00:02:30.000]  有個人用口水說
[00:02:30.000 --> 00:02:32.000]  我能夠醫治你的
[00:02:32.000 --> 00:02:35.000]  你有沒有這樣的信心呢
[00:02:35.000 --> 00:02:36.000]  要想一下
[00:02:36.000 --> 00:02:38.000]  第三件事
[00:02:38.000 --> 00:02:42.000]  八章一到十節
[00:02:42.000 --> 00:02:47.000]  是說到有四千人
[00:02:47.000 --> 00:02:50.000]  在一個野地裏面
[00:02:50.000 --> 00:02:52.000]  沒有說在哪個地方
[00:02:52.000 --> 00:02:54.000]  發生甚麼事呢
[00:02:54.000 --> 00:02:56.000]  那天有四千人
[00:02:56.000 --> 00:02:58.000]  三天沒有吃東西
[00:02:58.000 --> 00:03:02.000]  結果只有七個餅和幾條魚
[00:03:02.000 --> 00:03:05.000]  耶穌的行動就是祝福完之後
[00:03:05.000 --> 00:03:08.000]  他們不單吃飽了
[00:03:08.000 --> 00:03:12.000]  還吃剩了七男子的東西
[00:03:12.000 --> 00:03:14.000]  最後一個事件
[00:03:14.000 --> 00:03:18.000]  是八章二十二到二十六節
[00:03:18.000 --> 00:03:21.000]  那裏說到一個盲人
[00:03:21.000 --> 00:03:26.000]  在白菜大的地方
