
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹平安。 平安。
[00:00:02.000 --> 00:00:06.320]  感謝讚美神讓我們又一起來敬拜他跟崇拜,
[00:00:06.320 --> 00:00:09.220]  這是何等大的恩典跟福分。
[00:00:09.220 --> 00:00:12.040]  我們真的是為上帝感恩。
[00:00:12.040 --> 00:00:17.160]  在這裡,我們上次看到保羅第一次宣教,
[00:00:17.160 --> 00:00:26.200]  是從安提亞一直去到龐非利大亞那邊,
[00:00:26.200 --> 00:00:31.080]  然後再從這邊下去,然後再下到安提亞,這裡的另外一個安提亞,
[00:00:31.080 --> 00:00:36.800]  需要特別,然後又要回程,回程就不再走克羅地亞,
[00:00:36.800 --> 00:00:41.200]  就走這個海來到安提亞回去了。
[00:00:41.200 --> 00:00:43.920]  這是我們看到的第一個行程。
[00:00:43.920 --> 00:00:48.320]  上回我們講到耶路撒冷的會議,
[00:00:48.320 --> 00:00:52.440]  其中一個主要的問題是外邦人他信了耶穌,
[00:00:52.440 --> 00:00:56.040]  是否要遵守猶太人的律法,記得嗎?
[00:00:56.040 --> 00:01:00.880]  我們就看到他們最後有個結論,
[00:01:00.880 --> 00:01:07.600]  就是重點是在於要敬戒偶像的誤會,
[00:01:07.600 --> 00:01:09.840]  要看重對上帝的忠誠,
[00:01:09.840 --> 00:01:13.160]  要敬戒奸淫,要看重道德生活,
[00:01:13.160 --> 00:01:17.680]  敬戒樂死的深處和諧,看重生命的神聖。
[00:01:17.680 --> 00:01:20.720]  這些我們都不重點再詳細講了,
[00:01:20.720 --> 00:01:22.720]  因為上一次講到已經講過了。
[00:01:22.840 --> 00:01:25.920]  我們也看到保羅和巴拿巴讓我們看見,
[00:01:25.920 --> 00:01:30.040]  原來真正的生命他們是清楚真理,
[00:01:30.040 --> 00:01:33.960]  維護真理,見證真理,還有謙卑的配合。
[00:01:33.960 --> 00:01:35.560]  他們知道這件事情,
[00:01:35.560 --> 00:01:38.480]  他們明明看見外邦人信耶穌是真的,
[00:01:38.480 --> 00:01:41.120]  可是猶太的剛剛信主的基督徒,
[00:01:41.120 --> 00:01:44.800]  又很想他們也守猶太教的規條,
[00:01:44.800 --> 00:01:49.120]  但是他們就發現真理是必須講出來的,
[00:01:49.120 --> 00:01:50.520]  好好的去見證。
