
[00:00:00.000 --> 00:00:03.000]  (自從疫情開始,我們都很想達成目標)
[00:00:04.000 --> 00:00:12.000]  (大英姐妹午安,非常歡迎大英姐妹回到教會一同敬拜主)
[00:00:12.000 --> 00:00:18.000]  (感謝喜樂師班獻唱「更像我因主」)
[00:00:18.000 --> 00:00:26.000]  (不知道這個「更像我因主」會否是我們很想達成的方向和目標呢?)
[00:00:26.000 --> 00:00:31.000]  (因為疫情,我們很久沒有聽過師班獻唱詩詩)
[00:00:31.000 --> 00:00:42.000]  (我們期望疫情能夠更穩定,以致每次崇拜都能有師班獻唱)
[00:00:42.000 --> 00:00:55.000]  (今天是滿分崇拜,教會由七月開始,凡是滿分崇拜都會宣講舊約傳道書)
[00:00:55.000 --> 00:01:00.000]  (傳道書是一卷內容非常豐富的經卷)
[00:01:00.000 --> 00:01:12.000]  (透過傳道者對人生的觀察和綜合,提醒讀者們)
[00:01:12.000 --> 00:01:22.000]  (在面對多變和結束的人生時,要用什麼態度去生活)
[00:01:22.000 --> 00:01:30.000]  (所以我將四章一到十六節的段落定為題目)
[00:01:30.000 --> 00:01:34.000]  (「無上人生的出路」)
[00:01:34.000 --> 00:01:43.000]  (希望透過十六節經文的了解,我們能夠找出一些方法和焦點)
[00:01:43.000 --> 00:01:48.000]  (以致我們的人生可以活得更得主喜悅)
[00:01:48.000 --> 00:01:51.000]  (我們一起做一個祈禱)
[00:01:52.000 --> 00:01:56.000]  (親愛的天父,我們存著很感恩的心)
[00:01:56.000 --> 00:02:03.000]  (能夠有生命氣息,耳朵能聽,眼睛能看,並且心能感受)
[00:02:03.000 --> 00:02:07.000]  (其實都是你給我們很大的福氣)
[00:02:07.000 --> 00:02:17.000]  (我們很相信你的話語一解明,你的兒女就能得著幫助和得著方向)
[00:02:17.000 --> 00:02:24.000]  (願意主席著傳道書四章一到十六節的經文對我們說話)
[00:02:24.000 --> 00:02:31.000]  (以致我們能夠更加清楚你的心意,亦能夠更活出豐盛)
[00:02:31.000 --> 00:02:34.000]  (同心祈禱,父主明求,阿門)
[00:02:34.000 --> 00:02:39.000]  (今天我們會看四章十六節的經文)
[00:02:39.000 --> 00:02:48.000]  (十六節的經文裡透露了傳道者有四個觀察)
[00:02:48.000 --> 00:02:54.000]  (我將它分為四段落,一到三節)
[00:02:54.000 --> 00:02:59.000]  (其實是說出欺壓常見,沒有安慰)
[00:02:59.000 --> 00:03:06.000]  (然後四到八節是說勞碌積材,不滿足)
[00:03:06.000 --> 00:03:11.000]  (九到十二節是有伴良朋,很重要)
[00:03:11.000 --> 00:03:16.000]  (十三到十六節是權位轉替,是暴風)
[00:03:16.000 --> 00:03:23.000]  (其實上兩星期前,我們透過三章十六到二十二節)
[00:03:23.000 --> 00:03:31.000]  (我們都看到原來不公義的事情是實際存在)
[00:03:31.000 --> 00:03:38.000]  (到四章一到三節要看欺壓的時候)
[00:03:38.000 --> 00:03:44.000]  (作者就著重於受欺壓者無人安慰)
[00:03:44.000 --> 00:03:48.000]  (這個淒涼的情況來講解)
