
[00:00:00.000 --> 00:00:03.000]  今天想跟大家討論的題目是
[00:00:03.000 --> 00:00:05.000]  不再羞愧,No more shame
[00:00:05.000 --> 00:00:10.000]  大家還記不記得我們今年explorer的主題是什麼?
[00:00:10.000 --> 00:00:12.000]  生命的更新
[00:00:12.000 --> 00:00:17.000]  我們說過生命的更新
[00:00:17.000 --> 00:00:21.000]  可能是要看我們的上面
[00:00:21.000 --> 00:00:23.000]  Look up to God
[00:00:23.000 --> 00:00:25.000]  還有我們生命的更新
[00:00:25.000 --> 00:00:27.000]  如果沒有向外面的話
[00:00:27.000 --> 00:00:28.000]  其實是看不到的
[00:00:28.000 --> 00:00:31.000]  在三月裡我們想說
[00:00:31.000 --> 00:00:35.000]  在生命的更新裡發生了什麼事
[00:00:35.000 --> 00:00:38.000]  如果裡面沒有發生什麼事
[00:00:38.000 --> 00:00:42.000]  其實是不會真正得到生命的更新改變
[00:00:42.000 --> 00:00:47.000]  我記得之前跟你們說過
[00:00:47.000 --> 00:00:53.000]  我在大學時初順著做錯過一件事
[00:00:53.000 --> 00:00:59.000]  有一次我去電器店買了一個外置硬碟
[00:00:59.000 --> 00:01:01.000]  回到家裡
[00:01:01.000 --> 00:01:05.000]  我用一個不對的火牛
[00:01:05.000 --> 00:01:07.000]  把外置硬碟拆掉
[00:01:07.000 --> 00:01:09.000]  因為火力太強
[00:01:09.000 --> 00:01:10.000]  燒了
[00:01:10.000 --> 00:01:11.000]  燒了之後
[00:01:11.000 --> 00:01:13.000]  你猜我第一個反應是什麼呢?
[00:01:13.000 --> 00:01:15.000]  我做了什麼呢?
[00:01:15.000 --> 00:01:19.000]  已經爛了,不會扔爛了
[00:01:19.000 --> 00:01:21.000]  我心想
[00:01:21.000 --> 00:01:24.000]  我是一個窮學生
[00:01:24.000 --> 00:01:26.000]  不如我去換掉它
[00:01:26.000 --> 00:01:28.000]  因為在美國
[00:01:28.000 --> 00:01:30.000]  你買了一件貨品
[00:01:30.000 --> 00:01:32.000]  就算有沒有壞
[00:01:32.000 --> 00:01:34.000]  你都可以去換掉它
[00:01:34.000 --> 00:01:35.000]  我心想
[00:01:35.000 --> 00:01:37.000]  不如我去換掉它
[00:01:37.000 --> 00:01:39.000]  我就騙那間店
[00:01:39.000 --> 00:01:42.000]  說我買回來的時候已經爛了
[00:01:42.000 --> 00:01:46.000]  我真的自己再開車去那間店
[00:01:46.000 --> 00:01:48.000]  其實都是需要一個過程
[00:01:48.000 --> 00:01:50.000]  神一直都是這樣提醒
