
[00:00:00.000 --> 00:00:07.000]  感謝讚美主讓我們又能夠再次相聚。
[00:00:07.000 --> 00:00:12.000]  懇求神今天也藉著祂的話語來建立我們的生命。
[00:00:12.000 --> 00:00:16.000]  我發現每一次主日,上帝都真的是很愛我們,
[00:00:16.000 --> 00:00:20.000]  常常用祂的話語讓我們明白祂的真道,
[00:00:20.000 --> 00:00:24.000]  以致我們能夠蒙福,我們一起同心禱告。
[00:00:24.000 --> 00:00:27.000]  親愛的天父,我們感謝讚美你。
[00:00:27.000 --> 00:00:33.000]  你就是這麼的愛我們,你不但是把我們從罪中拯救出來,
[00:00:33.000 --> 00:00:38.000]  你還用你的生命,用你的同在,用你的話語,
[00:00:38.000 --> 00:00:45.000]  用你的愛來建立我們,使到我們真的是看見我們越遵循你的旨意,
[00:00:45.000 --> 00:00:49.000]  我們就越能夠活出豐盛喜樂的生命。
[00:00:49.000 --> 00:00:54.000]  我們感謝讚美你。禱告感恩,奉主耶穌基督的名祈求。
[00:00:54.000 --> 00:00:55.000]  阿們。
[00:00:55.000 --> 00:01:00.000]  那麼,弟兄姊妹,今天跟大家分享的題目是
[00:01:00.000 --> 00:01:03.000]  自己眼中的刺和別人眼中的良母。
[00:01:03.000 --> 00:01:07.000]  那麼我們再進入這個耶穌比喻的講道系列。
[00:01:07.000 --> 00:01:14.000]  首先呢,我想邀請大家跟我一起來想一想一個很重要的問題。
[00:01:14.000 --> 00:01:18.000]  我們為什麼會和人發生衝突呢?
[00:01:18.000 --> 00:01:23.000]  這個相信在我們的生命中會經常的經歷。
[00:01:23.000 --> 00:01:31.000]  不管是在夫妻之間,朋友之間,同事之間,或者是父母與孩子之間,
[00:01:31.000 --> 00:01:34.000]  我們總是會遇到這樣的一個情況,
[00:01:34.000 --> 00:01:39.000]  我們的意見不一樣,我們就發生不同的程度的衝突。
[00:01:39.000 --> 00:01:43.000]  今天我們要一起來藉著這段經文來探討這個問題。
[00:01:43.000 --> 00:01:48.000]  我相信上帝的亮光能夠給我們一條出路。
[00:01:48.000 --> 00:01:51.000]  那麼,你有沒有發現剛才我提的這些人,
[00:01:51.000 --> 00:01:54.000]  其實很多都是跟我們生命中有關係的,
[00:01:54.000 --> 00:02:01.000]  而且有些還跟我們的生命的關係還是非常非常親密跟重要的。
[00:02:01.000 --> 00:02:05.000]  那麼,不用我多說,我們當然也知道,
[00:02:05.000 --> 00:02:10.000]  我們跟這些我們生命中的人發生不同的衝突呢,
[00:02:10.000 --> 00:02:16.000]  很多時候是因為兩種不同的觀點,對嗎?
[00:02:16.000 --> 00:02:20.000]  我們有我們自己的觀點,對方有對方的觀點,
[00:02:20.000 --> 00:02:27.000]  以致我們兩個不同的觀點是互相矛盾的時候就容易發生衝突了。
[00:02:27.000 --> 00:02:31.000]  那麼,除了觀點與角度以外呢,
[00:02:31.000 --> 00:02:36.000]  我們也發現原來有些時候是我們自己的問題,
[00:02:36.000 --> 00:02:39.000]  有些時候是對方的問題,
[00:02:39.000 --> 00:02:44.000]  自己的問題可以包括什麼呢?是溝通方式的問題。
[00:02:44.000 --> 00:02:52.000]  有些人道理是對的,但是就是不懂得怎麼樣把話好好說,
[00:02:52.000 --> 00:02:54.000]  一開口就好像是在罵人一樣。
[00:02:54.000 --> 00:02:58.000]  所以這個是溝通的方式的問題。
[00:02:58.000 --> 00:03:03.000]  有些人是理解事情的問題,
[00:03:03.000 --> 00:03:10.000]  理解的事情他總是會從一個消極的角度來看你提出的任何一樣事情。
[00:03:10.000 --> 00:03:15.000]  本來這件事情是能夠帶給大家很多的喜悅跟盼望的,
[00:03:15.000 --> 00:03:18.000]  可是一聽在他耳朵裡面呢,
[00:03:18.000 --> 00:03:24.000]  他就從一個消極負面的角度來看到,
[00:03:24.000 --> 00:03:30.000]  你提出來這件事情可能會遇到這樣這樣這樣多的困難跟攔阻,
[00:03:30.000 --> 00:03:33.000]  你聽了之後你的心就已經沉了,
[00:03:33.000 --> 00:03:37.000]  結果呢,越講下去就越發現其實是講不通。
[00:03:37.000 --> 00:03:42.000]  所以很多時候衝突不只是觀點與角度的問題,
[00:03:42.000 --> 00:03:52.000]  還有就是每個人都是在表達上或者是在聆聽上都不一樣。
[00:03:52.000 --> 00:03:59.000]  今天講到的經文會帶我們進入一個更深入的思考,
[00:03:59.000 --> 00:04:04.000]  並且會提供給我們一個出路。
[00:04:04.000 --> 00:04:08.000]  那麼我們先看看今天的這段講道經文,
[00:04:08.000 --> 00:04:10.000]  這裡是說什麼呢?
[00:04:10.000 --> 00:04:16.000]  這裡是說你們不要論斷人,免得你們被論斷。
[00:04:16.000 --> 00:04:22.000]  因為你們怎樣論斷人,也必怎樣被論斷。
[00:04:22.000 --> 00:04:29.000]  你們用什麼良器量給人,也必用什麼良器量給你們。
[00:04:29.000 --> 00:04:34.000]  為什麼看見你弟兄眼中的刺,眼中有刺,
[00:04:34.000 --> 00:04:38.000]  卻不想自己眼中有良目呢?
[00:04:38.000 --> 00:04:46.000]  你自己眼中有良目,怎能對你弟兄說,容我去掉你眼中的刺呢?
[00:04:46.000 --> 00:04:52.000]  你這假冒為善的人啊,先去掉自己眼中的良目,
[00:04:52.000 --> 00:04:59.000]  然後才能看得清楚去掉你弟兄眼中的刺。
[00:04:59.000 --> 00:05:05.000]  不要把聖物給狗,也不要把你們的珍珠丟在豬前,
[00:05:05.000 --> 00:05:11.000]  恐怕牠踐踏了珍珠,轉過來咬你們。
[00:05:11.000 --> 00:05:15.000]  我相信這段經文呢,我們很多人都很熟悉,
[00:05:15.000 --> 00:05:21.000]  而且我們就這樣讀呢,就已經可以讀出當中有一些很淺顯的道理,
[00:05:21.000 --> 00:05:23.000]  讓我們自我反省的。
