
[00:00:00.000 --> 00:00:02.000]  我們要活出那種對人的謙卑
[00:00:02.000 --> 00:00:04.000]  以致神讓我們知道
[00:00:04.000 --> 00:00:07.000]  我們在每一個時刻所做的決定跟反應
[00:00:07.000 --> 00:00:09.000]  都能夠討你高興
[00:00:09.000 --> 00:00:11.000]  我們要活出那種對人的慈悲
[00:00:11.000 --> 00:00:13.000]  我們要活出那種對你高興
[00:00:13.000 --> 00:00:15.000]  我們要活出那種對你高興
[00:00:15.000 --> 00:00:17.000]  我們要活出那種對你高興
[00:00:17.000 --> 00:00:19.000]  我們要活出那種對你高興
[00:00:19.000 --> 00:00:21.000]  我們要活出那種對你高興
[00:00:21.000 --> 00:00:23.000]  我們要活出那種對你高興
[00:00:23.000 --> 00:00:25.000]  我們要活出那種對你高興
[00:00:25.000 --> 00:00:27.000]  我們要活出那種對你高興
[00:00:27.000 --> 00:00:29.000]  我們要活出那種對你高興
[00:00:29.000 --> 00:00:31.000]  都能夠討你喜悅
[00:00:31.000 --> 00:00:33.000]  所以天父我們求你幫助我們
[00:00:33.000 --> 00:00:35.000]  幫助我們知道
[00:00:35.000 --> 00:00:37.000]  每一次我們做的事情
[00:00:37.000 --> 00:00:40.000]  肯定要得你喜悅
[00:00:40.000 --> 00:00:41.000]  我們感謝你
[00:00:41.000 --> 00:00:42.000]  求你打開我們的心
[00:00:42.000 --> 00:00:45.000]  以致我們今天
[00:00:45.000 --> 00:00:47.000]  一起領受你的話語
[00:00:47.000 --> 00:00:49.000]  都能夠得到你的祝福
[00:00:49.000 --> 00:00:51.000]  禱告奉主耶穌基督的聖名祈求
[00:00:51.000 --> 00:00:52.000]  Amen
[00:00:52.000 --> 00:00:57.000]  這個講道系列是我們馬可福音的講道系列
[00:00:57.000 --> 00:01:00.000]  今天續到第二章
[00:01:00.000 --> 00:01:02.000]  前面我們已經講了六七講
[00:01:02.000 --> 00:01:06.000]  第二章我們就講耶穌討論進食的問題
[00:01:06.000 --> 00:01:10.000]  這個問題也是值得今天21世紀的基督徒
[00:01:10.000 --> 00:01:11.000]  來瞭解一下
[00:01:11.000 --> 00:01:12.000]  來思想一下
[00:01:12.000 --> 00:01:15.000]  到底耶穌當時候的反應
[00:01:15.000 --> 00:01:18.000]  帶出什麼功課給我們學習呢?
[00:01:18.000 --> 00:01:20.000]  我們快快地把這段經文讀一遍
[00:01:20.000 --> 00:01:22.000]  我讀給大家聽
[00:01:22.000 --> 00:01:24.000]  當下約翰的門徒和法利塞人進食
[00:01:24.000 --> 00:01:26.000]  他們來問耶穌
[00:01:26.000 --> 00:01:29.000]  約翰的門徒和法利塞人的門徒進食
[00:01:29.000 --> 00:01:31.000]  你的門徒倒不進食
[00:01:31.000 --> 00:01:33.000]  這是為什麼呢?
[00:01:33.000 --> 00:01:34.000]  耶穌對他們說
[00:01:34.000 --> 00:01:37.000]  新郎和陪伴之人同在的時候
[00:01:37.000 --> 00:01:40.000]  陪伴之人豈能進食呢?
[00:01:40.000 --> 00:01:41.000]  新郎還同在
[00:01:41.000 --> 00:01:43.000]  他們不能進食
[00:01:43.000 --> 00:01:44.000]  但日子將到
[00:01:44.000 --> 00:01:46.000]  新郎要離開他們
[00:01:46.000 --> 00:01:48.000]  那日他們就要進食
[00:01:48.000 --> 00:01:51.000]  沒有人把新布縫在舊衣服上
[00:01:51.000 --> 00:01:53.000]  恐怕所補上的新布
[00:01:53.000 --> 00:01:54.000]  帶壞了舊衣服
[00:01:54.000 --> 00:01:55.000]  破的就更大了
[00:01:55.000 --> 00:01:58.000]  也沒有人把新酒裝在舊皮帶里
[00:01:58.000 --> 00:02:01.000]  恐怕酒把皮帶裂開
[00:02:01.000 --> 00:02:03.000]  酒盒皮帶就都壞了
[00:02:03.000 --> 00:02:06.000]  我也把新酒裝在新皮帶里
[00:02:06.000 --> 00:02:11.000]  今天我會把經文的次序
[00:02:11.000 --> 00:02:13.000]  從第一段、第三段
[00:02:13.000 --> 00:02:14.000]  再看回中間第二段
[00:02:14.000 --> 00:02:19.000]  因為當你瞭解猶太人的寫作技巧
[00:02:19.000 --> 00:02:23.000]  有時候他們會把最重要的東西放在中間
[00:02:23.000 --> 00:02:27.000]  有時候他們會把最重要的東西放在上面跟後面
[00:02:27.000 --> 00:02:29.000]  我們要看每一段經文
[00:02:29.000 --> 00:02:31.000]  它的特點在哪裡
[00:02:31.000 --> 00:02:33.000]  就在那邊帶出它的重點
[00:02:33.000 --> 00:02:35.000]  所以我們做了聖經研究
