
[00:00:00.000 --> 00:00:04.480]  感謝讚美神我們能夠再一次的在主的家裏面聚會,
[00:00:04.480 --> 00:00:07.700]  看到我們的中學生慢慢地成長,
[00:00:07.700 --> 00:00:09.520]  今天帶領我們一起敬拜,
[00:00:09.520 --> 00:00:11.680]  實在是滿心的感恩,
[00:00:11.680 --> 00:00:17.240]  也爲一衆的導師們在他們的生命中不斷地陪伴他們,
[00:00:17.240 --> 00:00:19.400]  教導他們獻上感謝。
[00:00:19.400 --> 00:00:21.520]  神的愛就是如此,
[00:00:21.520 --> 00:00:23.120]  在我們這個家裏面,
[00:00:23.120 --> 00:00:26.480]  祂就是爲我們建立一個屬靈的溫馨的大家,
[00:00:26.480 --> 00:00:30.080]  盼望我們也能夠成爲一個感恩的羣體,
[00:00:30.080 --> 00:00:32.520]  我們一起同心禱告。
[00:00:32.520 --> 00:00:35.640]  天父上帝,我們滿心感謝讚美禰,
[00:00:35.640 --> 00:00:39.640]  真的,天父,我們一切的好處不在禰以外,
[00:00:39.640 --> 00:00:42.400]  我們的一切的好處是從禰而來,
[00:00:42.400 --> 00:00:45.640]  祖文感謝禰,將所有的弟兄姐妹,
[00:00:45.640 --> 00:00:50.320]  包括年輕人,包括我們的樂齡團戚的長者,長輩們,
[00:00:50.320 --> 00:00:52.800]  託付給我們,我們感謝禰,
[00:00:52.800 --> 00:00:56.640]  他們幫助我們真的是成立了一個完整的家庭,
[00:00:56.640 --> 00:00:58.280]  我們感謝讚美禰。
[00:00:58.280 --> 00:01:00.480]  上帝,我們祈求禰與我們同在,
[00:01:00.480 --> 00:01:05.480]  叫我們在這個家庭裏面懂得怎麼樣走上帝要我們走的道路,
[00:01:05.480 --> 00:01:07.280]  主啊,我們將今天的崇拜,
[00:01:07.280 --> 00:01:10.880]  今天的講道的時間也要恭敬地交在禰手中。
[00:01:10.880 --> 00:01:12.640]  主耶穌,禰教導我們,
[00:01:12.640 --> 00:01:15.720]  禰說我們的心若是一片好土,
[00:01:15.720 --> 00:01:18.760]  就能夠來接收上帝禰的道,
