
[00:00:00.000 --> 00:00:02.000]  (陳) 各位兄姊妹晚安
[00:00:02.000 --> 00:00:05.000]  今天我們會繼續看啟示錄
[00:00:05.000 --> 00:00:08.000]  第十九章一到十節
[00:00:08.000 --> 00:00:12.000]  夾在第十八章和第二十章之間
[00:00:12.000 --> 00:00:16.000]  這段經文的作用是發揮成先啟後
[00:00:16.000 --> 00:00:19.000]  十八章如果大家還有印象
[00:00:19.000 --> 00:00:21.000]  就是講到大巴比倫的傾覆
[00:00:21.000 --> 00:00:25.000]  當中提到有三組人為大巴比倫傾覆
[00:00:25.000 --> 00:00:29.000]  他們遠遠站著哀號哭泣
[00:00:29.000 --> 00:00:32.000]  第一組人就是地上的君王
[00:00:32.000 --> 00:00:34.000]  記載在十八章第九節
[00:00:34.000 --> 00:00:36.000]  第二組人是地上的商人
[00:00:36.000 --> 00:00:38.000]  十八章十一節
[00:00:38.000 --> 00:00:41.000]  第三組人就是所有船長
[00:00:41.000 --> 00:00:45.000]  航海旅客、水手和靠海為業的人
[00:00:45.000 --> 00:00:46.000]  十八章十七節
[00:00:46.000 --> 00:00:50.000]  這三組人都為大巴比倫傾覆
[00:00:50.000 --> 00:00:53.000]  遠遠站著哭泣哀號
[00:00:53.000 --> 00:00:55.000]  然後到第十九章
[00:00:55.000 --> 00:01:00.000]  這三組人高唱Hallelujah讚美上帝
[00:01:00.000 --> 00:01:02.000]  形成鮮明的對比
[00:01:02.000 --> 00:01:06.000]  這三組人分別是第十九章第一節
[00:01:06.000 --> 00:01:08.000]  天上的一大群人
[00:01:08.000 --> 00:01:09.000]  第一節
[00:01:09.000 --> 00:01:14.000]  此後我聽見好像有一大群人在天上大聲說Hallelujah
[00:01:14.000 --> 00:01:17.000]  第二組人出現在第四節
[00:01:17.000 --> 00:01:21.000]  就是二十四位長老和四個活物
[00:01:21.000 --> 00:01:25.000]  二十四位長老和四個活物就俯伏敬拜
[00:01:25.000 --> 00:01:27.000]  坐在寶座上的上帝說
[00:01:27.000 --> 00:01:29.000]  Amen, Hallelujah
[00:01:29.000 --> 00:01:32.000]  第三組人出現在第五節
[00:01:32.000 --> 00:01:36.000]  就是一群在地上贖伏上帝的僕人
[00:01:36.000 --> 00:01:37.000]  第五節
[00:01:37.000 --> 00:01:40.000]  接著有聲音從寶座出來說
[00:01:40.000 --> 00:01:43.000]  上帝的眾僕人凡敬畏他的
[00:01:43.000 --> 00:01:47.000]  無論大小都讚美我們的上帝
[00:01:47.000 --> 00:01:49.000]  看不看到有一個很大的對比
[00:01:49.000 --> 00:01:53.000]  說到三組人遠遠站著
[00:01:53.000 --> 00:01:57.000]  哭泣哀號為大巴比倫傾覆
[00:01:57.000 --> 00:01:58.000]  哭泣哀號
[00:01:58.000 --> 00:02:01.000]  接著對比著十九章有三班人
[00:02:01.000 --> 00:02:06.000]  三組人分別都在寶座前高唱Hallelujah
[00:02:06.000 --> 00:02:07.000]  去讚美上帝
[00:02:07.000 --> 00:02:11.000]  這個強烈的對比要表達什麼呢?
[00:02:11.000 --> 00:02:13.000]  就是要告訴我們
[00:02:13.000 --> 00:02:18.000]  去到最後正義的力量會獲得最後的勝利
[00:02:18.000 --> 00:02:21.000]  告訴我們能夠開心到最後
[00:02:21.000 --> 00:02:28.000]  笑到最後的不是那些跟大巴比倫打交道的人
[00:02:28.000 --> 00:02:32.000]  而是那些跟隨高揚有上帝引記的一班人
[00:02:32.000 --> 00:02:38.000]  這段經文除了發揮承接著上文的訊息的作用之外
[00:02:38.000 --> 00:02:43.000]  也同時間將下文要說的東西引介出來
[00:02:43.000 --> 00:02:45.000]  通過高揚的婚宴
[00:02:45.000 --> 00:02:46.000]  一會兒我們會說到
[00:02:46.000 --> 00:02:48.000]  通過高揚的婚宴
[00:02:48.000 --> 00:02:52.000]  預告受和撒旦將會徹底被打敗
[00:02:52.000 --> 00:02:57.000]  接著新天新地就會在世界上全面展開
[00:02:57.000 --> 00:03:03.000]  到了那時候耶穌基督將要成為萬王之王萬主之主
[00:03:03.000 --> 00:03:07.000]  去到二十一章九節說到新耶路撒旦出現的時候
[00:03:07.000 --> 00:03:11.000]  我們會再一次看到高揚的新娘
[00:03:11.000 --> 00:03:14.000]  這樣來看十九章一到十節
[00:03:14.000 --> 00:03:18.000]  我們今天看這段經文就發揮了一個搭橋的作用
[00:03:18.000 --> 00:03:22.000]  將上文說到關於巴比倫的傾覆
[00:03:22.000 --> 00:03:25.000]  和下文二十到二十二章
[00:03:25.000 --> 00:03:28.000]  說到關於千禧年末日的審判
[00:03:28.000 --> 00:03:29.000]  新天新地的出現
[00:03:29.000 --> 00:03:31.000]  新耶路撒旦的來臨
[00:03:31.000 --> 00:03:35.000]  將這兩樣東西連繫在一起
[00:03:35.000 --> 00:03:38.000]  十九章一到十節是一個過場
[00:03:38.000 --> 00:03:43.000]  是一個轉接去發揮著丞相啟後的作用
[00:03:43.000 --> 00:03:46.000]  這段經文究竟怎樣去分段呢?
[00:03:46.000 --> 00:03:49.000]  其實學者有不同的看法
[00:03:49.000 --> 00:03:52.000]  有學者將這十節經文分成三個段落
[00:03:52.000 --> 00:03:56.000]  一到四節,五到八節和九到十節
[00:03:56.000 --> 00:03:59.000]  也有學者說這段經文有五個部分
[00:03:59.000 --> 00:04:04.000]  一到三節,四節,五節,六節,八節和九到十節
[00:04:04.000 --> 00:04:08.000]  通常我們一般的分類或分段
[00:04:08.000 --> 00:04:11.000]  就簡單些將它分成兩個段落
[00:04:11.000 --> 00:04:14.000]  不過怎樣將這段經文分成兩個段落
[00:04:14.000 --> 00:04:16.000]  都有不同的看法
[00:04:16.000 --> 00:04:19.000]  有學者將一到五節分為一個段落
[00:04:19.000 --> 00:04:22.000]  六到十節就是第二個段落
[00:04:22.000 --> 00:04:25.000]  如果你看和合本或新譯本
[00:04:25.000 --> 00:04:29.000]  他們的分段將第五節歸入第二個段落
[00:04:29.000 --> 00:04:32.000]  即是一到四節就是第一段
[00:04:32.000 --> 00:04:35.000]  五到十節就是第二段
[00:04:35.000 --> 00:04:39.000]  我自己覺得其實兩個說法都可以
[00:04:39.000 --> 00:04:44.000]  因為似乎第五節更加像是一個轉接句
[00:04:44.000 --> 00:04:48.000]  這句話將上面講到天上的重讚
