
[00:00:00.000 --> 00:00:03.500]  各位大眼睫毛 早晨
[00:00:03.500 --> 00:00:07.000]  《生命》第八章第一到第四節是這樣記載
[00:00:07.000 --> 00:00:09.900]  耶和華吩咐摩西說你要吩咐亞倫對他說
[00:00:09.900 --> 00:00:14.000]  點燈的時候七盞燈都要照亮燈台前面
[00:00:14.000 --> 00:00:15.500]  亞倫就照樣做了
[00:00:15.500 --> 00:00:18.500]  他點燈照亮了燈台的前面
[00:00:18.500 --> 00:00:21.300]  正如耶和華所吩咐摩西的
[00:00:21.300 --> 00:00:22.500]  燈台是這樣做的
[00:00:22.500 --> 00:00:25.100]  燈台是用金凸出來的
[00:00:25.100 --> 00:00:28.700]  連座大花都是凸出來的
[00:00:28.700 --> 00:00:32.100]  即是整個沒有任何的配件加進去
[00:00:32.100 --> 00:00:38.300]  摩西照著耶和華所吩咐的樣式做了燈台
[00:00:38.300 --> 00:00:44.900]  《文素》第七章詳細記載了回望奉獻禮的詳情
[00:00:44.900 --> 00:00:46.500]  有時候我們看這章經文
[00:00:46.500 --> 00:00:47.300]  我們通常都是這樣
[00:00:47.300 --> 00:00:48.500]  看一看下面的都差不多
[00:00:48.500 --> 00:00:49.900]  讀完一段就停了
[00:00:49.900 --> 00:00:52.300]  因為覺得下面說的都是差不多
[00:00:52.300 --> 00:00:54.200]  但上次林牧師告訴我們
[00:00:54.200 --> 00:00:57.900]  為何聖經要這樣記載十二次
[00:00:57.900 --> 00:01:01.700]  回望的奉獻代表了聖所器具的啟用
[00:01:01.700 --> 00:01:05.700]  亦是祭司侍奉的開始
[00:01:05.700 --> 00:01:08.200]  所以按中埃及記三十七章的記載
[00:01:08.200 --> 00:01:10.900]  聖所裏面按神的命令
[00:01:10.900 --> 00:01:16.300]  有祭壇、香壇、燈台和公桌
[00:01:16.300 --> 00:01:21.300]  公桌就是擺陳設餅的那張桌子
[00:01:21.300 --> 00:01:23.500]  祭壇和香壇在前一章
[00:01:23.500 --> 00:01:25.700]  以色列十二支派的領袖
[00:01:25.700 --> 00:01:28.300]  來到回望作出奉獻的時候
[00:01:28.300 --> 00:01:31.900]  如果我們細心留意已經啟用了
[00:01:31.900 --> 00:01:34.300]  但在祭司進入回望侍奉之前
[00:01:34.300 --> 00:01:37.900]  燈台和桌子亦都要被啟用
[00:01:37.900 --> 00:01:40.700]  即是所有的器物要先被啟用
