
[00:00:00.000 --> 00:00:04.500]  (影片即將開始,請點擊「訂閱」、「按鈴鐺」)
[00:00:04.500 --> 00:00:07.280]  我們今天有中樹主日
[00:00:07.280 --> 00:00:14.240]  中樹主日是耶穌在祂生命裡最後一個星期的日子
[00:00:14.240 --> 00:00:18.080]  我記得當我們第一次講這個復活節信息的時候
[00:00:18.080 --> 00:00:23.020]  我們都是講到主耶穌如何騎驢入城
[00:00:23.020 --> 00:00:26.920]  然後一直經過不同的片段
[00:00:26.920 --> 00:00:34.160]  上星期開始我們就去到紅色的部分
[00:00:34.160 --> 00:00:42.600]  帕瑟.提瑪菲講到耶穌在十字架上被離棄的感覺
[00:00:42.600 --> 00:00:49.780]  今天我們將會繼續講到主耶穌如何在十字架上
[00:00:49.780 --> 00:00:55.920]  以及在墳墓裡到底發生了甚麼事呢?
[00:00:55.920 --> 00:00:59.320]  在我預備這段經文的時候
[00:00:59.320 --> 00:01:01.120]  我很感動
[00:01:01.120 --> 00:01:08.500]  今天我想跟大家細心地去看這一段經文
[00:01:08.500 --> 00:01:12.640]  所以今天我們的行經量是很豐富的
[00:01:12.640 --> 00:01:18.040]  希望你們從小到大都是回教會的話
[00:01:18.040 --> 00:01:21.140]  可能這些片段你們都很熟悉的
[00:01:21.140 --> 00:01:24.780]  但是到了我們細心看下去的時候
[00:01:24.780 --> 00:01:28.380]  到底神跟我們說的話是甚麼呢?
[00:01:28.380 --> 00:01:33.080]  希望透過今天我們可以一起去認識
[00:01:33.080 --> 00:01:35.520]  我們一起有個禱告吧
[00:01:35.520 --> 00:01:37.520]  「差天賦上帝」
[00:01:37.520 --> 00:01:42.700]  多謝你真的在為著我們每一個罪人
[00:01:42.700 --> 00:01:46.300]  無罪的走上十字架上
[00:01:46.300 --> 00:01:49.160]  為我們去捨身流血
[00:01:49.160 --> 00:01:52.400]  為的就是要為我們去待贖
[00:01:52.400 --> 00:01:55.440]  求主你也給我們在座的
[00:01:55.440 --> 00:01:57.440]  聽的、說的
[00:01:57.440 --> 00:01:59.940]  也聽到你對我們的說話
[00:01:59.940 --> 00:02:01.940]  也給了我們造就
[00:02:01.940 --> 00:02:05.140]  求主你繼續幫助我們以後的時間
[00:02:05.140 --> 00:02:09.540]  我們同心禱告 奉主名求 阿門
[00:02:09.540 --> 00:02:14.420]  我們今天是講《馬太福音》
