
[00:00:00.000 --> 00:00:11.480]  大家好,我是Conti,今年第二年在港福堂服侍
[00:00:11.480 --> 00:00:14.480]  很開心今天可以和你們分享訊息
[00:00:14.480 --> 00:00:18.480]  而我今天要和你們講一個課題,是很重要的課題
[00:00:18.480 --> 00:00:20.480]  叫做真實的關係
[00:00:20.480 --> 00:00:24.480]  即是Authentic Relationship
[00:00:24.480 --> 00:00:27.480]  繼我們上個月講完關於自己身份identity之後
[00:00:27.480 --> 00:00:31.480]  我們會進一步講到我們和別人之間的關係
[00:00:31.480 --> 00:00:37.480]  如果我問你,你和誰最親密,你會想到誰?
[00:00:37.480 --> 00:00:44.480]  或者這樣說,如果你有心事,或者要做一些很重大的決定的時候
[00:00:44.480 --> 00:00:48.480]  你第一時間會想到誰?
[00:00:48.480 --> 00:00:55.480]  可能有人會想到BFF,家人,老師,mentor等等
[00:00:55.480 --> 00:00:59.480]  但我相信無論你有多cool,多chill,多獨立也好
[00:00:59.480 --> 00:01:01.480]  沒有一個人是孤獨的
[00:01:01.480 --> 00:01:07.480]  我們都需要有同伴,朋友,也需要有人支持和同行
[00:01:07.480 --> 00:01:11.480]  我坊間有些圖,有些models
[00:01:11.480 --> 00:01:14.480]  幫助我們思考我們和別人之間的關係
[00:01:14.480 --> 00:01:19.480]  我邀請你們一會兒看的時候,一邊看一邊想想自己的情況
[00:01:19.480 --> 00:01:25.480]  事不宜遲,我們一起看下一張powerpoint圖
[00:01:25.480 --> 00:01:33.480]  第一張比較搞笑,它用身體接觸去看你和別人之間的關係有多近和遠
[00:01:33.480 --> 00:01:37.480]  我們在紫色中心的位置,private circle
[00:01:37.480 --> 00:01:42.480]  和我們很親密的時候,我們可以互相hug,hug circle
[00:01:42.480 --> 00:01:46.480]  如果沒有那麼親密,相對的話,就far away hug
[00:01:46.480 --> 00:01:51.480]  再遠一點handshake,再遠一點wave,再遠一點不見了
[00:01:51.480 --> 00:01:53.480]  strangers
[00:01:53.480 --> 00:01:58.480]  用身體接觸去代表,中文也有類似的
[00:01:58.480 --> 00:02:04.480]  那個人只是點頭之交,點個頭就好了,不要有什麼身體接觸
[00:02:04.480 --> 00:02:09.480]  不過我們也有另一個圖,我們下一張可以看到
[00:02:09.480 --> 00:02:15.480]  更加明白清楚你和別人的關係是怎樣區分
[00:02:15.480 --> 00:02:18.480]  我們先看原心,不知道你們能否看到
[00:02:18.480 --> 00:02:22.480]  原心寫著intimate and loyal friends
