
[00:00:00.000 --> 00:00:08.960]  今日我哋繼續講貼薩羅尼加前書應該係尾二嘅一課
[00:00:08.960 --> 00:00:11.520]  即係下次係最後一課
[00:00:11.520 --> 00:00:16.640]  我哋今日講到貼薩羅尼加前書第五章一到十一節
[00:00:16.640 --> 00:00:22.800]  講我哋點樣警醒預備迎接主再嚟嘅時候
[00:00:22.800 --> 00:00:29.680]  首先講下貼薩羅尼加前書嗰個背景先
[00:00:29.680 --> 00:00:30.960]  重溫一次
[00:00:30.960 --> 00:00:37.360]  呢個係保羅喺佢第二次宣教嘅時候所建立嘅教會
[00:00:37.360 --> 00:00:38.900]  貼薩羅尼加教會
[00:00:38.900 --> 00:00:43.240]  但係喺當時呢當佢建立完呢間教會嘅時候呢
[00:00:43.240 --> 00:00:46.580]  喺呢個地方嘅人好反對呢
[00:00:46.580 --> 00:00:47.600]  基督徒
[00:00:47.600 --> 00:00:48.620]  所以呢
[00:00:48.620 --> 00:00:51.180]  保羅呢就要匆匆咁樣
[00:00:51.180 --> 00:00:53.240]  離開呢一個城市啦
[00:00:53.240 --> 00:00:59.380]  但係後嚟呢因為呢佢聽到喺呢個城市裏面呢一間教會貼薩羅尼加教會
[00:00:59.380 --> 00:01:02.660]  面對咗好多困難同埋挑戰
[00:01:02.660 --> 00:01:06.240]  特別係呢當佢哋喺度討論呀
[00:01:06.240 --> 00:01:09.820]  主再嚟嘅時候嘅問題呢
[00:01:09.820 --> 00:01:12.640]  佢哋討論到好激烈啦
[00:01:12.640 --> 00:01:18.540]  因為呢到底主再嚟嘅時候係呈現啲咩狀態呢
[00:01:18.540 --> 00:01:21.860]  所以呢咁佢哋好激烈嘅爭辯
[00:01:21.860 --> 00:01:25.860]  咁因此呢保羅呢就寫咗呢一封信
[00:01:25.860 --> 00:01:28.780]  去鼓勵同埋教導佢哋
[00:01:28.780 --> 00:01:33.780]  到底主再嚟嘅時候會係點樣嘅情況
[00:01:33.780 --> 00:01:41.340]  我唔知道你即係信基督教或者你喺基督教裏面嘅時候有冇諗過我哋成日話
[00:01:41.340 --> 00:01:46.180]  主再嚟嘅時候呢我哋就點點點啦
[00:01:46.180 --> 00:01:49.780]  有冇諗過主再嚟嘅時候會發生啲咩事㗎
[00:01:49.780 --> 00:01:51.820]  有冇諗下㗎
[00:01:51.820 --> 00:01:53.360]  有人點頭
[00:01:53.360 --> 00:01:57.460]  即係到底我哋嘅信仰係啲乜嘢嚟㗎呢
[00:01:57.460 --> 00:02:01.000]  今日我想同大家討論下三個問題
[00:02:01.000 --> 00:02:06.380]  第一個問題就係主再嚟嘅時候係點樣嘅呢
[00:02:06.380 --> 00:02:10.460]  我哋應該點樣去預備自己呢
[00:02:10.460 --> 00:02:18.140]  點樣呢啲預備自己喺我哋日常生活裏面對我哋有啲咩嘅影響呢
[00:02:18.140 --> 00:02:20.700]  咁我將佢分咗三個部分
[00:02:20.700 --> 00:02:25.820]  第一個部分我哋話主再嚟嘅時候係點樣嘅呢
[00:02:25.820 --> 00:02:28.900]  我哋一齊睇下經文1到3節
[00:02:28.900 --> 00:02:30.380]  佢喺度咁講
[00:02:30.380 --> 00:02:35.540]  弟兄們,論到時候,日期,不用寫信給你們
[00:02:35.540 --> 00:02:40.580]  因為你們自己明明曉得,主的日子來到
[00:02:40.580 --> 00:02:42.980]  好像夜間的賊一樣
