
[00:00:00.000 --> 00:00:04.000]  那麼弟兄姐妹,我們現在在馬太福音的講道系列
[00:00:04.000 --> 00:00:10.000]  記得上一回我們講到耶穌醫治耳聾結舌的人
[00:00:10.000 --> 00:00:13.000]  那麼那時候我們看到了好幾個功課
[00:00:13.000 --> 00:00:18.000]  那麼我們說我們要將我們所愛的人的需要帶給神
[00:00:18.000 --> 00:00:19.000]  我們要怎麼樣呢?
[00:00:19.000 --> 00:00:23.000]  主耶穌的作為是不被人的理解所限制的
[00:00:23.000 --> 00:00:26.000]  第三就是主對我們傳授了祂的教導
[00:00:26.000 --> 00:00:30.000]  祂對我們的教導是不被人的理解所限制的
[00:00:30.000 --> 00:00:35.000]  第三就是主對我們充滿了憐愛甚至與我們一起嘆息
[00:00:35.000 --> 00:00:38.000]  第四就是即使我們不明白神的作為
[00:00:38.000 --> 00:00:41.000]  神也因著祂的憐憫幫助我們
[00:00:41.000 --> 00:00:44.000]  第五如果我們真的明白神的好
[00:00:44.000 --> 00:00:48.000]  我們必定向人分享耶穌的事
[00:00:48.000 --> 00:00:52.000]  第六就是我們要記住神所做的都是好的
[00:00:52.000 --> 00:00:54.000]  能聽能說都是恩典
[00:00:54.000 --> 00:00:59.000]  我們要在意我們如何用我們的耳我們的口
[00:00:59.000 --> 00:01:02.000]  那麼我記得跟大家也分享過這首詩歌
[00:01:02.000 --> 00:01:03.000]  如果我能唱啊
[00:01:03.000 --> 00:01:07.000]  就是讓我們知道原來我們能說話
[00:01:07.000 --> 00:01:10.000]  能贊美能唱歌原來都是神的恩典
[00:01:10.000 --> 00:01:13.000]  我們上一次一起聽這篇講到的時候
[00:01:13.000 --> 00:01:15.000]  我們一起來思想來反省
[00:01:15.000 --> 00:01:18.000]  我們到底是怎麼樣用我們的口
[00:01:18.000 --> 00:01:21.000]  我們是怎麼樣用我們的耳朵
[00:01:21.000 --> 00:01:24.000]  我們聽的是什麼話語呢
[00:01:24.000 --> 00:01:29.000]  今天很高興我們繼續的看馬可福音第八章
[00:01:29.000 --> 00:01:32.000]  我們要看一個耶穌行過的神跡
[00:01:32.000 --> 00:01:36.000]  就是七餅和幾條小魚的神跡
[00:01:36.000 --> 00:01:39.000]  大家熟悉的是五餅二魚的神跡
[00:01:39.000 --> 00:01:44.000]  今天要講的是七餅跟幾條小魚的神跡
[00:01:44.000 --> 00:01:50.000]  那麼剛才主席利輝弟兄已經幫我們讀過了這篇的經文了
[00:01:50.000 --> 00:01:56.000]  那麼我們直接看看今天我們要學習的幾個重要的功課
[00:01:56.000 --> 00:01:59.000]  我們一起先同心做個禱告
[00:01:59.000 --> 00:02:00.000]  天父我們感謝你
[00:02:00.000 --> 00:02:03.000]  我們感謝你的話語總是蘇醒我們的心靈
[00:02:03.000 --> 00:02:06.000]  以致我們就跟你更加的連接
[00:02:06.000 --> 00:02:09.000]  我們盼望你幫助我們明白你的話語
[00:02:09.000 --> 00:02:10.000]  活出你的真道
[00:02:10.000 --> 00:02:12.000]  活出基督徒的生命
[00:02:12.000 --> 00:02:23.000]  第一點就是神愛世人的愛是無微不至的愛
[00:02:23.000 --> 00:02:29.000]  經文讓我們看見一開始跟上一次的五餅二魚的情況一樣
[00:02:29.000 --> 00:02:31.000]  很多人都聚集跟著耶穌
[00:02:31.000 --> 00:02:35.000]  因為在耶穌那裡有生命的道
[00:02:35.000 --> 00:02:41.000]  每個人都從那裡聽到他講的東西都醒悟了人生應該怎麼活
[00:02:41.000 --> 00:02:45.000]  而且耶穌還能夠幫助他們,醫治他們
