
[00:00:00.000 --> 00:00:02.660]  佑姐妹平安 復活節快樂
[00:00:02.660 --> 00:00:07.120]  感謝主我們在復活節能夠一起來敬拜祂
[00:00:07.120 --> 00:00:10.400]  這是一件非常非常美好的事情
[00:00:10.400 --> 00:00:15.760]  那麼我們在耶穌的愛的講道系列裏面
[00:00:15.760 --> 00:00:17.340]  這是第五講了
[00:00:17.340 --> 00:00:20.940]  前面我們講到主的謙卑與順服
[00:00:20.940 --> 00:00:24.680]  祂不需要受洗 祂竟然也受洗了
[00:00:24.680 --> 00:00:27.800]  祂的大能與憐憫 祂竟然能夠醫治
[00:00:27.800 --> 00:00:30.280]  還能夠使死人復活
[00:00:30.280 --> 00:00:31.720]  祂的智慧與能力
[00:00:31.720 --> 00:00:34.240]  不管別人丟給祂什麼難題
[00:00:34.240 --> 00:00:35.520]  祂總是要陷害祂
[00:00:35.520 --> 00:00:38.280]  祂總是能夠以智慧來勝過
[00:00:38.280 --> 00:00:40.800]  我們也看到祂的服飾與榜樣
[00:00:40.800 --> 00:00:44.600]  祂怎麼樣的竟然願意做一個僕人
[00:00:44.600 --> 00:00:47.920]  猶太人都不願意做的一個僕人的事情
[00:00:47.920 --> 00:00:50.480]  跪下來爲門徒洗腳
[00:00:50.480 --> 00:00:52.800]  叫他們要彼此相愛
[00:00:52.800 --> 00:00:56.200]  今天我們要看主的犧牲與救贖
[00:00:56.200 --> 00:01:00.560]  那麼我們復活節是一件非常重要的事情
[00:01:00.560 --> 00:01:02.640]  在整個基督教信仰裏面
[00:01:02.640 --> 00:01:05.600]  是最重要的節日之一
[00:01:05.600 --> 00:01:07.040]  除了聖誕節以外
[00:01:07.040 --> 00:01:08.880]  復活節就是最重要的節日
[00:01:08.880 --> 00:01:11.440]  因爲沒有了復活就沒有了基督教
[00:01:11.440 --> 00:01:13.680]  在這個圖畫 這個照片裏面
[00:01:13.680 --> 00:01:15.760]  我非常喜歡看這個圖畫
[00:01:15.760 --> 00:01:17.920]  就是 這裏不要蒙 看不見
[00:01:17.920 --> 00:01:20.320]  一個十字架 三個十字架在外面
